房间	Phòng
辰时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Vào giờ Thìn, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> thì bỗng thấy <font color=OBJCOLOR>tường linh thạch</font> bên cạnh rất thú vị..
11天 08:06	11 ngày 08:06
响午之后，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	Sau giờ Ngọ, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng thấy nhớ nhà.
11天 15:05	11 ngày 15:05
丑时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，突然发出一声长叹。	Vào giờ Sửu, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>ngắm trăng</font>, bỗng thở dài.
13天 01:52	13 ngày 01:52
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng rơi nước mắt.
13天 06:20	13 ngày 06:20
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rơi nước mắt.
13天 16:28	13 ngày 16:28
寅时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	Giờ Dần, <font color=MYCOLOR>Khương Long</font> khi <font color=OBJCOLOR>ngắm trăng</font>, đột nhiên trong đầu hiện lên hình bóng của <font color=OBJCOLOR>Tịch Tín</font>.
15天 03:28	15 ngày 03:28
万里无云，<font color=MYCOLOR>姜龙</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>儿子姜保</font>。	Vạn Lý vô vân, <font color=MYCOLOR>Khương Long</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>hài tử Khương Bảo</font> của bản thân.
15天 09:20	15 ngày 09:20
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>浮躁之风</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Giang Long</font> bị cảm xúc <font color=OBJCOLOR>gió bồn chồn</font> làm phiền, chỉ có thể <font color=OBJCOLOR>chơi nhạc</font> để buông thả tâm hồn.
16天 12:12	16 ngày 12:12
暮色怅晚，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>棕石墙</font>很有意思……	Ánh chiều buồn bã, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bỗng thấy <font color=OBJCOLOR>bức tường đá nâu</font> bên cạnh thật thú vị……
16天 17:36	16 ngày 17:36
姜	Khương
龙	Long
师父	Sư phụ
赏	Thưởng
寄瑶	Ký Dao
思淼	Tư Miểu
申	Thân
语琴	Ngữ Cầm
保	Bảo
建	Kiến
百里	Bách Lý
眉	Mi
落木尊者	Tôn Giả Lạc Mộc
晴空万里，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>Ngưng thần nhìn trời</font>, đột nhiên rơi lệ.
7天 18:34	7 ngày 18:34
<font color=MYCOLOR>百里眉</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>赏月</font>来放空心灵。	<font color=MYCOLOR>Bách Lý</font> bị cảm xúc <font color=OBJCOLOR>cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>ngắm trăng</font> để không tâm.
7天 22:50	7 ngày 22:50
夜深之时，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，脑海中突然浮现<font color=OBJCOLOR>姜龙</font>的模样。	Đêm khuya, <font color=MYCOLOR>Bách Lý My</font> khi <font color=OBJCOLOR>nhảy múa</font>, trong đầu đột nhiên hiện lên hình ảnh <font color=OBJCOLOR>Khương Long</font>.
10天 23:05	10 ngày 23:05
晨光初露，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Sáng sớm tinh mơ, <font color=MYCOLOR>Bách Lý Mi</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng thấy bức <font color=OBJCOLOR>tường tinh linh</font> bên cạnh rất thú vị..
13天 05:52	13 ngày 05:52
日暮时分，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	Lúc hoàng hôn, <font color=MYCOLOR>Bách Lý Mi</font> khi đang <font color=OBJCOLOR>Nhảy múa</font> không may bị trẹo chân.
13天 20:43	13 ngày 20:43
晴空万里，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> lặng lẽ <font color=OBJCOLOR>nhảy múa</font>, chợt nhớ đến <font color=OBJCOLOR>mẹ mình Chuyên Tôn Mâu Vi</font>.
14天 11:50	14 ngày 11:50
四更时分，<font color=MYCOLOR>百里眉</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>母亲颛孙眸微</font>。	Vào canh tư, <font color=MYCOLOR>Bách Lý Mi</font> lặng lẽ <font color=OBJCOLOR>nhảy múa</font>, chợt nhớ đến <font color=OBJCOLOR>mẹ mình Chuyên Tôn Mâu Vi</font>.
15天 02:39	15 ngày 02:39
天朗气清，<font color=MYCOLOR>百里眉</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trời quang mây tạnh, <font color=MYCOLOR>Bách Lý Mi</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng suy nghĩ ngổn ngang.
15天 11:20	15 ngày 11:20
门派中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Trong môn phái, <font color=MYCOLOR>Bách Lý Mi</font> khi <font color=OBJCOLOR>chơi nhạc</font>, không nhịn được khẽ hát theo.
17天 05:51	17 ngày 05:51
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>看天花板</font>时，突然发出一声长叹。	Trong bầu không khí bồn chồn, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bất chợt thở dài một hơi.
17天 07:31	17 ngày 07:31
浮躁的气氛中，<font color=MYCOLOR>百里眉</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得莫名烦躁。	Trong bầu không khí bồn chồn, <font color=MYCOLOR>Bách Lý My</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bất chợt cảm thấy bồn chồn khó hiểu.
17天 09:41	17 ngày 09:41
徒弟	Đệ tử
西岭	Tây Lĩnh
颛孙	Chuyên Tôn
眸微	Mâu Vi
修罗陀	Tu La Đà
傀儡	Khôi lỗi
董之柔	Đổng Chi Nhu
百里眉	Bách Lý
万里无云，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>七仟坞看看。	Vạn lý không mây, <font color=MYCOLOR> Tịch Tín </font> đang <font color=OBJCOLOR>Chơi nhạc</font>, bỗng muốn đến <font color=OBJCOLOR>Thất Thiên Ổ</font> xem thử.
11天 01:09	11 ngày 01:09
万里无云，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>父亲席才</font>。	Vạn Lý không mây, <font color=MYCOLOR>Tịch Tín</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, đột nhiên nhớ đến <font color=OBJCOLOR>cha Tịch Tài</font>.
11天 19:04	11 ngày 19:04
三更时分，<font color=MYCOLOR>席信</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Đêm khuya canh ba, <font color=MYCOLOR>Tịch Tín</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng dưng nghĩ ngợi miên man.
12天 00:29	12 ngày 00:29
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	Trong môn phái, <font color=MYCOLOR>Tịch Tín</font> trong lúc <font color=OBJCOLOR>Nhìn trần nhà</font>, đột nhiên rất nhớ nhà.
12天 14:20	12 ngày 14:20
<font color=MYCOLOR>席信</font>因<font color=OBJCOLOR>心境通明</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>Tịch Tín</font> vì <font color=OBJCOLOR>tâm cảnh sáng suốt</font> tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>nhìn trần nhà</font> để trút lòng.
13天 14:25	13 ngày 14:25
门派中，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>蛇肉</font>。	Trong môn phái, <font color=MYCOLOR>Tịch Tín</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> đột nhiên muốn ăn <font color=OBJCOLOR>thịt rắn</font>.
15天 01:31	15 ngày 01:31
辰时，<font color=MYCOLOR>席信</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	Giờ Thìn, <font color=MYCOLOR>Tịch Tín</font> trong lúc <font color=OBJCOLOR>Đọc sách thưởng thức quyển</font>, đột nhiên rất nhớ nhà.
16天 08:44	16 ngày 08:44
大雨倾盆，<font color=MYCOLOR>席信</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲席才</font>。	Mưa lớn đổ xuống, <font color=MYCOLOR>Tịch Tín</font> lặng lẽ <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng nhớ đến <font color=OBJCOLOR>cha mình là Tịch Tài</font>.
17天 20:58	17 ngày 20:58
席	Tịch
信	Tín
才	Tài
长孙	Trưởng tôn
晓夏	Hiểu Hạ
江南散人	Tản Nhân Giang Nam
教学	Hướng dẫn
门	Cửa
存档写入完成	Hoàn tất ghi lưu trữ
松豪遇到瓶颈	Tùng Hào gặp bình cảnh
食物储量不足	Dự trữ thực phẩm không đủ
仰厚需要砍伐工具	Ngưỡng Hậu cần dụng cụ đốn gỗ
药物储量不足	Dự trữ thuốc không đủ
轩辕士：受伤	Hiên Viên Sĩ: Bị thương
出现镇物！	Xuất hiện vật trấn!
董之柔心境不稳	Tâm cảnh của Đổng Chi Nhu bất ổn
姜龙心境不稳	Khương Long tâm cảnh bất ổn
天下传闻	Tin Tức Thiên Hạ
天苍246年 春 第12日	Thiên Thương năm 246, mùa Xuân, ngày thứ 12
据传合欢派的大能清羽兰在南屏村出没。	Nghe nói đại năng Thanh Vũ Lan của Hợp Hoan phái xuất hiện ở Nam Bình Thôn.
据传昆仑宫近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	Nghe đồn gần đây Côn Lôn Cung đã cải cách môn quy, phân chia lại các đường ngõ, toàn bộ Môn phái thay da đổi thịt, thực lực đại tăng.
天苍246年 春 第16日	Năm Thiên Thương 246, mùa Xuân, ngày 16
据传紫霄宗的大能宰璧在南屏村出没。	Nghe đồn Đại năng Tể Bích của Tử Tiêu xuất hiện ở Nam Bình Thôn.
天苍246年 春 第18日	Năm Thiên Thương 246, mùa Xuân, ngày thứ 18
据传丹霞洞天的大能霍离在南屏村出没。	Nghe nói đại năng Hoắc Ly của Đan Hà Động Thiên xuất hiện ở Nam Bình Thôn.
据传极天宫的大能嵇力在小凉山出没。	Nghe đồn Đại năng Kê Lực của Cực Thiên xuất hiện ở Tiểu Lương Sơn.
据传正一道的大能公羊慕灵在炼丹峰出没。	Nghe nói đại năng Chính Nhất là Công Dương Mộ Linh xuất hiện tại Luyện Đan Phong.
据传青莲剑宗的大能毛史定在铜陵山出没。	Nghe đồn đại năng Mao Sử Định của Thanh Liên Kiếm Tông xuất hiện ở Đồng Lăng Sơn.
据传青莲剑宗的大能宣商震在铜陵山出没。	Nghe đồn đại năng Xuyên Thương Chấn của Thanh Liên Kiếm Tông xuất hiện ở Đồng Lăng Sơn.
据传七仟坞的大能蓝风在月轮山出没。	Nghe đồn Đại năng Lam Phong của Thất Thiên Ô xuất hiện ở Nguyệt Luân Sơn.
据传昆仑宫的长老在芦墟村附近游历时，巧遇一名丹霞洞天的长老。二人一见如故，于芦墟村坐而论道。讲到玄妙之处，方圆百里异像纷呈，鸟兽成灵，是近日修行界盛传的大事。两派的关系也因此颇有提升。	Nghe nói trưởng lão của Cung Côn Luân khi du ngoạn gần thôn Lô Khư đã tình cờ gặp một trưởng lão của Động Thiên Đan Hà. Hai người vừa gặp đã như tri kỷ, cùng ngồi luận đạo ở thôn Lô Khư. Khi bàn đến những điều huyền diệu, dị tượng xuất hiện trong vòng trăm dặm, chim thú hóa linh, là sự kiện lớn đang lan truyền trong giới tu hành gần đây. Quan hệ giữa hai môn phái cũng nhờ đó mà cải thiện rõ rệt.
据传栖霞洞天派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Tương truyền trưởng bối phi thăng từ Tê Hà Động Thiên bất ngờ giáng lâm ban tặng nhiều ân sủng, thực lực môn phái đại tăng.
据传昆仑宫门中一名闭关千余年的长老严壮成功修成大法出关。昆仑宫再添一名大能。	Nghe đồn một trưởng lão của Cung Côn Lôn đã bế quan hơn nghìn năm tên là Nghiêm Trang đã tu thành Đại pháp xuất quan. Cung Côn Lôn lại có thêm một đại năng.
丹霞洞天的大能夏泰已在炼丹峰失去了踪迹	Đại năng Hạ Thái của Đan Hà Động Thiên đã mất tích tại Luyện Đan Phong
青莲剑宗的大能商瑾已在南屏村失去了踪迹	Đại năng Thương Cẩn của Thanh Liên Kiếm Tông đã mất tích tại Nam Bình Thôn
天苍246年 春 第19日	Năm Thiên Thương 246, mùa Xuân, ngày thứ 19
据传极天宫于月轮山击败烛龙，收获大量宝材灵物，门派实力大涨。	Tương truyền Cực Thiên Cung tại Nguyệt Luân Sơn đánh bại Chúc Long, thu hoạch lượng lớn bảo tài linh vật, thực lực môn phái đại tăng.
据传百蛮山于炼丹峰击杀凶凤，收获大量宝材灵物，门派实力大涨。	Nghe nói Bách Man Sơn đã giết chết hung phượng tại Luyện Đan Phong, thu hoạch được lượng lớn bảo tài linh vật, thực lực môn phái đại tăng.
近日，青莲剑宗最受长辈宠爱的小弟子与七杀魔宫的几名弟子在云台山附近发生了摩擦，之后冲突连续升级，甚至引动双方门派长老叠出，竟演变为一场大规模的斗法。	Gần đây, tiểu đệ tử được trưởng bối sủng ái nhất của Thanh Liên Kiếm Tông đã xảy ra cọ xát với một vài đệ tử của Thất Sát Ma Cung gần Vân Đài Sơn. Sau đó, xung đột tiếp tục leo thang, thậm chí dẫn đến việc các trưởng lão của hai môn phái lộ diện, cuối cùng diễn biến thành một trận đấu pháp quy mô lớn.
此役持续月余，死伤无算，青莲剑宗最终失败，其门派实力大损。七杀魔宫却大有所获，门派实力大增。此役之后，两派的关系也大大恶化了。	Trận chiến này kéo dài hơn một tháng, thương vong vô số, cuối cùng Thanh Liên Kiếm Tông thất bại, thực lực môn phái bị giảm mạnh. Thất Sát Ma Cung lại được lợi lớn, thực lực đại tăng. Sau trận chiến này, quan hệ giữa hai môn phái cũng trở nên vô cùng căng thẳng.
天苍246年 春 第20日	Năm Thiên Thương 246, mùa Xuân, ngày thứ 20
据传紫霄宗的大能罗博在小凉山出没。	Nghe đồn Đại năng La Bác của Tử Tiêu xuất hiện ở Tiểu Lương Sơn.
据传百蛮山派中天地灵根成熟，引动天道波动，灵气汇聚。受此泽被，整个门派实力大增。	Nghe đồn trong Bách Man Sơn, Thiên Địa Linh Căn đã chín muồi, khiến Thiên Đạo chấn động, Linh khí hội tụ. Nhờ đó, toàn bộ Môn phái được tăng cường sức mạnh.
据传七杀魔宫的长老在百蛮山附近游历时，遇到几名百蛮山的弟子切磋。七杀魔宫的长老心情不错，指点了一下百蛮山弟子的修行，其中一名弟子竟然当场突破。此事亦在修行界传为美谈，两派的关系也因此略有提升。	Tương truyền, Trưởng lão Thất Sát Ma Cung khi du ngoạn gần Bách Man Sơn gặp vài Đệ tử Bách Man Sơn giao lưu. Trưởng lão Thất Sát Ma Cung tâm trạng vui vẻ, chỉ điểm Tu luyện cho Đệ tử Bách Man Sơn, khiến một người đột phá ngay tại chỗ. Việc này trở thành chuyện đẹp được truyền trong giới Tu luyện, quan hệ giữa hai phái cũng nhờ đó được cải thiện chút ít.
紫霄宗的大能宰璧已在南屏村失去了踪迹	Đại năng Tể Bích của Tử Tiêu Tông đã mất tích tại Nam Bình Thôn
天苍246年 春 第21日	Năm Thiên Thương 246, mùa Xuân, ngày thứ 21
据传丹霞洞天于五华村击杀凶凤，收获大量宝材灵物，门派实力大涨。	Nghe nói Đan Hà Động Thiên Phái đã giết chết hung phượng tại Ngũ Hoa Thôn, thu hoạch được lượng lớn bảo tài linh vật, thực lực môn phái đại tăng.
据传合欢派优化了派中核心阵法，门派实力大涨。	Tương truyền Hợp Hoan Phái đã tối ưu trận pháp cốt lõi, thực lực môn phái tăng mạnh.
据传昆仑宫优化了派中核心阵法，门派实力大涨。	Tương truyền Côn Lôn Cung đã tối ưu trận pháp cốt lõi, thực lực môn phái tăng mạnh.
天苍246年 春 第22日	Thiên Thương năm 246, mùa Xuân, ngày thứ 22
据传昆仑宫的大能钟起灵在月轮山出没。	Nghe nói đại năng Chung Khởi Linh của Côn Lôn Cung xuất hiện ở Nguyệt Luân Sơn.
据传栖霞洞天的大能尤士在小凉山出没。	Nghe nói đại năng Doãn Sĩ của Tê Hà Động Thiên xuất hiện ở Tiểu Lương Sơn.
据传青莲剑宗在稻香村寻找到一家上古宗派的洞天小世界，一番收获下，门派实力大涨。	Nghe đồn Thanh Liên Kiếm Tông tại thôn Đạo Hương đã tìm được một tiểu thế giới động thiên của một tông phái cổ xưa, sau một lần thu hoạch, thế lực môn phái tăng mạnh.
据传昆仑宫于芦墟村击败烛龙，收获大量宝材灵物，门派实力大涨。	Nghe nói Côn Lôn Cung đã đánh bại Chúc Long tại Lô Khư Thôn, thu hoạch được lượng lớn bảo tài linh vật, thực lực môn phái đại tăng.
天苍246年 春 第23日	Thiên Thương năm 246, mùa Xuân, ngày thứ 23
丹霞洞天的大能霍离已在南屏村失去了踪迹	Đại năng Hoắc Ly của Đan Hà Động Thiên đã mất tích tại Nam Bình Thôn
极天宫的大能嵇力已在小凉山失去了踪迹	Đại năng Kỳ Lực của Cực Thiên Cung đã mất tích ở Tiểu Lương Sơn
正一道的大能公羊慕灵已在炼丹峰失去了踪迹	Đại năng Chính Nhất là Công Dương Mộ Linh đã mất tích tại Luyện Đan Phong
青莲剑宗的大能毛史定已在铜陵山失去了踪迹	Đại năng Thanh Liên Kiếm Tông là Mao Sử Định đã mất tích tại Đồng Lăng Sơn
青莲剑宗的大能宣商震已在铜陵山失去了踪迹	Đại năng Thanh Liên Kiếm Tông là Tuyên Thương Chấn đã mất tích tại Đồng Lăng Sơn
七仟坞的大能蓝风已在月轮山失去了踪迹	Đại năng Lam Phong của Thất Thiên Ổ đã mất tích ở Nguyệt Luân Sơn
据传正一道的弟子在雪风原附近游历时，遇到一名极天宫的长老炼法。正一道的弟子陪侍左右，四方奔走，深的极天宫的长老欢心。事成之后竟然得了该长老的一场大机缘。此事在修行界传为一段佳话，两派的关系也因此略有提升。	Tương truyền đệ tử Chính Nhất Đạo từng du lịch gần Tuyết Phong Nguyên gặp một trưởng lão Cực Thiên Cung đang luyện pháp, bèn theo hầu hạ, chạy vạy, làm vị trưởng lão ấy hết sức hài lòng. Sau khi xong việc, nhận được một cơ duyên lớn từ vị trưởng lão này. Chuyện này lan truyền khắp giới tu luyện như một giai thoại đẹp, quan hệ hai phái cũng nhờ vậy được cải thiện đôi chút.
近日，丹霞洞天与合欢派同时发现一处平顶山附近的洞府残迹，据说此处留存有上古一名大能的道统，至关重要。双方为争夺此地机缘精锐尽出，展开了激烈的斗法。	Gần đây, Đan Hà Động Thiên và Hợp Hoan Phái cùng lúc Phát hiện một di tích động phủ gần Bình Đỉnh Sơn, nghe nói nơi đây lưu giữ đạo thống của một đại năng thượng cổ, vô cùng quan trọng. Hai bên vì Tranh đoạt cơ duyên tại đây mà tinh anh xuất trận, bùng nổ một trận Đấu pháp kịch liệt.
几经争斗，合欢派最终成功得到此处仙府，门派实力大涨。丹霞洞天却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	Sau nhiều phen tranh đấu, Hợp Hoan Phái cuối cùng cũng chiếm được tiên phủ này, thực lực môn phái đại tăng. Đan Hà Động Thiên lại tổn thất nặng nề, thực lực đại tổn. Sau trận chiến này, quan hệ giữa hai môn phái cũng trở nên vô cùng căng thẳng.
据传极天宫于小凉山击败烛龙，收获大量宝材灵物，门派实力大涨。	Nghe nói Cực Thiên Cung đã đánh bại Chúc Long tại Tiểu Lương Sơn, thu hoạch được lượng lớn bảo tài linh vật, thực lực môn phái đại tăng.
天苍246年 春 第24日	Thiên Thương năm 246, mùa Xuân, ngày thứ 24
据传丹霞洞天的大能伏涛在月轮山出没。	Nghe nói đại năng Phục Đào của Đan Hà Động Thiên xuất hiện ở Nguyệt Luân Sơn.
据传栖霞洞天的大能师美在月轮山出没。	Nghe nói đại năng Sư Mỹ của Tê Hà Động Thiên xuất hiện ở Nguyệt Luân Sơn.
据传百蛮山的大能段旭在南屏村出没。	Nghe đồn Đại năng Đoàn Húc của Bách Man Sơn xuất hiện ở Nam Bình Thôn.
据传七杀魔宫的大能蒙亦瑶在小凉山出没。	Nghe đồn đại năng Mông Diệc Dao của Thất Sát Ma Cung xuất hiện ở Tiểu Lương Sơn.
据传青莲剑宗于小凉山击杀凶凤，收获大量宝材灵物，门派实力大涨。	Tương truyền Thanh Liên Kiếm Tông tại Tiểu Lương Sơn hạ sát Phượng hung, thu hoạch được lượng lớn bảo tài linh vật, thực lực Môn phái tăng vọt.
据传七仟坞的弟子在紫霄宗附近游历时，遇到几名紫霄宗的弟子。双方结伴历练，闯荡一番，在近期修行界也算搅动一些风云，闯出了一些名声。两派的关系也因此略有提升。	Tương truyền đệ tử Thất Thiên Ổ trong lúc lịch luyện gần Tử Tiêu Tông, gặp vài đệ tử Tử Tiêu Tông. Hai bên cùng lịch luyện, ngao du một phen, thời gian gần đây cũng khuấy động giới tu luyện, nổi danh không ít. Quan hệ giữa hai môn phái nhờ vậy cũng được cải thiện phần nào.
据传合欢派于南屏村击杀凶凤，收获大量宝材灵物，门派实力大涨。	Nghe nói Hợp Hoan Phái đã giết chết hung phượng tại Nam Bình Thôn, thu hoạch được lượng lớn bảo tài linh vật, thực lực môn phái đại tăng.
轩辕士感到危险	Hiên Viên Sĩ cảm thấy nguy hiểm
百里眉心境不稳	Bách Lý My tâm cảnh bất ổn
百里眉拜董之柔为师	Bách Lý My bái Đổng Chi Nhu làm sư phụ
姜龙拜百里眉为师	Giang Long bái Bách Lỹ Mi làm sư phụ
路人需要帮助	Người qua đường cần giúp đỡ
百里眉：受伤	Bách Lý My: Bị thương
雅艺	Nhã nghệ.
席信的技能雅艺升级了	Kỹ năng Nhã Nghệ của Tịch Tín đã lên cấp
化形镇神神雷	Hóa Hình Trấn Thần thần lôi
丙火金刚真言	Bính Hỏa Kim Cương Chân Ngôn
奔烈覆天神雷	Thần Lôi Phục Thiên Bôn Liệt
天火飞星神雷	Thiên Hoả Phi Tinh Thần Lôi
奠基宝典	Điện Cơ Bảo Điển
少量的	Một chút
奠基秘册	Điện Cơ Bí Sách
奠基经	Kinh Điện Cơ
金刚宝典	Kim Cang Bảo Điển
五戒奠基秘法	Ngũ Giới Điện Cơ Bí Pháp
中量的	Vừa
辟谷要诀	Tịch Cốc Yếu Quyết
微草佛心宝典	Vi Thảo Phật Tâm Bảo Điển
黄芽合一册	Sách Hợp Nhất Hoàng Nha
五内琢玉通卷	Ngũ Nội Trác Ngọc Thông Quyển
凌霄决意神功	Lăng Tiêu Quyết Ý Thần Công
大量的	Số lượng lớn
奔烈合一要诀	Bôn Liệt Hợp Nhất Yếu Quyết
凌霄摄神	Linh Tiêu Nhiếp Thần
海量的	Cực lớn
御木诀	Ngự Mộc Quyết
元坤妙法	Nguyên Khôn Diệu Pháp
醍醐灌顶之术	Đề Hồ Quán Đỉnh Thuật
凌霄沃野密卷	Lăng Tiêu Vọng Dã Mật Quyển
赋灵术	Phú Linh Thuật
五泉涤心法	Ngũ Tuyền Địch Tâm Pháp
先天罡气	Tiên Thiên Cương Khí
化伤术	Hóa Thương Thuật
天霖诀	Thiên Lâm Quyết
天一真法	Thiên Nhất Chân Pháp
水镜观心定	Thủy Kính Quán Tâm Định
同风诀	Đồng Phong Quyết
归海诀	Quy Hải Quyết
九阴真水界	Cửu Âm Chân Thủy Giới
罡煞合流	Cương Sát Hợp Lưu
金刚诀	Kim Cương Quyết
霹雳陨星	Phích Lịch Vẫn Tinh
五台覆灭诀	Quyết Ngũ Đài Phúc Diệt
三才飞星诀	Tam Tài Phi Tinh Quyết
咒神宝典	Chú Thần Bảo Điển
咒神	Chú thần
急诵宝典	Cấp Tụng Bảo Điển
霹雳归藏	Phích Lịch Quy Tàng
大日咒神	Đại Nhật Chú Thần
多宝急诵卷	Quyển Đa Bảo Cấp Tụng
西海归祖七签	Tây Hải Quy Tổ Thất Thiêm
神佑记	Ký Thần Hữu
清心	Thanh Tâm
饕餮秘法	Thao Thiết Bí Pháp
震雷百炼纲要	Cương Yếu Bách Luyện Chấn Lôi
勾陈鲸吞纪要	Câu Trần Kình Thôn Kỷ Yếu
多宝沃野	Đa Bảo Uất Dã
震雷百炼通卷	Chấn Lôi Bách Luyện Thông Quyển
赤霄宫佛心书	Xích Tiêu Cung Phật Tâm Thư
六气神农通卷	Lục Khí Thần Nông Thông Quyển
少林合一书	Sách Thiếu Lâm Hợp Nhất
凝珀诀	Ngưng Phách Quyết
炼制灵晶之术	Thuật Luyện Chế Linh Tinh
玉液炼形诀	Ngọc Dịch Luyện Hình Quyết
药典	Dược Điển
明目诀	Minh Mục Quyết
菁华诀	Tinh Hoa Quyết
灵息诀	Linh Tức Quyết
清心咒	Thanh Tâm Chú
百草金石录	Bách Thảo Kim Thạch Lục
开炉九诀	Khai Lò Cửu Quyết
归元诀	Quy Nguyên Quyết
新体诀	Tân Thể Quyết
入定之术	Thuật Nhập Định
洗心咒	Tẩy Tâm Chú
太上丹经	Thái Thượng Đan Kinh
秘宝：神农鼎	Bí Bảo: Thần Nông Đỉnh
太上内经	Thái Thượng Nội Kinh
无漏之身	Vô Lậu Chi Thân
再造术	Tái Tạo Thuật
道德清净法	Đạo Đức Thanh Tịnh Pháp
道心	Đạo Tâm
秘宝：离地焰光旗	Bí Bảo: Ly Địa Diễm Quang Kỳ
速炼法	Tốc Luyện Pháp
炼身法-速	Luyện Thân Pháp-Tốc
精炼法	Tinh Luyện Pháp
炼身法-精	Luyện Thân Pháp-Tinh
神炼法	Thần Luyện Pháp
炼身法-神	Luyện Thân Pháp-Thần
伐毛洗髓之术	Phạt Mao Tẩy Tủy Thuật
再造形神之术	Tái Tạo Hình Thần Thuật
开天眼之术	Khai Thiên Nhãn Thuật
