房间	Phòng
神佑秘法	Bí pháp Thần Hữu
合一册	Hợp Nhất
妙手秘要	Diệu thủ bí yếu
大日沃野丹方	Đại Nhật Dã Đan Phương
黄庭合一宝典	Hoàng Đình Hợp Nhất Bảo Điển
天岭清心神功	Thiên Lĩnh Thanh Tâm Thần Công
三才妙手宝册	Tam Tài Diệu Thủ Bảo Sách
益氏佛心密卷	Ích Thị Phật Tâm Mật Quyển
三才佛心典	Điển Phật Tâm Tam Tài
阴阳奠基密卷	Âm Dương Điện Cơ Mật Quyển
万木回春	Vạn Mộc Hồi Xuân
三世洞真法	Tam Thế Động Chân Pháp
养身法	Dưỡng Thân Pháp
轮回心眼	Luân Hồi Tâm Nhãn
先天罡气	Tiên Thiên Cương Khí
生死录	Sinh Tử Lục
通息诀	Thông Tức Quyết
合物志	Hợp Vật Chí
六道轮回丹	Lục Đạo Luân Hồi Đan
元央归息法	Nguyên Ương Quy Tức Pháp
轮回经	Luân Hồi Kinh
轮回之体	Thân Thể Luân Hồi
胎化易形	Thai Hóa Dễ Hình
神截经	Thần Tiệt Kinh
开天眼之术	Khai Thiên Nhãn Thuật
再造术	Tái Tạo Thuật
大衍神算	Đại Diễn Thần Toán
轮回之心	Tâm Luân Hồi
不昧真灵	Bất Muội Chân Linh
逆转轮回	Nghịch Chuyển Luân Hồi
逆转轮回·秘	Nghịch Chuyển Luân Hồi·Bí
天人之体·一阶	Thiên Nhân Chi Thể·Nhất Giai
天人之体·二阶	Thiên Nhân Chi Thể·Nhị Giai
天人之体·三阶	Thiên Nhân Chi Thể·Tam Giai
真吾之体·一阶	Chân Ngã Chi Thể·Nhất Giai
真吾之体·二阶	Chân Ngã Chi Thể·Nhị Giai
真吾之体·三阶	Chân Ngã Chi Thể·Tam Giai
修罗之体·一阶	Tu La Chi Thể·Nhất Giai
修罗之体·二阶	Tu La Chi Thể·Nhị Giai
修罗之体·三阶	Tu La Chi Thể·Tam Giai
流光诀	Lưu Quang Quyết
苍龙流光咒	Chú Lưu Quang Thương Long
混元	Hỗn nguyên.
曳影决	Lướt Ảnh
南海千钧秘要	Nam Hải Thiên Quân Bí Yếu
五内迅击秘诀	Ngũ Nội Tấn Kích bí quyết
真丹破灭剑	Chân Đan Phá Diệt Kiếm
过去庄严曳影式	Quá Khứ Trang Nghiêm Dạ Ảnh Thức
多宝宝典	Đa Bảo Bảo Điển
鬼手宝典	Quỷ Thủ Bảo Điển
辟谷	Tịch Cốc
万木琢玉通卷	Vạn Mộc Trác Ngọc Thông Quyển
百草阁饕餮纪要	Bách Thảo Các Thao Thiết Ký Yếu
长生佛心册	Trường Sinh Phật Tâm Sách
入道鬼手秘传	Nhập Đạo Quỷ Thủ Bí Truyền
青龙佛心秘法	Thanh Long Phật Tâm Bí Pháp
玄机琢玉	Huyền Cơ Trác Ngọc
妙手丹方	Diệu Thủ Đan Phương
五内十二都天	Ngũ Nội Thập Nhị Đô Thiên
斩天天星真言	Trảm Thiên Thiên Tinh Chân Ngôn
咒神秘法	Chú Thần Bí Pháp
迅击七签	Thất ký tấn kích
归藏秘诀	Quy Tàng Bí quyết
金丹咒神九卷	Kim Đan Chú Thần Cửu Quyển
百草阁咒神秘法	Bí Pháp Chú Thần Bách Thảo Các
天金崩天	Thiên Kim Băng Thiên
紫云宫坤元	Tử Vân Cung Khôn Nguyên
忘情崩天	Vong Tình Băng Thiên
南海百炼宝册	Nam Hải Bách Luyện Bảo Sách
五内摄神记	Ngũ Nội Nhiếp Thần Ký
忘情百炼宝册	Vong Tình Bách Luyện Bảo Quyển
斩天气摄秘传	Trảm Thiên Khí Nhiếp Bí Truyền
东华佛心宝典	Đông Hoa Phật Tâm bảo điển
西海七星神雷	Thần Lôi Thất Tinh Tây Hải
玄武绝杀诀	Huyền Vũ Tuyệt Sát quyết
通天咒	Thông Thiên
癸水飞星神雷	Quỷ Thuỷ Phi Tinh Thần Lôi
千钧剑诀	Thiên Quân Kiếm Quyết
蓄神决	Trữ Thần Quyết
迅击秘诀	Tấn Kích Bí Quyết
三才决意神功	Tam Tài Quyết Ý Thần Công
入道多宝	Nhập Đạo Đa Bảo
惊波辟谷纪要	Kinh Ba Tịch Cốc Ký Yếu
入道神佑密卷	Nhập Đạo Thần Hữu Mật Quyển
阴阳辟谷纪要	Âm Dương Tịch Cốc Ký Yếu
御神饕餮纪要	Ngự Thần Thao Thiết Ký Yếu
紫霄鲸吞密卷	Tử Tiêu Kình Thôn Mật Quyển
太阴锻体	Thái Âm Đoán Thể
少阴锻体	Thiếu Âm Đoán Thể
玄阴锻体	Huyền Âm Đoán Thể
瞬形法	Thuấn Hình Pháp
九幽炼神	Cửu U Luyện Thần
太虚神盾	Thái Hư Thần Thuẫn
少阴诀	Thiếu Âm Quyết
玄阴诀	Huyền Âm Quyết
幽狱诀	U Ngục Quyết
坤元真气	Khôn Nguyên Chân Khí
一剑	Nhất Kiếm
秘宝：一剑	Bí Bảo: Nhất Kiếm


