房间	Phòng
14天 05:15	14 ngày 05:15
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>龟肉</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhìn Trần Nhà</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>Thịt Rùa</font>.
14天 11:43	14 ngày 11:43
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	Đêm tối sâu thẳm, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang <font color=OBJCOLOR>Nhảy múa</font> bỗng thấy ngột ngạt khó chịu.
14天 22:10	14 ngày 22:10
绿荫之下，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>跳舞</font>，突然思绪万千。	Dưới bóng cây xanh, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>Nhảy múa</font>, đột nhiên nghĩ ngợi muôn vàn.
15天 01:16	15 ngày 01:16
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	Trong môn phái, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Chơi Nhạc</font> thì đột nhiên muốn đến <font color=OBJCOLOR>Tà Đế Lăng</font> xem thử.
17天 12:45	17 ngày 12:45
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	Trời không một gợn mây, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt bò</font>.
18天 13:05	18 ngày 13:05
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>需要武器</font>的情绪困扰，只能<font color=OBJCOLOR>跳舞</font>来放空心灵。	<font color=MYCOLOR>Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>cần vũ khí</font> làm phiền, chỉ có thể <font color=OBJCOLOR>nhảy múa</font> để không tâm.
19天 18:08	19 ngày 18:08
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Đêm khuya tĩnh lặng, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>nhìn trần nhà</font>, đột nhiên rơi lệ.
19天 21:13	19 ngày 21:13
绿荫之下，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	Dưới bóng cây xanh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>nhảy múa</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt bò</font>.
20天 06:20	20 ngày 06:20
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	Trời vạn lý trong xanh, <font color=MYCOLOR>Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng cảm thấy ngột ngạt.
20天 11:19	20 ngày 11:19
夜深之时，<font color=MYCOLOR>董之柔</font>一个人<font color=OBJCOLOR>读书品卷</font>，突然思绪万千。	Lúc đêm khuya, <font color=MYCOLOR>Đổng Chi Nhu</font> một mình <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng dưng trăm mối ngổn ngang.
20天 23:11	20 ngày 23:11
细雨霏霏，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	Mưa phùn nhẹ bay, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>nhảy múa</font> bỗng cảm thấy ngột ngạt.
21天 03:48	21 ngày 03:48
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>精致的房间</font>心情不错，忍不住来<font color=OBJCOLOR>听雨</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>căn phòng tinh tế</font> tâm trạng tốt, không nhịn được mà đến <font color=OBJCOLOR>nghe mưa</font> để giãi bày cảm xúc.
21天 07:29	21 ngày 07:29
小雨如酥，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Mưa nhỏ như tơ, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt nhớ nhà.
21天 13:07	21 ngày 13:07
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Trời trong khí mát, <font color=MYCOLOR>Đổng Chi Nhu</font> khi <font color=OBJCOLOR>chơi nhạc</font>, bỗng nhiên rơi nước mắt.
23天 10:14	23 ngày 10:14
未时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Giờ Mùi, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> bỗng nhiên rơi lệ.
23天 14:06	23 ngày 14:06
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>跳舞</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>Hơi nóng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Nhảy múa</font> để thả lỏng tâm hồn.
24天 04:02	24 ngày 04:02
日始时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Lúc bình minh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng khẽ hát theo.
24天 06:59	24 ngày 06:59
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Trời quang mây tạnh, <font color=MYCOLOR>Chi Nhu</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì bỗng thấy bức <font color=OBJCOLOR>tường tinh linh</font> bên cạnh thật thú vị..
24天 07:57	24 ngày 07:57
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	Trời quang mây tạnh, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhảy múa</font> bỗng trẹo chân.
24天 15:00	24 ngày 15:00
破晓时分，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>跳舞</font>，突然想起自己的<font color=OBJCOLOR>仇家陈慵醉</font>。	Lúc bình minh, <font color=MYCOLOR>Đổng Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>nhảy múa</font>, bỗng nhớ đến <font color=OBJCOLOR>kẻ thù Trần Thung Túy</font> của mình.
25天 06:26	25 ngày 06:26
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>狼肉</font>。	Trong môn phái, <font color=MYCOLOR>Đổng Chi Nhu</font> trong lúc <font color=OBJCOLOR>ngưng thần nhìn trời</font> bỗng nhiên muốn ăn <font color=OBJCOLOR>thịt sói</font>.
26天 04:26	26 ngày 04:26
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	Trời trong gió mát, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng cảm thấy ngột ngạt.
27天 14:32	27 ngày 14:32
30天 03:08	30 ngày 03:08
卯时，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>凝神望天</font>，突然想起自己的<font color=OBJCOLOR>父亲董明</font>。	Giờ Mão, <font color=MYCOLOR>Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>ngưng thần nhìn trời</font>, bỗng nhớ đến <font color=OBJCOLOR>cha Đổng Minh</font> của mình.
30天 06:54	30 ngày 06:54
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点热</font>的情绪困扰，只能<font color=OBJCOLOR>读书品卷</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị <font color=OBJCOLOR>hơi nóng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> để thả lỏng tâm hồn.
31天 14:20	31 ngày 14:20
黎明时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Lúc bình minh, <font color=MYCOLOR>Đổng Chi Nhu</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rất nhớ nhà.
32天 04:24	32 ngày 04:24
日禺之时，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Giờ Ngọ, <font color=MYCOLOR>Đông Chi Nhu</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rất nhớ nhà.
32天 10:02	32 ngày 10:02
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>程雪青</font>的模样。	Trời quang đãng, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bỗng hiện lên hình ảnh <font color=OBJCOLOR>Trình Tuyết Thanh</font> trong đầu.
35天 17:37	35 ngày 17:37
晴空万里，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>野草</font>。	Trời quang vạn lý, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang <font color=OBJCOLOR>nhảy múa</font> không may đá vào <font color=OBJCOLOR>cỏ dại</font> bên cạnh.
37天 04:47	37 ngày 04:47
日央之刻，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	Giữa trưa, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhảy múa</font> bỗng trẹo chân.
37天 14:22	37 ngày 14:22
<font color=MYCOLOR>董之柔</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>看天花板</font>来放空心灵。	<font color=MYCOLOR>Đổng Chi Nhu</font> bị cảm xúc <font color=OBJCOLOR>hơi lạnh</font> quấy rối, chỉ có thể <font color=OBJCOLOR>nhìn trần nhà</font> để thư giãn tâm trí.
37天 16:49	37 ngày 16:49
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Trong môn phái, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> bỗng rất nhớ nhà.
37天 18:59	37 ngày 18:59
<font color=MYCOLOR>董之柔</font>因<font color=OBJCOLOR>吉宅</font>心情不错，忍不住来<font color=OBJCOLOR>读书品卷</font>抒怀。	<font color=MYCOLOR>Đổng Chi Nhu</font> vì <font color=OBJCOLOR>Cát Trạch</font> mà tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>Đọc Sách Thưởng Thức Quyển</font> để giãi bày.
38天 10:35	38 ngày 10:35
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>随便看看</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trời quang mây tạnh, <font color=MYCOLOR>Chi Nhu</font> đang <font color=OBJCOLOR>xem qua</font> thì bỗng thấy bức <font color=OBJCOLOR>tường linh thạch</font> bên cạnh thật thú vị..
39天 07:24	39 ngày 07:24
门派中，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然流下眼泪。	Trong môn phái, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>nhảy múa</font> thì bất chợt rơi nước mắt.
42天 04:26	42 ngày 04:26
东方渐白，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>程雪青</font>的模样。	Phương Đông dần sáng, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font>, bỗng trong đầu hiện lên hình ảnh <font color=OBJCOLOR>Trình Tuyết Thanh</font>.
43天 03:22	43 ngày 03:22
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>寒精门派石碑</font>很有意思……	Trời quang mây tạnh, <font color=MYCOLOR>Chi Nhu</font> đang <font color=OBJCOLOR>nhảy múa</font> thì bỗng thấy <font color=OBJCOLOR>bia đá môn phái tinh hàn</font> bên cạnh thật thú vị..
43天 17:34	43 ngày 17:34
天朗气清，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵晶墙</font>很有意思……	Trời quang mây tạnh, <font color=MYCOLOR>Chi Nhu</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì bỗng thấy bức <font color=OBJCOLOR>tường tinh linh</font> bên cạnh thật thú vị..
43天 23:17	43 ngày 23:17
夜幕深沉，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	Đêm tối sâu thẳm, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang <font color=OBJCOLOR>Chơi nhạc</font> bỗng thấy ngột ngạt khó chịu.
45天 22:44	45 ngày 22:44
日始时分，<font color=MYCOLOR>董之柔</font>静静的<font color=OBJCOLOR>随便看看</font>，突然想起自己的<font color=OBJCOLOR>仇家陈慵醉</font>。	Vào lúc mặt trời mọc, <font color=MYCOLOR>Chi Nhu</font> lặng lẽ <font color=OBJCOLOR>xem qua</font>, bỗng nhớ tới <font color=OBJCOLOR>kẻ thù Trần Thung Túy</font> của mình.
46天 05:56	46 ngày 05:56
日落时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>跳舞</font>时，不小心扭了一下脚。	Lúc hoàng hôn, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>nhảy múa</font>, không cẩn thận bị trẹo chân.
46天 18:58	46 ngày 18:58
二更时分，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Vào giờ Sửu, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt nhớ nhà.
46天 21:19	46 ngày 21:19
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Vạn Lý không mây, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>chơi nhạc</font> bỗng rơi nước mắt.
48天 14:40	48 ngày 14:40
鸟倦云舒，<font color=MYCOLOR>董之柔</font>在翻阅古书时，突然发现封页厚度有些不正常。<font color=MYCOLOR>董之柔</font>挑开封页，竟然从中找到一张古朴的符咒。	Điểu quyện vân thư, <font color=MYCOLOR>Đổng Chi Nhu</font> khi đang lật giở sách cổ thì đột nhiên phát hiện độ dày bìa sách có chút <font color=OBJCOLOR>Bình Thường</font>. <font color=MYCOLOR>Đổng Chi Nhu</font> mở bìa sách ra, không ngờ lại tìm thấy một tấm <font color=OBJCOLOR>Phù Chú</font> cổ xưa.
48天 17:09	48 ngày 17:09
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>邪帝陵</font>看看。	Trời vạn dặm không mây, <font color=MYCOLOR>Đổng Chi Nhu</font> khi <font color=OBJCOLOR>chơi nhạc</font>, đột nhiên muốn đến <font color=OBJCOLOR>Lăng Tà Đế</font> xem thử.
49天 23:49	49 ngày 23:49
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Vạn lý vô vân, <font color=MYCOLOR>Đổng Chi Nhu</font> khi <font color=OBJCOLOR>chơi nhạc</font> không kìm được khẽ hát theo.
50天 00:46	50 ngày 00:46
万里无云，<font color=MYCOLOR>董之柔</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Trời Vạn Lý không gợn mây, <font color=MYCOLOR>Đổng Chi Nhu</font> đang <font color=OBJCOLOR>Nhìn trần nhà</font> bỗng chảy nước mắt.
50天 23:38	50 ngày 23:38
董	Đổng
之柔	Chi Nhu
明	Minh
郎	Lang
凌春	Lăng Xuân
陈	Trần
慵醉	Thung Túy
江南罩	Giang Nam Trạo
镇岳尊者	Trấn Nhạc Tôn Giả
结丹中品！	Kết Đan Trung Phẩm!
松柏之侧，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>肉干</font>。	Bên cạnh cây tùng bách, <font color=MYCOLOR>Khương Long</font> trong lúc <font color=OBJCOLOR>xem qua</font> bỗng nhiên muốn ăn <font color=OBJCOLOR>thịt khô</font>.
4天 13:54	4 ngày 13:54
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然发出一声长叹。	Vừa nguôi giận, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì bỗng thở dài một tiếng.
5天 07:43	5 ngày 07:43
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>突然小难过</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Giang Long</font> bị cảm xúc <font color=OBJCOLOR>Bỗng nhiên buồn nhẹ.</font> làm phiền, chỉ có thể <font color=OBJCOLOR>Chơi nhạc</font> để thả lỏng tâm hồn.
6天 00:09	6 ngày 00:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trong môn phái, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> bỗng thấy bức <font color=OBJCOLOR>tường linh thạch</font> bên cạnh rất thú vị..
6天 06:06	6 ngày 06:06
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font> thì trong đầu đột nhiên hiện lên hình ảnh của <font color=OBJCOLOR>Bách Lý My</font>.
7天 00:12	7 ngày 00:12
起更之时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然想吃<font color=OBJCOLOR>蛙肉</font>。	Vào lúc đổi gác, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>thịt ếch</font>.
7天 20:50	7 ngày 20:50
生气苏始，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然流下眼泪。	Đầu ngày, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>Quan sát mây cuộn mây tan</font> bỗng chảy nước mắt.
8天 08:09	8 ngày 08:09
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>牛肉</font>。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>chơi nhạc</font> đột nhiên muốn ăn <font color=OBJCOLOR>thịt bò</font>.
8天 12:17	8 ngày 12:17
万里无云，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Vạn Lý không mây, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bất chợt rơi nước mắt.
8天 13:14	8 ngày 13:14
天朗气清，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Trời quang đãng, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng cảm thấy <font color=OBJCOLOR>linh thạch</font> bên cạnh khá thú vị..
8天 15:26	8 ngày 15:26
夜深人静，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>夜观星象</font>时，突然觉得旁边的<font color=OBJCOLOR>野草</font>很有意思……	Đêm khuya yên tĩnh, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>quan sát sao đêm</font> bỗng cảm thấy <font color=OBJCOLOR>cỏ dại</font> bên cạnh rất thú vị..
8天 22:35	8 ngày 22:35
申时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>百里眉</font>的模样。	Giờ Thân, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>Chơi nhạc</font>, trong đầu bỗng hiện lên hình ảnh của <font color=OBJCOLOR>Bách Lý Mi</font>.
9天 15:29	9 ngày 15:29
<font color=MYCOLOR>姜龙</font>因<font color=OBJCOLOR>精致的房间</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Giang Long</font> vì <font color=OBJCOLOR>căn phòng tinh tế</font> mà tâm trạng tốt, không kìm được đến <font color=OBJCOLOR>chơi nhạc</font> để giải tỏa.
10天 03:36	10 ngày 03:36
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng dưng suy nghĩ miên man.
10天 04:34	10 ngày 04:34
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>娱乐</font>时，突然领会到<font color=OBJCOLOR>《逍遥危燕玉女妙录》</font>的一丝真意。<font color=MYCOLOR>姜龙</font>当场沉浸在这一化境中，等回过神来，发现修为已然大进。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> khi đang <font color=OBJCOLOR>giải trí</font>, đột nhiên lĩnh ngộ được một chút chân ý của <font color=OBJCOLOR>《Tiêu Diêu Nguy Yến Ngọc Nữ Diệu Lục》</font>. <font color=MYCOLOR>Khương Long</font> lập tức chìm đắm trong cảnh giới cao thâm này, đến khi hoàn hồn thì phát hiện tu vi đã tiến nhanh.
门派中，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bất chợt suy tư trăm mối.
10天 23:34	10 ngày 23:34
辰时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Vào giờ Thìn, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> thì bỗng thấy <font color=OBJCOLOR>tường linh thạch</font> bên cạnh rất thú vị..
11天 08:06	11 ngày 08:06
响午之后，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>读书品卷</font>时，突然很想家。	Sau giờ Ngọ, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, bỗng thấy nhớ nhà.
11天 15:05	11 ngày 15:05
丑时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，突然发出一声长叹。	Vào giờ Sửu, <font color=MYCOLOR>Giang Long</font> khi đang <font color=OBJCOLOR>ngắm trăng</font>, bỗng thở dài.
13天 01:52	13 ngày 01:52
门派中，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Trong môn phái, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng rơi nước mắt.
13天 06:20	13 ngày 06:20
晴空万里，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Trời quang mây tạnh, <font color=MYCOLOR>Khương Long</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rơi nước mắt.
13天 16:28	13 ngày 16:28
寅时，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>赏月</font>时，脑海中突然浮现<font color=OBJCOLOR>席信</font>的模样。	Giờ Dần, <font color=MYCOLOR>Khương Long</font> khi <font color=OBJCOLOR>ngắm trăng</font>, đột nhiên trong đầu hiện lên hình bóng của <font color=OBJCOLOR>Tịch Tín</font>.
15天 03:28	15 ngày 03:28
万里无云，<font color=MYCOLOR>姜龙</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>儿子姜保</font>。	Vạn Lý vô vân, <font color=MYCOLOR>Khương Long</font> lặng lẽ <font color=OBJCOLOR>chơi nhạc</font>, chợt nhớ tới <font color=OBJCOLOR>hài tử Khương Bảo</font> của bản thân.
15天 09:20	15 ngày 09:20
<font color=MYCOLOR>姜龙</font>被<font color=OBJCOLOR>浮躁之风</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>Giang Long</font> bị cảm xúc <font color=OBJCOLOR>gió bồn chồn</font> làm phiền, chỉ có thể <font color=OBJCOLOR>chơi nhạc</font> để buông thả tâm hồn.
16天 12:12	16 ngày 12:12
暮色怅晚，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>棕石墙</font>很有意思……	Ánh chiều buồn bã, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì bỗng thấy <font color=OBJCOLOR>bức tường đá nâu</font> bên cạnh thật thú vị……
16天 17:36	16 ngày 17:36
夜半时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然想去<font color=OBJCOLOR>炼丹峰</font>看看。	Nửa đêm, <font color=MYCOLOR>Giang Long</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên muốn đến <font color=OBJCOLOR>Luyện Đan Phong</font> xem thử.
18天 23:09	18 ngày 23:09
四更时分，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	Canh tư, <font color=MYCOLOR>Khương Long</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rất nhớ nhà.
19天 01:04	19 ngày 01:04
夕食之刻，<font color=MYCOLOR>姜龙</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>面粉</font>。	Giờ Dậu Ăn tối, <font color=MYCOLOR>Khương Long</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>bột mì</font>.
21天 15:41	21 ngày 15:41
天朗气清，<font color=MYCOLOR>姜龙</font>一个人<font color=OBJCOLOR>夜观星象</font>，突然思绪万千。	Trời trong xanh quang đãng, <font color=MYCOLOR>Khương Long</font> một mình <font color=OBJCOLOR>Quan sát sao đêm</font>, đột nhiên bao suy nghĩ dâng trào.
23天 02:45	23 ngày 02:45
