Key	Value
被角色的灵性影响无法转换阵营。	Bị linh tính của nhân vật ảnh hưởng, không thể chuyển đổi phe phái.
蕴养	Dưỡng dưỡng
脚本回调	Hồi đáp kịch bản
选择熔炉。	Chọn lò luyện.
强	Mạnh
PayMgr-> 找不到ID为{0}商品中产品ID:{1}的商品信息	PayMgr-> Không tìm thấy thông tin sản phẩm với ID sản phẩm:{1} trong ID hàng hóa {0}
开采	Khai thác
该角色不能作为目标	Nhân vật này không thể làm mục tiêu
房间温度\n室内的当前温度	Nhiệt độ phòng\nNhiệt độ hiện tại trong nhà
普通物品	Vật phẩm thông thường
角色入玄失败，请重新尝试	Nhân vật nhập huyền thất bại, vui lòng thử lại
捕获	Bắt giữ
敌方	Địch phương
将这个筑基成功的弟子晋升到内门	Thăng cấp đệ tử này đã thành công trúc cơ vào nội môn
翩然起舞	Nhảy múa uyển chuyển
[color=#FFFF00]节点激活条件[/color]	[color=#FFFF00]Điều kiện kích hoạt nút[/color]
攻击命中\n尝试使用此秘体进攻时的成功几率。	Đánh trúng\nXác suất thành công khi tấn công bằng bí thể này.
昏暗	Tối tăm
本地轮回者	Người luân hồi địa phương
请在此激活下载的模组，激活的模组才会在游戏中实际生效。	Hãy kích hoạt các module đã tải xuống tại đây, chỉ các module được kích hoạt mới có hiệu lực trong trò chơi.
{0} 中含有来自模组的建筑或物品	{0} chứa công trình hoặc vật phẩm từ mô-đun
是否确定与当前目标战斗。	Có chắc chắn muốn chiến đấu với mục tiêu hiện tại không.
范围：{0}	Phạm vi: {0}
零	Không
灵气浓度	Nồng độ linh khí
设置	Cài đặt
时长:{2}\n消耗寿元:{0:N0}/{1:N0}   消耗精元：{5}{3:N0}{6}/{4:N0}	Thời gian: {2}\nTiêu hao thọ nguyên: {0:N0}/{1:N0} Tiêu hao tinh nguyên: {5}{3:N0}{6}/{4:N0}.
法宝炼制	Luyện chế pháp bảo
其他属性	Thuộc tính khác
<font color=#B65704>必须材料:\n</font>	<font color=#B65704>Nguyên liệu cần thiết:\n</font>
无滤镜	Không có bộ lọc
取消指定	Hủy chỉ tiêu
异变消散	Dị biến tiêu tan
请示门派	Hỏi ý môn phái
雕像\n主殿升级到中级主殿解锁。选择弟子附身之后，此地信仰可直接转移给该弟子。	Tượng\nNâng cấp điện chính lên điện trung cấp để mở khóa. Sau khi chọn đệ tử nhập thân, tín ngưỡng tại đây có thể chuyển trực tiếp cho đệ tử đó.
角色生成	Tạo nhân vật
在制药作业间余，正小憩片刻	Đang nghỉ ngơi một chút giữa công việc bào chế thuốc
正在乐呵呵的缝纫中	Đang vui vẻ may vá
加载条件过期信息有问题！报错：{0}	Thông tin điều kiện tải hết hạn có vấn đề! Báo lỗi: {0}
旁门心得	Tâm đắc môn phái phụ
门派内门弟子总数	Tổng số đệ tử nội môn môn phái
正在乐呵呵的建筑工作中	Đang vui vẻ làm công việc xây dựng
参悟经验：{0:F0}/{1:F0}\n	Kinh nghiệm tham ngộ: {0:F0}/{1:F0}\n
修理建筑不顺，觉得有点消沉	Sửa chữa công trình không thuận lợi, cảm thấy hơi chán nản
声震寰宇	Thanh âm chấn động vũ trụ
修改仓库储存类型	Chỉnh sửa loại lưu trữ trong kho
炼制圣物	Luyện chế thánh vật.
绘制	Vẽ
{0}发生事件:{1}	Sự kiện xảy ra tại {0}:{1}
{0}部分功能需要激活{1}后才能生效，请谨慎购买！	{0}một số chức năng cần kích hoạt {1} trước khi có hiệu lực, hãy cân nhắc trước khi mua!
该角色正在被施展神通	Nhân vật này đang bị sử dụng thần thông
使该植物着火。纯表现。	Làm cây này bốc cháy. Chỉ là hiệu ứng.
攻击穿透\n使用此秘体攻击拥有灵气护盾的目标时，攻击穿透灵气护盾的比率。	Xuyên phá tấn công\nSử dụng bí thể này tấn công mục tiêu có khiên linh khí, tỷ lệ xuyên phá khiên linh khí.
{0}:{1}\n通过锻炼可以提高，{0}营养越高，提高越快。	{0}:{1}\nCó thể tăng thông qua rèn luyện, dinh dưỡng {0} càng cao, tăng càng nhanh.
多次幽淬	Nhiều lần tôi luyện sâu
垂钓	Câu cá
将一个对象的品质升阶	Nâng cấp phẩm chất của một đối tượng
阴阳加成	Tăng âm dương
魔(恸哭)	Ma (Khóc thảm)
{0}折	{0} chiết khấu
消耗25点香火值，为一个外门角色治疗所有疾病，恢复所有器官，并提高五维。	Tiêu hao 25 điểm hương hỏa, chữa lành tất cả bệnh tật cho một nhân vật ngoại môn, phục hồi toàn bộ cơ quan, và tăng năm chiều.
(等待建造)	(Đang chờ xây dựng)
天苍{0}年 {1} 第{2}日	Thiên Thương {0} Mùa: {1} ngày {2}
正邪未明	Chính tà chưa rõ
派遣内门弟子历练的次数	Số lần phái đệ tử nội môn đi lịch luyện
定制五官	Tùy chỉnh
模组只在WeGame和Steam平台提供。\n开发不易，请支持正版。感谢！	Mod chỉ được cung cấp trên nền tảng WeGame và Steam.\nPhát triển không dễ, xin hãy ủng hộ bản chính thức. Cảm ơn!
吃东西中噎了自己一下，正慌忙的喝水	Bị nghẹn khi ăn, đang vội vàng uống nước
正专心搬运	Đang tập trung vận chuyển
武器	Vũ khí
当前累积次数:{0}，最大累积次数:{1}\n可通过[color=#FF0000][b]{2}[/b][/color]获取使用次数	Số lần tích lũy hiện tại: {0}, số lần tích lũy tối đa: {1}\nCó thể nhận số lần sử dụng thông qua [color=#FF0000][b]{2}[/b][/color]
该物品正在被使用	Vật phẩm này đang được sử dụng
取消研习藏经阁秘籍。	Hủy bỏ nghiên cứu bí tịch tại Tàng Kinh Các.
结丹修士	Tu sĩ kết đan
赞同或反对灵宠的行为，使其执行行为的权重改变。	Đồng ý hoặc phản đối hành động của linh thú, thay đổi trọng số hành động mà nó thực hiện.
生物图鉴需要玩家拥有或击杀该生物来点亮。	Bách khoa sinh vật yêu cầu người chơi sở hữu hoặc tiêu diệt sinh vật đó để làm sáng.
神乎其技	Thần kỳ
取消研习	Hủy bỏ nghiên cứu
大有收获	Thu hoạch lớn
矿石植被	Khoáng thạch thực vật
[内容]\r\n	[Nội dung]\r\n.
正在享受烹饪的快乐	Đang tận hưởng niềm vui nấu ăn
{0}可能会发生事件:\n[color=#D06508]{1}[/color]	{0} có thể xảy ra sự kiện:\n[color=#D06508]{1}[/color]
影响灵宠的灵气护盾强度。	Ảnh hưởng độ mạnh của hộ thuẫn linh khí của linh sủng.
已供奉	Đã cung phụng
分堂名	Tên phân đường
修炼速度停滞，无法入定。	Tốc độ tu luyện đình trệ, không thể nhập định.
数量	Số lượng
炼丹房	Phòng luyện đan
{0}发布了一个任务。	{0} đã phát hành một nhiệm vụ.
外观数量：{0}	Số lượng ngoại hình: {0}
芸芸众生\n事件发生的概率正常\n更快的修炼速度\n更少的参悟消耗\n偶尔会发生危险\n天劫威力正常\n适合大部分玩家	Chúng sinh muôn loài\nXác suất xảy ra sự kiện bình thường\nTốc độ tu luyện nhanh hơn\nTiêu hao ngộ tính ít hơn\nThỉnh thoảng xảy ra nguy hiểm\nSức mạnh thiên kiếp bình thường\nPhù hợp với hầu hết người chơi.
\n[align=center][color=#CCCCCC]----未参悟----[/color][/align]	\n[align=center][color=#CCCCCC]----Chưa tham ngộ----[/color][/align]
{0}获得称号 [{1}]	{0} đã nhận được danh hiệu [{1}]
玄学	Huyền học
该物品没有灵气	Vật phẩm này không có linh khí
{0}{6}\n健康:{1:P0}\n饥饿:{2:N0}\n口渴:{3:N0}\n精力:{4:N0}\n情绪:{5:N0}	{0}{6}\nSức khỏe: {1:P0}\nĐói: {2:N0}\nKhát: {3:N0}\nNăng lượng: {4:N0}\nTâm trạng: {5:N0}
<font color=#D06508>[丹药]</font>\n	<font color=#D06508>[Đan dược]</font>\n
邪教	Tà giáo
打架	Đánh nhau
地点不可达	Địa điểm không thể tiếp cận
\n境界影响:\n {0:N0}%	\nẢnh hưởng cảnh giới:\n {0:N0}%
询问	Hỏi thăm
突破地点的五行属性与功法的匹配度对突破成功率的影响。	Sự phù hợp giữa thuộc tính ngũ hành của địa điểm đột phá và công pháp ảnh hưởng đến tỷ lệ thành công của đột phá.
已存在对应控件:{0}，不需要复制	Đã tồn tại bộ điều khiển tương ứng:{0}, không cần sao chép
一般	Bình thường
工具	Công cụ
鼎炉潜力几尽枯竭，炼精化气效率较慢。	Tiềm năng của lò luyện gần như cạn kiệt, hiệu suất luyện tinh hóa khí chậm.
与{0}的好感度为：{1}	Hảo cảm với {0}: {1}
众生万物	Chúng sinh vạn vật.
将这个物品给与一个角色，角色会自动前来食用。	Đưa vật phẩm này cho một nhân vật, nhân vật sẽ tự đến ăn.
装备或者拾取一个物品	Trang bị hoặc nhặt một vật phẩm
{0:N2}%({1:N2}%)\n疼痛:{2}	{0:N2}%({1:N2}%)\nĐau đớn: {2}
动物角色	Nhân vật động vật
寿元	Tuổi thọ
五境:反虚	Ngũ cảnh: Phản Hư
门派人数已达上限	Số lượng người trong môn phái đã đạt giới hạn
扫地	Quét dọn.
灵气: 	Linh khí: 
灵石	Linh thạch.
飞升天劫	Thiên kiếp phi thăng
领取成功!	Nhận thành công!
契约：{0}\n	Khế ước: {0}\n
{0:F0}点 {1}（受到天道异动影响）	{0:F0} điểm {1} (bị ảnh hưởng bởi dị động của thiên đạo).
管理者审核通过后其他同道中人方可看见此评论	Bình luận này chỉ được thấy bởi người khác sau khi được quản lý phê duyệt
放下收获	Đặt xuống thu hoạch
陪睡觉	Ngủ cùng
（已被使用，再次使用属性将不会叠加）	(Đã được sử dụng, sử dụng lại thuộc tính sẽ không cộng dồn)
{0:N0}个小时后	Sau {0:N0} giờ
是否确认花费{0}元购买{1}{2}	Xác nhận sử dụng {0} đồng để mua {1}{2}?
CloudSave->开始压缩:{0}	CloudSave->Bắt đầu nén:{0}
确定要对{0}施展吗？这将会导致它永远失去灵性。	Chắc chắn muốn thực hiện trên {0} không? Điều này sẽ khiến nó mãi mãi mất linh tính.
大名鼎鼎	Đại danh đỉnh đỉnh
击败普通人：{0}个	Đánh bại người thường: {0} người
在拆地板时，正快乐的哼着小调	Khi tháo dỡ sàn nhà, đang vui vẻ ngân nga một điệu nhạc.
无法炼制该秘宝	Không thể luyện chế bí bảo này
删除这个区域	Xóa khu vực này
入口	Lối vào
将一个物品幽淬	Làm một vật phẩm trở nên u tối
数据校验失败,请联系客服或稍后再试	Xác minh dữ liệu thất bại, vui lòng liên hệ CSKH hoặc thử lại sau
在筑基之时，突然心有所感	Khi đang trúc cơ, đột nhiên có cảm giác.
修改存档成功!	Sửa đổi lưu tệp thành công!
\n总大小: 	\nTổng kích thước:. 
投其所好	Làm theo sở thích
灌顶	Quán đỉnh
返回门派	Trở về môn phái
始	Bắt đầu
拳套	Găng tay
过期消息({0})	Thông điệp hết hạn ({0})
迟迟没有护法降临,可能不会来了。	Hộ pháp mãi không xuất hiện, có thể sẽ không đến.
主要角色未选择经历,确定要直接进入游戏吗？	Nhân vật chính chưa chọn trải nghiệm, chắc chắn muốn vào thẳng trò chơi không?
这个门派很神秘，需要在游戏中了解更多。	Môn phái này rất bí ẩn, cần tìm hiểu thêm trong trò chơi.
(平均值)	(Giá trị trung bình)
外门	Ngoại môn
新建阵图	Tạo sơ đồ trận pháp mới
[color=#880000](丢失)[/color]	[color=#880000](Mất)[/color]
低级：{0}。\n	Cấp thấp: {0}.\n
发呆	Ngẩn ngơ
痛感({0:P0})\n受伤会导致疼痛，当疼痛超过一定值会影响意识。	Cảm giác đau ({0:P0})\nBị thương sẽ gây đau đớn, khi đau vượt một mức nhất định sẽ ảnh hưởng đến ý thức.
正专心修行	Đang tập trung tu hành
认主这个秘宝吗？它将绑定{0}。	Nhận chủ bảo vật này không? Nó sẽ được ràng buộc với {0}.
不存在预览图！	Không tồn tại hình ảnh xem trước!
默认目标	Mục tiêu mặc định
不能改变仙阵阵图	Không thể thay đổi bản đồ trận pháp tiên trận
交易后，可自由进出此门派所有地点。好感度越高，售价越低。如好感度跌到一般以下，将取消通行权。	Sau giao dịch, có thể tự do ra vào tất cả các địa điểm của môn phái này. Độ thiện cảm càng cao, giá bán càng thấp. Nếu độ thiện cảm giảm xuống dưới mức trung bình, quyền thông hành sẽ bị hủy bỏ.
不适合或者已被占用	Không phù hợp hoặc đã bị chiếm dụng
在手工作业时，正感觉有点无聊	Đang cảm thấy hơi chán khi làm thủ công
[击杀模式]\n攻击目标，不死不休	[Chế độ Hạ sát]\nAttack mục tiêu, không chết không thôi
[color=#ff0000]已达到道行上限[/color]\n{0}	[color=#ff0000]Đã đạt đến giới hạn đạo hành[/color]\n{0}
驻扎	Đồn trú
快捷键	Phím tắt
神秘修行者	Tu sĩ thần bí
错误的存档，建议删除。	Tệp lưu lỗi, khuyến nghị xóa.
类型或ID不能为空！	Loại hoặc ID không được để trống!
正在加载地图故事	Đang tải câu chuyện bản đồ
最大年龄	Tuổi tối đa
门派名字不可空白。	Tên môn phái không được để trống.
在移除工作时，正快乐的哼着小调	Khi ngừng công việc, đang vui vẻ ngân nga giai điệu nhỏ
\n[color=#FF4000]负荷超出阵枢承载会导致阵法消耗大幅提高，反之则下降。[/color]	\n[color=#FF4000]Quá tải vượt quá khả năng chịu đựng của trục trận sẽ làm tiêu hao trận pháp tăng mạnh, ngược lại sẽ giảm.[/color]
门派ID>=500会带来未知的异常	ID môn phái >= 500 sẽ mang đến các lỗi không xác định
发现新的地点：{0}	Phát hiện địa điểm mới: {0}
\n房间最小面积为4，最大面积为400	\nDiện tích phòng tối thiểu là 4, tối đa là 400
影响:{0:N2}%\n程度:{1:N2}%({4:N4})\n疼痛:{2}\n趋势:{3}\n{5}	Ảnh hưởng: {0:N2}%\nMức độ: {1:N2}%({4:N4})\nĐau đớn: {2}\nKhuynh hướng: {3}\n{5}
(已成熟)	(Đã chín)
饮水	Uống nước
{0} 天道未选择，无法触发该天道!	{0} Thiên đạo chưa được chọn, không thể kích hoạt thiên đạo này!
{0}弟子	Đệ tử {0}
{0}元	{0} nguyên
将石头送人，或是拿起砖头。	Đưa đá cho người khác, hoặc cầm lấy gạch.
[关闭]	[Đóng]
拜师	Bái sư
不知道，但是我敢肯定，一定不是因为师兄你……	Không biết, nhưng tôi dám chắc, chắc chắn không phải vì sư huynh…
可控神民数量\n与心境层次有关。神民数量超出可控数量会导致怨气累加。	Số lượng thần dân có thể kiểm soát\nLiên quan đến tầng lớp tâm cảnh. Số lượng thần dân vượt quá giới hạn kiểm soát sẽ dẫn đến tích tụ oán khí.
正专心的给伤员治疗	Đang tập trung chữa trị cho người bị thương
  当前进度:	  Tiến độ hiện tại:
[兽形态]\n变身成兽形态	[Dạng thú]\nBiến hình thành dạng thú
正在解压存档文件:{0}/{1}(此过程不消耗流量)	Đang giải nén lưu tệp:{0}/{1}(quá trình này không tiêu hao lưu lượng)
空间:{0}/{1}	Không gian: {0}/{1}
来自:{0}	Đến từ: {0}
该内容中包含竹林深处(DLC)数据，未激活该DLC无法正常使用。	Nội dung này bao gồm dữ liệu từ Rừng Trúc Sâu (DLC), không kích hoạt DLC này sẽ không thể sử dụng bình thường.
神修在心境为“空”时，心境只有在心绪低于50的情况下才会增加，心绪越低，增加速度越快。反之则会减少。	Thần tu khi tâm trạng là “trống rỗng”, tâm trạng chỉ tăng khi tâm trí dưới 50, tâm trí càng thấp, tốc độ tăng càng nhanh. Ngược lại sẽ giảm.
角色入玄成功	Nhân vật nhập Huyền thành công
已阅({0:N0})	Đã xem({0:N0})
使用这个物品吗？	Sử dụng vật phẩm này chứ?
[{0}][color=#66FF00](已参悟)[/color]\n{1}	[{0}][color=#66FF00](Đã tham ngộ)[/color]\n{1}
退出	Thoát
农耕	N.Nghiệp
神修在心境为“圣”时，心境只有在神性大于50的情况下才会增加，神性越高，增加速度越快。反之则会减少。	Khi tâm cảnh của thần tu đạt "Thánh", tâm cảnh chỉ tăng khi thần tính lớn hơn 50, thần tính càng cao, tốc độ tăng càng nhanh. Ngược lại sẽ giảm.
{0}扩展包	{0} Gói mở rộng
石头	Đá
不能传给这个角色	Không thể truyền cho nhân vật này
\n（需前往世界地图的任务列表里查看）	\n(Cần xem trong danh sách nhiệm vụ trên bản đồ thế giới)
在失去肢体后，吞食建筑材料（木料，金属锭，石块）积累修复度，当修复度积累到100后，就可以完全修复自身损失的部位。	Sau khi mất đi chi thể, tiêu thụ vật liệu xây dựng (gỗ, thỏi kim loại, đá) để tích lũy độ sửa chữa. Khi độ sửa chữa đạt 100, có thể hoàn toàn phục hồi phần cơ thể bị mất.
水上建筑	Công trình trên nước
空	Không
{1}习得秘籍：《{0}》	{1} học được bí kíp: 《{0}》
秋	Mùa thu
奇物	Kỳ vật
请选择一个道具	Vui lòng chọn một đạo cụ
一座深山中的大宅因风水不好而频发怪事，请尝试改善大宅中的四个房间的风水，使之化凶为吉。\n可以点击房间中的空地来选中房间。	Một căn nhà lớn trong núi sâu thường xuyên xảy ra chuyện lạ do phong thủy không tốt, hãy thử cải thiện phong thủy của bốn phòng trong nhà để hóa hung thành cát.\nCó thể nhấp vào khoảng trống trong phòng để chọn phòng.
(等待建造材料)	(Đang chờ nguyên liệu xây dựng)
神秘人	Người bí ẩn
感悟天地	Cảm nhận thiên địa
完成 {0} 章节后解锁	Mở khóa sau khi hoàn thành chương {0}
需拜山该门派，与之建立联系才可使用。	Cần bái sơn môn phái này, thiết lập mối quan hệ mới có thể sử dụng.
防御坚韧: {0:F0}	Phòng thủ kiên cố: {0:F0}
重置快捷键	Đặt lại phím tắt
渡劫	Vượt kiếp
以灵气绘制本命真符，能保证最低效果。	Sử dụng linh khí để vẽ chân phù bản mệnh, đảm bảo hiệu quả tối thiểu.
赐器	Ban khí
开始修复	Bắt đầu sửa chữa.
炼制成功的法宝数量	Số lượng pháp bảo luyện chế thành công
版本号请使用浮点数	Vui lòng sử dụng số phiên bản dạng số thực
{0} {1:N0}岁 {2}	{0} {1:N0} tuổi {2}
无法选择该信徒	Không thể chọn tín đồ này
垂钓中	Đang câu cá
角色属性数据	Dữ liệu thuộc tính nhân vật
Lua代码不能为空	Mã Lua không được để trống
弟子男	Đệ tử nam
删除所选择的角色。	Xóa nhân vật đã chọn.
好感度达到{0}	Thiện cảm đạt {0}
\n这里面似乎困着一只{0}	\nCó vẻ như có một {0} bị mắc kẹt ở đây.
水	Nước
该单位不能作为目标	Đơn vị này không thể làm mục tiêu
容量不足	Dung lượng không đủ
门派正遭受攻击	Môn phái đang bị tấn công
睡觉	Ngủ.
无心搬运这些东西，正一脸不开心	Không muốn vận chuyển những thứ này, đang tỏ vẻ không vui
\n[color=#FF0000]---风水外泄[/color]	\n[color=#FF0000]---Phong thủy rò rỉ[/color]
[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]	[color=#FF0000](Không có hàng tồn kho)[/color]\n[color=#604343]Nguồn gốc: {0}[/color]
此物品相对稀有，价值贵重。	Vật phẩm này khá hiếm, giá trị cao.
推演万物生长	Diễn giải sự sinh trưởng của vạn vật
非常抱歉！获取用户ID失败,请您打开相应权限或登录对应账号并重试\n如果需要支持或者报告问题，请发送邮件至:\nQA@GSQStudio.com。	Rất xin lỗi! Thu nhận ID người dùng thất bại, vui lòng Mở quyền tương ứng hoặc đăng nhập tài khoản tương ứng và thử lại.\nNếu cần hỗ trợ hoặc báo cáo Vấn đề, xin gửi email đến:\nQA@GSQStudio.com.
由于{0},{1}的政策被取消了，请重新选择政策	Do {0}, chính sách của {1} đã bị hủy bỏ, vui lòng chọn lại chính sách.
轮回者不能改变经历。	Người luân hồi không thể thay đổi trải nghiệm.
仓库筛选	Lọc kho
已经领取过任务奖励,无法重复领取!	Đã nhận phần thưởng nhiệm vụ, không thể nhận lại!
收获时心不在焉，正想找个机会偷懒	Thu hoạch mất tập trung, đang muốn tìm cơ hội lười biếng
攻击该建筑。	Tấn công công trình này.
衣服	Quần áo
新故事	Câu chuyện mới
正在乐呵呵的切石中	Đang vui vẻ cắt đá
货币\n灵石是各大门派和行商之间流通的唯一货币。	Tiền tệ\n Linh thạch là loại tiền tệ duy nhất lưu thông giữa các môn phái và thương nhân.
删除区域	Xóa khu vực
初始化{0}..({1}/{2})	Khởi tạo {0}..({1}/{2})
支付服务不可用,请稍后再试	Dịch vụ thanh toán hiện không khả dụng, vui lòng thử lại sau
解锁新的角色：\n[align=center][color=#306BC7]{0}[/color][/align]	Mở khóa nhân vật mới:\n[align=center][color=#306BC7]{0}[/color][/align]
魔宫	Ma cung
{0}[color=#ff0000]({3})[/color]\n剩余:{1}   [color=#ff0000]需要:{2}[/color]\n来源:{4}	{0}[color=#ff0000]({3})[/color]\nCòn lại:{1}   [color=#ff0000]Cần:{2}[/color]\nNguồn:{4}
角色的大部分信息(属性、情绪、健康等)都可以在角色面板查看到。\n情绪是角色最重要的模块，它反应了角色的喜怒哀乐，表达了角色的需求。\n[color=#9e6404]关心角色的情绪，并试图满足角色的需求，是维持门派良好运转的核心手段。[/color]	Phần lớn thông tin của nhân vật (thuộc tính, cảm xúc, sức khỏe v.v.) có thể xem trong bảng nhân vật.\nCảm xúc là module quan trọng nhất của nhân vật, phản ánh niềm vui, nỗi buồn, nhu cầu của nhân vật.\n[color=#9e6404]Quan tâm đến cảm xúc của nhân vật và cố gắng đáp ứng nhu cầu của họ là cách cốt lõi để duy trì sự vận hành tốt của môn phái.[/color]
已习得\n{0}种	Đã học được\n{0} loại
刚完成搬运工作，准备洗洗手收工	Vừa hoàn thành vận chuyển, chuẩn bị rửa tay nghỉ ngơi
这将会打断当前工作，确认立即进行渡劫吗？	Điều này sẽ làm gián đoạn công việc hiện tại, xác nhận tiến hành vượt kiếp ngay lập tức?
开	Mở
鼎炉潜力开发至极限，需结丹以突破鼎炉之限。	Tiềm năng đỉnh lô phát triển đến cực hạn, cần kết đan để vượt qua giới hạn đỉnh lô.
天苍历{0}年，在修行界{1}的{2}覆灭。	Năm {0} theo lịch Thiên Thương, {2} đã bị hủy diệt trong giới tu hành {1}.
[克己]克制自己之欲望，使神性的获得速度加快。同时获得临时的神性加值(最多为真实神性的一半)。\n克己状态下心境不会减少且加速增加。	[Khắc kỷ] Kiềm chế dục vọng bản thân, tăng tốc độ nhận thần tính. Đồng thời nhận được giá trị thần tính tạm thời (tối đa bằng một nửa thần tính thực).\nTrong trạng thái khắc kỷ, tâm cảnh sẽ không giảm mà tăng nhanh hơn.
影响岐黄，巧匠技巧，在进入内门时转化为炼丹，炼器的比例。	Ảnh hưởng đến tỷ lệ chuyển đổi giữa luyện đan và luyện khí khi vào nội môn.
收获	Thu hoạch
非中文	Không phải tiếng Trung
{2}{3}\n {0}\n剩余:{1}	{2}{3}\n {0}\nCòn lại: {1}
正在加载	Đang tải
仔细观察了一番，但思绪碎片过多，无法获得。	Quan sát kỹ lưỡng một hồi, nhưng các mảnh suy nghĩ quá nhiều, không thể thu được.
月轮山麓，太一门。\n 年关将至，虽然掌教为突破金丹境界，已闭关数日未曾露面。但举派上下已投身在新年将至的喜悦中，无不振奋…… 	Chân núi Nguyệt Luân, Thái Nhất Môn.\n Năm mới gần đến, dù chưởng giáo đã bế quan nhiều ngày không xuất hiện để đột phá cảnh giới Kim Đan, nhưng toàn môn phái đã chìm trong niềm vui năm mới sắp đến, ai nấy đều phấn chấn... 
 缺少理智\n	 Thiếu lý trí\n
臣服	Phục tùng
defName=>{0} 地图中随机受伤的npc名字=>{1} {2}	defName=>{0} Tên NPC ngẫu nhiên bị thương trên bản đồ=>{1} {2}.
正懒懒散散的练习护体中	Đang lười biếng luyện tập hộ thể
围观	Quan sát
请选择感知	Vui lòng chọn cảm giác
正在乐呵呵的收获中	Đang vui vẻ thu hoạch
真炁恢复: {0:F2}/秒	Khí chân phục hồi: {0:F2}/giây
全部展开	Mở rộng tất cả
设置种植植物	Cài đặt cây trồng
开始打包	Bắt đầu đóng gói
获得配方：{0}	Nhận công thức: {0}
轮回者 {0} 数据写入中...	Người luân hồi {0} đang ghi dữ liệu...
魔(封闭)	Ma (Phong bế)
美景	Cảnh đẹp
分神：\n已获得：{0}\n可寄托：{1}\n已寄托：{2}({4})\n未获得：{3}	Phân thần:\nĐã nhận được: {0}\nCó thể ký thác: {1}\nĐã ký thác: {2}({4})\nChưa nhận được: {3}
\n[color=#0000FF]所属工作:{0}[/color]	\n[color=#0000FF]Công việc thuộc về: {0}[/color]
轮回者：{0} \n灵智不够，无法保存	Người luân hồi: {0} \nLinh trí không đủ, không thể lưu trữ
取消材料更换	Hủy thay đổi nguyên liệu
影响制药速度，治疗外门伤的疗效等	Ảnh hưởng tốc độ bào chế thuốc, hiệu quả chữa trị vết thương ngoại môn, v.v.
极热	Nóng cực độ
消耗25点香火值，获得祖师的赏赐。	Tiêu hao 25 điểm hương hỏa, nhận được sự ban thưởng của Tổ Sư.
\n\n<font color=#D06508>[政策每日消耗]</font>	\n\n<font color=#D06508>[Tiêu hao chính sách hàng ngày]</font>
多次点击可批量建造！	Nhấp nhiều lần để xây dựng hàng loạt!
获取角色失败	Lấy nhân vật thất bại
<font color=#FF0000>(不合)</font>	<font color=#FF0000>(Không phù hợp)</font>
修行运转之法	Phương pháp vận hành tu hành
参悟值：{0:F0}\n{1}	Giá trị tham ngộ: {0:F0}\n{1}
是否切换绘制模式，此操作会导致刷新符咒绘制面板且不会退还灵力。	Có muốn chuyển sang chế độ vẽ không? Thao tác này sẽ làm mới bảng vẽ bùa và không hoàn trả linh lực.
尚有角色处于警戒区域，请先远离门派区域	Vẫn còn nhân vật đang ở khu vực cảnh giới, vui lòng rời khỏi khu vực môn phái trước.
凝神望天	Ngưng thần nhìn trời
注意：修改已存在背景故事的分类可能会导致引用轮回者相应背景丢失。	Lưu ý: Việc chỉnh sửa danh mục cốt truyện đã tồn tại có thể dẫn đến mất đi các liên kết tương ứng với người luân hồi.
[color=#FFA900]\n[阵眼玄机][/color]	[color=#FFA900]\n[Huyền cơ trận nhãn][/color]
账号	Tài khoản
无品质	Không có phẩm chất
请先选择城市	Vui lòng chọn thành phố trước
软弱	Yếu đuối
[color=#66FF00]已参悟[/color]	[color=#66FF00]Đã lĩnh ngộ[/color]
你们悉数被击败，已无人有一战之力，一股巨大的力量将你们推出了此地。	Các ngươi đã bị đánh bại hoàn toàn, không ai còn đủ sức chiến đấu, một sức mạnh lớn đã đẩy các ngươi ra khỏi nơi này.
CloudSave->开始上传:meta信息为:Filename:{0} Description:{1} TotalTimePlayed:{2} LastModifiedTimestamp:{3} SaveID:{4}	CloudSave->Bắt đầu tải lên: meta thông tin là: Filename:{0} Description:{1} TotalTimePlayed:{2} LastModifiedTimestamp:{3} SaveID:{4}
危机四伏	Nguy hiểm rình rập
选择代理人	Chọn đại diện.
选择主材料	Chọn nguyên liệu chính
耐久：{0:F0}/{1:F0}\n	Độ bền: {0:F0}/{1:F0}\n
刚做完饭，准备休息一下	Vừa nấu ăn xong, chuẩn bị nghỉ ngơi một chút
练习秘法时，正乐在其中	Đang vui vẻ khi luyện tập bí pháp
远离炼宝台	Tránh xa đài luyện bảo
无法学习	Không thể học
选择模组文件夹	Chọn thư mục mod
大地与土壤	Đại địa và đất
\n角色属性底蕴不足	\nNền tảng thuộc tính nhân vật không đủ
无心筑基，正想偷懒	Không có tâm xây dựng cơ sở, đang muốn lười biếng
\n隐约透露几分秘宝之息	\nẨn hiện vài phần hơi thở bảo vật
需要选择一个条件！	Cần chọn một điều kiện!
{1}已习得秘籍：《{0}》，无法再次领悟。	{1} đã học bí kíp: 《{0}》, không thể lĩnh ngộ lại.
{0}对你好感度{2}{1:F0}点	{0} có hảo cảm với bạn {2} {1:F0} điểm
角色死亡，无法展开神国	Nhân vật đã tử vong, không thể mở rộng thần quốc
摧毁一个建筑。	Phá hủy một công trình.
加满一个内门弟子的灵气	Bổ sung linh khí cho một đệ tử nội môn
