Key	Value
[NAME]悄悄追踪这几位长老的踪迹。发现这是一群{0}的内门长老在下山历练。\n[NAME]心生歹意，暗中凝聚杀招，想发起偷袭，但没想到对方早已发现，将计就计重创了[NAME]。\n[NAME]鲜血狂喷，勉强护住心脉，逃离战场。但这敌人并不打算放过[NAME]，他们循着气息一路追来。	[NAME] lặng lẽ theo dõi hành tung của những trưởng lão này, phát hiện họ là một nhóm trưởng lão nội môn của {0} đang xuống núi rèn luyện. [NAME] nảy sinh ý đồ xấu, âm thầm tụ lực sát chiêu, định bất ngờ tấn công, nhưng không ngờ đối phương đã sớm phát hiện, lấy kế đối kế đánh trọng thương [NAME]. [NAME] phun máu tươi, cố gắng bảo vệ tâm mạch, thoát khỏi chiến trường. Nhưng đám địch này không định buông tha [NAME], chúng lần theo khí tức truy đuổi suốt đường.
[NAME]树干之上忽有异状。竟然不知何时分泌出一些事物。	Trên thân cây của [NAME] đột nhiên có dị trạng. Không biết từ lúc nào đã tiết ra một số sự vật.
[NAME]以神念探查，却感觉怀中《太一秘典》一震。小乾坤界中本来阻隔神念的封界竟豁然洞开。	[NAME] dùng thần niệm dò xét, bỗng cảm nhận được quyển "Thái Nhất Bí Điển" trong lòng rung lên. Giới phong trong Tiểu Thiên Khung Giới vốn ngăn cách thần niệm đột nhiên mở ra.
[NAME]以神念探查，但一如既往的毫无成效。	[NAME] dùng thần niệm dò xét, nhưng như thường lệ chẳng có kết quả gì.
[NAME]无法发出神念。	[NAME] không thể phát ra thần niệm.
天地灵根成熟，天象异变。似乎有%s伙贼人闻风而动，向此处袭来。	Khi linh căn trời đất trưởng thành, thiên tượng biến đổi. Dường như có %s nhóm kẻ trộm nghe tin mà kéo đến nơi này.
[NAME]放弃了这次尝试。	[NAME] từ bỏ lần thử nghiệm này.
[NAME]树干之上忽有异状，似乎要分泌出一些事物。不过由于灵气不足，最终只出现了一些无用之物。	Trên thân cây của [NAME] đột nhiên có dị trạng, dường như muốn tiết ra một số sự vật. Nhưng do linh khí không đủ, cuối cùng chỉ xuất hiện một số vật vô dụng.
献祭要求：%s	Yêu cầu tế lễ: %s
[NAME]施展神通，一番争斗，最终从一名{0}的弟子手中夺得法宝。	[NAME] thi triển thần thông, sau một trận tranh đấu, cuối cùng đoạt được pháp bảo từ tay một đệ tử của {0}.
无事发生	Không có chuyện gì xảy ra.
[NAME]施展神通，一番争斗，但可惜的是最终棋差一招，惜败于一名{0}的弟子，与法宝无缘。	[NAME] thi triển thần thông, sau một trận tranh đấu, nhưng đáng tiếc cuối cùng lại thua một chiêu, thất bại trước một đệ tử của {0}, không thể đoạt được pháp bảo.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在结丹成功后，成功借助突破时天地交感的契机，感悟到一丝大道。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi kết đan thành công, đã tận dụng cơ hội giao cảm giữa trời đất khi đột phá để lĩnh ngộ một chút về Đại Đạo.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在结丹成功后，突然从天地交感的契机中悟出一套秘法。[name]赶忙将这一丝灵光记录下来。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi kết đan thành công, bất ngờ lĩnh hội được một bộ pháp môn bí mật từ cơ hội giao cảm giữa trời đất. [name] vội vàng ghi lại tia linh quang này.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在缔结金丹后，突然领会到[obj_gong]的一丝真意。[name]当场沉浸在这一化境中，等回过神来，发现修为已然大进。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi kết thành Kim Đan, bất ngờ lĩnh ngộ một chút chân ý của [obj_gong]. [name] lập tức chìm đắm trong cảnh giới này, đến khi tỉnh lại thì phát hiện tu vi đã đại tiến.
{0}尝试安抚他，展现了处世之道：“别慌，冷静一下。”两人细说了一番，但无法通过安抚他来治好病。	{0} cố gắng trấn an anh ta, thể hiện cách đối nhân xử thế: "Đừng hoảng, bình tĩnh lại." Hai người nói chuyện một lúc, nhưng không thể trấn an anh ta để chữa bệnh.
{0}吼道：“急啥？很急吗？”男子真的很急，决定离开去找他人。	{0} hét lớn: "Gấp cái gì? Có gì mà gấp?" Người đàn ông thực sự rất gấp, quyết định rời đi tìm người khác.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在缔结金丹后，突然领会到[obj_gong]的一丝真意。可惜的是[name]的修行遇到了瓶颈，并没能抓住这一丝灵感。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi kết thành Kim Đan, bất ngờ lĩnh ngộ một chút chân ý của [obj_gong]. Đáng tiếc, [name] gặp phải bình cảnh trong tu luyện, không thể nắm bắt được tia linh cảm này.
{0}对众人说：“来做我的信徒，我就帮你救妻子。”他立即决定加入。{0}去一看，发现她妻子身受属性伤害，他也毫无办法。	{0} nói với mọi người: "Hãy trở thành tín đồ của ta, ta sẽ giúp ngươi cứu vợ." Anh ta lập tức đồng ý gia nhập. {0} đi xem, phát hiện vợ anh ta bị tổn thương thuộc tính, nhưng {0} không có cách nào giúp được.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在结丹成功后，突然领会到[obj_gong]的一丝真意。[name]当场沉浸在这一化境中，等回过神来，发现修为已然大进。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi kết đan thành công, bất ngờ lĩnh ngộ một chút chân ý của [obj_gong]. [name] lập tức chìm đắm trong cảnh giới này, đến khi tỉnh lại thì phát hiện tu vi đã đại tiến.
{0}决定先看一下病情，再找方法。发现她妻子受到的是属性伤害，需要内门丹药。{0}没有法力，无法为其疗伤。	{0} quyết định xem bệnh trước, rồi tìm cách. Phát hiện vợ anh ta bị tổn thương thuộc tính, cần đan dược nội môn. {0} không có pháp lực, không thể chữa trị.
{0}准备给他点食物缓一缓，但他并不想吃。	{0} định đưa anh ta chút thức ăn để bình tĩnh lại, nhưng anh ta không muốn ăn.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在结丹成功后，突然感觉内息一阵紊乱，全身灵气竟然失守。[name]连忙运功镇压，但也已经受了不轻的内伤。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi kết đan thành công, bỗng nhiên cảm thấy nội tức hỗn loạn, toàn thân linh khí mất kiểm soát. [name] lập tức vận công trấn áp, nhưng đã bị nội thương không nhẹ.
{0}带了点灵石，前往他家。发现她妻子受到的是属性伤害，需要内门丹药。随即找附近的散修买了丹药，给她服用，好了很多。卖药之人在此地有一定声望，对{0}赞许有加。	{0} mang ít linh thạch, đến nhà anh ta. Phát hiện vợ anh ta bị tổn thương thuộc tính, cần đan dược nội môn. Sau đó tìm một tán tu gần đó mua đan dược, cho nàng uống, tình trạng khá hơn nhiều. Người bán thuốc có tiếng tăm nhất định ở nơi này, rất khen ngợi {0}.
灵石-100	Linh thạch -100
{0}带了点灵石，前往他家。发现她妻子受到的是属性伤害，需要内门丹药。随即找附近的散修买丹药，售价100，但身上的灵石数量居然不够买。	{0} mang ít linh thạch, đến nhà anh ta. Phát hiện vợ anh ta bị tổn thương thuộc tính, cần đan dược nội môn. Sau đó tìm một tán tu gần đó mua đan dược, giá 100, nhưng không đủ linh thạch để mua.
{0}拿了根木棍，但无法下手攻击一位求助之人。	{0} cầm một cây gậy, nhưng không nỡ đánh một người đến cầu cứu.
{0}拿了块石头，但无法下手攻击一位求助之人。	{0} nhặt một hòn đá, nhưng không nỡ đánh một người đến cầu cứu.
决定不处理这个事件。	Quyết định không xử lý sự kiện này.
决定使用处世来解决事件。	Quyết định sử dụng kỹ năng xử thế để giải quyết sự kiện.
决定依靠魅力来解决事件。	Quyết định dựa vào sức hấp dẫn để giải quyết sự kiện.
决定使用武力来解决事件。	Quyết định sử dụng vũ lực để giải quyết sự kiện.
决定依靠悟性来解决事件。	Quyết định dựa vào sự giác ngộ để giải quyết sự kiện.
决定使用食物来解决事件。	Quyết định sử dụng thức ăn để giải quyết sự kiện.
决定使用灵石来解决事件。	Quyết định sử dụng linh thạch để giải quyết sự kiện.
决定使用原木来解决事件。	Quyết định sử dụng gỗ nguyên liệu để giải quyết sự kiện.
决定使用石头来解决事件。	Quyết định sử dụng đá để giải quyết sự kiện.
决定选择某个弟子来解决事件。	Quyết định chọn một đệ tử để giải quyết sự kiện.
代理人{1}想了想，{0}	Người đại diện {1} suy nghĩ một lúc, {0}.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在渡劫最后关头，突然福至心灵，将一丝天劫之息以偷天之法盗了出来。	[rand_lable=desc_time,desc_place,desc_weather], [name] trong thời khắc cuối cùng khi độ kiếp, bất ngờ linh cảm dâng trào, dùng pháp môn trộm thiên khí để lấy một tia thiên kiếp chi tức.
获得了{0}点影响值。	Đã nhận được {0} điểm giá trị ảnh hưởng.
跟行商对话	Đối thoại với thương nhân
[rand_lable=desc_time,desc_place,desc_weather]，[name]在炼制[obj]时，神识突然与炉中的材料合为一体，甚至能清晰的感受到其中药性最细微的变化。[name]以神念御丹，最终竟然一炉成丹数倍！	[rand_lable=desc_time,desc_place,desc_weather], [name] khi luyện chế [obj], thần thức bất ngờ hòa làm một với nguyên liệu trong lò, thậm chí cảm nhận rõ ràng những thay đổi nhỏ nhất của dược tính bên trong. [name] dùng thần niệm điều khiển đan, cuối cùng luyện chế ra số lượng đan dược gấp nhiều lần!
[rand_lable=desc_time,desc_place,desc_weather]，[name]在炼制[obj]失败后，却若有所思，仔细体悟之下竟然另有收获。	[rand_lable=desc_time,desc_place,desc_weather], [name] sau khi thất bại trong việc luyện chế [obj], lại ngộ ra điều gì đó, sau khi suy ngẫm kỹ càng thì có thêm thu hoạch mới.
祖师自天界赐下的神物。	Thần vật được tổ sư ban xuống từ thiên giới.
永夜	Vĩnh Dạ
灵气枯竭	Linh Khí Cạn Kiệt
暴雨	Mưa Lớn
[rand_lable=desc_time,desc_place,desc_weather]，[name]在炼制[obj]时，突然体会到天地如烘炉，熔炼万物的至理。一瞬间，炉中材料被淬炼至精纯之境！	[rand_lable=desc_time,desc_place,desc_weather], [name] khi luyện chế [obj], bất ngờ lĩnh hội được chân lý "thiên địa như lò rèn, nung chảy vạn vật". Trong chốc lát, nguyên liệu trong lò được tinh luyện đến mức tinh khiết nhất!
{0}尝试安抚他，展现了处世之道：“要不算了，何必为恶呢？”然而匪徒并不听劝，继续前进，扰乱了民生。	{0} cố gắng trấn an anh ta: "Hay là thôi đi, cần gì phải làm việc ác?" Nhưng tên cướp không nghe, tiếp tục tiến tới, gây rối dân sinh.
{0}带领弟子，决定与他们直接对抗。{0}武力高强，将其击退。匪徒四散而逃。群众对{0}表示感谢。	{0} dẫn các đệ tử, quyết định trực tiếp đối đầu với chúng. {0} võ lực cao cường, đánh bại chúng. Tên cướp bỏ chạy tứ tán. Dân chúng cảm ơn {0}.
{0}带领弟子，决定与他们直接对抗。然而{0}武力不足，无法抗衡。匪徒击败{0}后还是入城，扰乱了民生。	{0} dẫn các đệ tử, quyết định trực tiếp đối đầu với chúng. Nhưng {0} võ lực không đủ, không thể chống lại. Tên cướp đánh bại {0} rồi vẫn vào thành, gây rối dân sinh.
{0}对众人说：“来做我的信徒吧，有很多好处的。”这群匪徒哈哈大笑，认为{0}是傻子，继续去扰乱民生。	{0} nói với mọi người: "Hãy trở thành tín đồ của ta, có rất nhiều lợi ích." Đám cướp cười ha hả, cho rằng {0} là kẻ ngốc, tiếp tục gây rối dân sinh.
{0}对匪徒说，此城夜晚无人驻守，可夜晚再来。他们趁夜色，扰乱了民生。	{0} nói với đám cướp, rằng thành này ban đêm không có ai canh giữ, có thể quay lại vào ban đêm. Chúng lợi dụng bóng tối, gây rối dân sinh.
{0}准备给他点食物缓一缓，但他们并不在乎这点食物。	{0} định đưa chúng chút thức ăn để bình tĩnh lại, nhưng chúng không quan tâm chút thức ăn này.
{0}带了点灵石，但他们并不知道灵石。	{0} mang ít linh thạch, nhưng chúng không biết linh thạch là gì.
{0}拿了根木棍，决定攻击他们。{0}武力高强，将其击退。匪徒四散而逃。群众对{0}表示感谢。	{0} cầm một cây gậy, quyết định tấn công chúng. {0} võ lực cao cường, đánh bại chúng. Tên cướp bỏ chạy tứ tán. Dân chúng cảm ơn {0}.
{0}拿了根木棍，决定攻击他们。然而{0}武力不足，无法抗衡。匪徒击败{0}后还是入城，扰乱了民生。	{0} cầm một cây gậy, quyết định tấn công chúng. Nhưng {0} võ lực không đủ, không thể chống lại. Tên cướp đánh bại {0} rồi vẫn vào thành, gây rối dân sinh.
{0}拿了块石头，与他们战斗。{0}武力高强，将其击退。匪徒四散而逃。群众对{0}表示感谢。	{0} nhặt một hòn đá, chiến đấu với chúng. {0} võ lực cao cường, đánh bại chúng. Tên cướp bỏ chạy tứ tán. Dân chúng cảm ơn {0}.
{0}拿了块石头，与他们战斗。然而{0}武力不足，无法抗衡。匪徒击败{0}后还是入城，扰乱了民生。	{0} cầm một viên đá, chiến đấu với họ. Tuy nhiên {0} sức mạnh không đủ, không thể chống lại. Bọn cướp đánh bại {0} rồi vẫn vào thành, gây rối cuộc sống của dân.
传闻本派八宝功德池中蕴含宇宙之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Bát Bảo Công Đức Trì của bản phái chứa đựng đạo lý vũ trụ, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派万道尊法座中蕴含天地开辟之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Vạn Đạo Tôn Pháp Tọa của bản phái chứa đựng đạo lý khai thiên lập địa, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派七情建木中蕴含阴阳之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Thất Tình Kiến Mộc của bản phái chứa đựng đạo lý âm dương, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派周天星斗盘中蕴含时空衍生与日月之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Chu Thiên Tinh Đẩu Bàn của bản phái chứa đựng đạo lý thời không diễn sinh và nhật nguyệt, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派五龙玄阳塔中蕴含始终之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Ngũ Long Huyền Dương Tháp của bản phái chứa đựng đạo lý khởi thủy và kết thúc, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派剑池中蕴含生灭之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Kiếm Trì của bản phái chứa đựng đạo lý sinh diệt, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派灵玉峰中蕴含万灵生发之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Linh Ngọc Phong của bản phái chứa đựng đạo lý vạn linh sinh phát, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派万骨邪法坛中蕴含时空尽衰之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Vạn Cốt Tà Pháp Đàn của bản phái chứa đựng đạo lý thời không tận suy, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派玄磁天坑中蕴含天地归寂之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Huyền Từ Thiên Khảm của bản phái chứa đựng đạo lý thiên địa quy tịch, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派七杀神碑中蕴含万物陨灭之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Thất Sát Thần Bi của bản phái chứa đựng đạo lý vạn vật hủy diệt, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
传闻本派玄阴圣泉中蕴含造化之道，将其运用于阵法威力无穷……不知道是不是真的……	Nghe nói Huyền Âm Thánh Tuyền của bản phái chứa đựng đạo lý tạo hóa, khi áp dụng vào trận pháp thì uy lực vô cùng... không biết có thật hay không...
听说老王家邻居又添了个新丁，羡慕死了！	Nghe nói nhà lão Vương hàng xóm lại vừa có thêm một đứa trẻ, thật đáng ghen tị!
最近我们村的有的年轻人也着了魔怔，天天堵在村口，闹什么罢工，还动手打捕快。真是造孽。	Gần đây một số thanh niên trong làng chúng tôi cũng bị ma làm, ngày nào cũng chặn ở cổng làng, làm loạn đình công, còn đánh cả bộ khoái. Thật là tội lỗi.
没有什么新鲜事啊，一切都平淡无奇！好想也能有仙缘降临在我身上啊。可是我从来都没见过仙人，真让人沮丧……	Chẳng có gì mới mẻ cả, tất cả đều bình thường đến kỳ lạ! Thật muốn có tiên duyên giáng xuống trên người tôi. Nhưng tôi chưa từng gặp tiên nhân, thật là thất vọng...
前几天遇到个配钥匙的，说的话可真让人生气。	Mấy ngày trước gặp một người làm chìa khóa, lời nói của hắn thật khiến người ta tức giận.
最近村里的吃的老是不见，奇怪。	Gần đây đồ ăn trong làng cứ biến mất một cách kỳ lạ.
你说有没有一种可能，那些高来高去的仙人也会偷偷拿我们的东西？	Bạn nói xem có khả năng nào không, rằng những tiên nhân cao thâm đó cũng lén lấy đồ của chúng ta?
此处是铜陵山地界，近日东南方似乎有个怪人出没……真让人担心……	Đây là khu vực núi Đồng Lăng, gần đây phía đông nam dường như có một người kỳ lạ xuất hiện... thật đáng lo ngại...
天下诸多削铁如泥之利器，却少闻削泥如铁之钝器。利器专于采粗琢坚，钝器专于集脆建筑，各有所用也。吾辈所用皆为利器，闻世上稀有采玉之钝器，但不知何处可循。	Thiên hạ có nhiều lợi khí sắc bén cắt sắt như bùn, nhưng ít nghe thấy loại khí cùn cắt bùn như sắt. Lợi khí chuyên để cắt thô và đục cứng, khí cùn chuyên để xây dựng giòn, mỗi loại có công dụng riêng. Chúng ta dùng toàn lợi khí, nghe nói trên đời hiếm có khí cùn khai thác ngọc, nhưng không biết tìm ở đâu.
之前看到个卖艺的，他带着各种野兽，那些野兽还会自己排阵排列。有一次他来，被一个穿兽皮的人叫住了说了几句，所有野兽都被那穿兽皮的收走，卖艺的也跟他走了，后来就再也没来过了。	Trước đây thấy một người biểu diễn, mang theo đủ loại dã thú, những con thú đó còn tự xếp trận hình. Một lần hắn đến, bị một người mặc áo da thú gọi lại nói vài câu, tất cả dã thú đều bị người mặc áo da thú thu đi, người biểu diễn cũng đi theo, sau đó không bao giờ thấy lại.
这里虽然干旱，可也有下雨的时候。	Nơi này tuy khô hạn, nhưng cũng có lúc mưa.
我爷爷说，世上那最高峰山顶有个池子，以前还会喷火！	Ông nội tôi nói, trên đỉnh ngọn núi cao nhất thế gian có một cái hồ, trước đây còn phun lửa!
神木林中有些奇怪的蘑菇，吃了之后看见有好多精灵在帮我切石，好快乐啊！	Trong rừng thần mộc có một số nấm kỳ lạ, ăn vào liền thấy rất nhiều tinh linh giúp tôi cắt đá, thật vui vẻ!
我以前去过大漠做生意，有个村子里的人啊，只吃生肉啊……面粉他们根本不会吃也不会做！	Trước đây tôi từng đến sa mạc buôn bán, có một ngôi làng, người dân ở đó chỉ ăn thịt sống... họ hoàn toàn không biết ăn hay làm bột mì!
前几天村里有个人吃了外地买来的蘑菇，昏睡三天，睡觉的时候时而大汗不止，时而哈哈大笑。结果醒来之后跟我们说他在梦中看见整个村子的人都变成了鸟，我们都觉得他疯了，但他后来也挺正常的。	Mấy ngày trước trong làng có người ăn nấm mua từ nơi khác, ngủ li bì ba ngày, lúc ngủ thì lúc đổ mồ hôi không ngừng, lúc cười ha hả. Kết quả tỉnh dậy nói với chúng tôi rằng trong mơ thấy cả làng biến thành chim, chúng tôi đều nghĩ anh ta điên, nhưng sau đó anh ta lại bình thường.
有一天有个外地人卖蘑菇，很便宜，我买了点回家吃了之后，感觉墙上都是花朵，我就一直采一直采……不知多少天之后，发现大家都用异样的眼神看着我，原来我一直在墙边挖土……	Một ngày nọ có người từ nơi khác bán nấm, rất rẻ, tôi mua về ăn, cảm thấy tường toàn là hoa, tôi cứ hái mãi... không biết bao nhiêu ngày sau, phát hiện mọi người nhìn tôi bằng ánh mắt lạ lùng, hóa ra tôi đã đào đất bên tường suốt thời gian đó...
江岸沃野面粉产量奇高，我们祖上小麦产量不弱于他们，可面粉产量却不及其半也不知为何。	Đồng bằng ven sông sản lượng bột mì rất cao, tổ tiên chúng tôi sản lượng lúa mì không kém họ, nhưng sản lượng bột mì lại chỉ bằng một nửa, không biết tại sao.
我们的棉花很多都卖给了芦墟村，那里的人缝纫速度极快无比，其中女工都佩戴一种似护腕的东西……	Bông vải của chúng tôi phần lớn đều bán cho làng Lô Hư, người ở đó may vá cực kỳ nhanh chóng, các nữ công nhân đều đeo một thứ giống như vòng bảo vệ cổ tay...
太阳底下哪有什么新鲜事……无非是柴米油盐酱醋茶罢了	Dưới ánh mặt trời có gì mới mẻ đâu... chẳng qua cũng chỉ là củi, gạo, dầu, muối, tương, dấm, trà mà thôi.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在炼制[obj]时，突然心中一动，捕捉到一丝天道运转的浩瀚之气息，并成功将之化入作品中。	[rand_lable=desc_time,desc_place,desc_weather], [name] khi luyện chế [obj], bỗng nhiên trong lòng khẽ động, bắt được một tia khí tức mênh mông của thiên đạo vận chuyển và thành công dung nhập nó vào tác phẩm.
[NAME]掳走了几个凡人。幸运的是，此事滴水不漏，无人察觉。	[NAME] bắt cóc một vài người phàm. May mắn thay, việc này không bị phát hiện, không ai hay biết.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，宣扬开来。	[NAME] bắt cóc một vài người phàm. Không may, việc này bị lộ ra và lan truyền rộng rãi.
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。	[NAME] bắt cóc một vài người phàm. Không may, việc này bị lộ ra và bị một nhóm chính phái phát hiện, họ truy tìm và đến tận nơi.
代理人{3}在{2}收获了{0}个{1}	Người đại diện {3} đã thu hoạch được {0} {1} tại {2}.
土属性	Thuộc Tính Thổ
金属性	Thuộc Tính Kim
任意	Bất Kỳ
火属性	Thuộc Tính Hỏa
水属性	Thuộc Tính Thủy
木属性	Thuộc Tính Mộc
%d个%d阶以上%s物品	%d vật phẩm từ cấp %d trở lên %s
代理人让弟子一起努力	Người đại diện kêu gọi đệ tử cùng nhau nỗ lực.
啥都没有拿到。	Không thu được gì cả.
代理人凭借力量挖掘，并仔细辨认	Người đại diện dựa vào sức mạnh để khai thác và cẩn thận nhận diện.
代理人和弟子并没有那么高的体力，啥都没找到。	Người đại diện và đệ tử không đủ thể lực, không tìm thấy gì cả.
代理人虽用灵石作引，但无法辨认宝物在何方。啥都没找到。	Người đại diện dù dùng linh thạch dẫn dắt nhưng không thể nhận diện bảo vật ở đâu. Không tìm thấy gì cả.
代理人使用灵石作引	Người đại diện sử dụng linh thạch dẫn dắt.
代理人使用木头轻轻开凿	Người đại diện sử dụng gỗ để nhẹ nhàng khai thác.
代理人使用木头开凿，但无法辨认出宝物	Người đại diện sử dụng gỗ để khai thác nhưng không thể nhận diện bảo vật.
代理人使用灵石作引，并仔细辨认	Người đại diện sử dụng linh thạch dẫn dắt và cẩn thận nhận diện.
代理人使用石头开凿，仔细辨认	Người đại diện sử dụng đá để khai thác và cẩn thận nhận diện.
代理人虽用石头开凿，但无法辨认宝物。	Người đại diện dù dùng đá để khai thác nhưng không thể nhận diện bảo vật.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在与蜚嬉戏时，突然灵感触动，竟然若有所悟。	[rand_lable=desc_time,desc_place,desc_weather], [name] khi đang vui đùa với phi, bất ngờ linh cảm dâng trào, dường như lĩnh ngộ được điều gì đó.
代理人想要击杀一些小妖兽，但力量不足，无法抗衡	Người đại diện muốn tiêu diệt một số tiểu yêu thú nhưng không đủ sức mạnh để đối kháng.
代理人杀了一些小妖兽	Người đại diện đã tiêu diệt một số tiểu yêu thú.
[NAME]上前接受阵法的检测，机缘所致顺利接受了道统的传承。	[NAME] tiến lên nhận kiểm tra của pháp trận, cơ duyên đến thuận lợi nhận được truyền thừa đạo thống.
<font color=#FFF3D0>献祭要求：%d个%s阶以上%s物品</font>	<font color=#FFF3D0>Yêu cầu tế lễ: %d vật phẩm từ cấp %s trở lên %s</font>
[NAME]尝试炼化天道本源，也许是机缘所致，竟然有惊无险的完成了炼化。	[NAME] thử luyện hóa bản nguyên thiên đạo, có lẽ do cơ duyên đưa đẩy, đã hoàn thành luyện hóa một cách an toàn.
[NAME]因此得以窥视部分天道，大有所获。	[NAME] nhờ đó có thể nhìn thấu một phần thiên đạo, thu hoạch lớn lao.
[NAME]的道行降低了%s点。	Đạo hạnh của [NAME] giảm %s điểm.
[NAME]因此得以窥视部分天道，不过因数次参悟，收效已微。	[NAME] nhờ đó có thể nhìn thấu một phần thiên đạo, nhưng do tham ngộ nhiều lần, hiệu quả đã giảm đi.
[NAME]的道行降低了。%s点。	Đạo hạnh của [NAME] giảm %s điểm.
[NAME]因此得以窥视部分天道，不过因多次参悟，收效已微忽其微。	[NAME] nhờ đó có thể nhìn thấu một phần thiên đạo, nhưng do tham ngộ quá nhiều lần, hiệu quả đã giảm đến mức không còn đáng kể.
[NAME]多次窥视天道，渐渐有所心得，终于借此机缘，分化了一条元神分神。	[NAME] tham ngộ thiên đạo nhiều lần, dần dần có được lĩnh ngộ, cuối cùng nhờ cơ duyên mà phân hóa ra một nguyên thần phân thần.
[NAME]因此得以窥视部分天道，不过因太多次参悟，已完全没有感悟了。	[NAME] nhờ đó có thể nhìn thấu một phần thiên đạo, nhưng do tham ngộ quá nhiều lần, đã hoàn toàn không còn cảm ngộ nào nữa.
[NAME]尝试炼化天道本源，然而最终还是因道行不够，而没能驾驭其中蕴含的天道气息。	[NAME] thử luyện hóa bản nguyên thiên đạo, nhưng cuối cùng vì đạo hạnh không đủ mà không thể điều khiển khí tức thiên đạo bên trong.
虽然只是一丝气息的泄露，但天道瞬间反噬，[NAME]亦身受重伤……	Dù chỉ là một tia khí tức rò rỉ, nhưng thiên đạo ngay lập tức phản phệ, [NAME] cũng bị trọng thương...
天道爆发	Thiên đạo bùng phát.
以[NAME]的境界远远不能驾驭此等蕴含天道之息的神物，[NAME]刚刚开始炼化，天道本源便剧烈的爆发开，将[NAME]灵识撕的粉碎。[NAME]瞬间殒命。	Với cảnh giới của [NAME], hoàn toàn không thể điều khiển thần vật chứa đựng khí tức thiên đạo này. [NAME] vừa mới bắt đầu luyện hóa, bản nguyên thiên đạo đã bùng phát dữ dội, khiến linh thức của [NAME] tan thành tro bụi. [NAME] lập tức bỏ mạng.
[NAME]所修功法与这块天道本源完全不匹配，[NAME]刚刚开始炼化，天道本源便剧烈的爆发开，将[NAME]灵识撕的粉碎。[NAME]瞬间殒命。	Công pháp mà [NAME] tu luyện hoàn toàn không phù hợp với bản nguyên thiên đạo này. [NAME] vừa mới bắt đầu luyện hóa, bản nguyên thiên đạo đã bùng phát dữ dội, khiến linh thức của [NAME] tan thành tro bụi. [NAME] lập tức bỏ mạng.
[NAME]还是决定放弃吸收本源结晶。	[NAME] vẫn quyết định từ bỏ việc hấp thụ kết tinh bản nguyên.
{0}，找到了{1}个{2}。	{0}, đã tìm thấy {1} {2}.
[rand_lable=desc_time,desc_place,desc_weather]，[name]在与鹿蜀嬉戏时，突然灵感触动，竟然若有所悟。	[rand_lable=desc_time,desc_place,desc_weather], [name] khi đang vui đùa với lộc thử, bất ngờ linh cảm dâng trào, dường như lĩnh ngộ được điều gì đó.
代理人在{0}忙活半天，啥都没找到。	Người đại diện đã bận rộn nửa ngày tại {0}, nhưng không tìm thấy gì cả.
[NAME]觉得还是不要使用修改器为好。	[NAME] cảm thấy tốt hơn là không nên sử dụng trình chỉnh sửa.
布施顺利进行。	Việc bố thí diễn ra thuận lợi.
