ID	Name	Desc
3063	Hợp Chúng Vi Nhất	Lần đầu tiên kết thành trận pháp
3064	Truyện Thuyết Tái Hiện	Lần đầu tiên kết thành trận pháp cổ đại
3065	Phàm Gian Đại Lý	Lần đầu tiên cư trú tại điểm đại lý nhân gian
3066	Tâm Hệ Thiên Hạ	Cư trú tại tất cả các thành phố và khu vực
3067	Nhân Gian Kỳ Quan	Xây dựng một kỳ quan
3068	Kỳ Quan Ngộ Quốc	Xây dựng tất cả các kỳ quan
3069	Đắc Dân Tâm Giả	Từ một sự kiện chính sách nhận được hơn 20000 tín đồ
3070	Chúng Sinh Chi Tín	Có hơn 40% tín đồ trong một thành phố hoặc khu vực
3071	Truyện Đạo Thiên Hạ	Có hơn 40% số lượng tín đồ trong tất cả các thành phố và khu vực
3072	Tiều Nhất Tiều Khán Nhất Khán	Lần đầu tiên đấu giá
3073	Tiểu Hài Tử Tài Tố Tuyển Trạch	Mua hết đồ trong một lần đấu giá
3074	Đan Xa Biến Ma Thác	Mua được đồ bí ẩn trong một lần đấu giá
3075	Kiểm Lậu Nhất Thì Sảng	Mua đồ với giá thấp hơn giá thị trường
3076	Ngã Trám Liễu Mạ?	Mua một món đồ với giá gấp 10 lần giá thị trường
3077	Hỗ Thông Hữu Vô	Lần đầu tiên giao dịch với hành thương
3078	Nhất Tích Đô Bất Thặng Liễu	Nhận được tất cả linh thạch từ hành thương
3079	Kiệt Trạch Nhi Ngư	Giết chết hành thương
3080	Tuyết Trung Tống Thán	Khiến một môn phái nợ bạn 1 điểm nhân tình
3081	Kim Bài Minh Hữu	Khiến một môn phái nợ bạn 10 điểm nhân tình
3082	Cứu!!!	Lần đầu tiên cho thuê đệ tử
3083	Nhân Nhân Đô Hiến Xuất Nhất Điểm Ái	Đồng thời cho thuê 4 đệ tử từ các môn phái khác
3084	Đầu Kỳ Sở Hảo	Tặng món đồ mà trưởng môn thích khi bái sơn
3085	Thế Giới Ngận Đại	Lần đầu tiên vào bản đồ hoang dã
3086	Ngã Tựu Khán Khán	Lần đầu tiên vào bản đồ môn phái
3087	Đô Thị Ngã Đích	Lần đầu tiên nhặt đồ trên bản đồ hoang dã
3088	Lai Đô Lai Liễu	Lấy bảo vật trong trạng thái ẩn nấp trên bản đồ môn phái
3089	Chinh Phạt:Đan Hà Động Thiên	Chinh phạt thành công Đan Hạ động thiên
3090	Chinh Phạt:Côn Lôn Cung	Chinh phạt thành công Khôn Lôn cung
3091	Chinh Phạt:Cực Thiên Cung	Chinh phạt thành công Cực Thiên cung
3092	Chinh Phạt:Tử Tiêu Tông	Chinh phạt thành công Tử Tiêu tông
3093	Chinh Phạt:Huyền Nhất Đạo	Chinh phạt thành công Huyền Nhất đạo
3094	Chinh Phạt:Thanh Liên Kiếm Tông	Chinh phạt thành công Thanh Liên Kiếm tông
3095	Chinh Phạt:Tê Hà Động Thiên	Chinh phạt thành công Tị Hạ động thiên
3096	Chinh Phạt:Bách Man Sơn	Chinh phạt thành công Bách Man sơn
3097	Chinh Phạt:Thất Thiên Ổ	Chinh phạt thành công Thất Thiên Vũ
3098	Chinh Phạt:Thất Sát Ma Cung	Chinh phạt thành công Thất Sát Ma cung
3099	Chinh Phạt:Hợp Hoan Phái	Chinh phạt thành công Hợp Hoan phái
3100	Chinh Phạt:Vạn Yêu Điện	Chinh phạt thành công Vạn Yêu điện
3101	Chinh Phạt Thiên Hạ	Chinh phạt tất cả các môn phái
3102	Nhân Giới Chí Tôn	Chinh phạt tất cả các môn phái và có hơn 40% số lượng tín đồ trong tất cả các thành phố và khu vực
3103	Bằng Hữu Lưu Bộ	Lần đầu tiên giao tiếp với người khác
3104	Đô Bất Dung Dịch	Lần đầu tiên hiểu được một người có nỗi niềm
3105	Ngoạn Tâm Yêu	Lần đầu tiên phá vỡ phòng ngự tinh thần
3106	Đạo Hữu Giá Biên Thỉnh	Lần đầu tiên mời người khác đến môn phái của mình
3107	Chân Tương Phù Hiện	Giải mã một bí mật
3108	Linh Sủng:Thần Khuyển	Nhận được thần khuyển
3109	Linh Sủng:Linh Hồ	Nhận được linh hồ
3110	Linh Sủng:Phù Long	Nhận được phù long
3111	Linh Sủng:Huyền Phượng	Nhận được huyền phượng
3112	Trường Đại Lạp!	Nuôi dưỡng bất kỳ linh thú nào đến hình thái hoàn chỉnh
3113	Cấp Ngã Biến!	Khai trí cho một con thú hoang
3114	Hóa Hình:Ngũ Trí	Để một yêu tộc có hơn 5 mảnh linh trí vượt qua thiên kiếp hóa hình
3115	Hóa Hình:Thất Trí	Để một yêu tộc có hơn 7 mảnh linh trí vượt qua thiên kiếp hóa hình
3116	Hóa Hình:Cửu Trí	Để một yêu tộc có hơn 9 mảnh linh trí vượt qua thiên kiếp hóa hình
3117	Thông Hiểu Thiên Đạo	Vượt qua 5 lần đạo hành kiếp
3118	Thọ Dữ Thiên Tề	Vượt qua 5 lần thọ mệnh kiếp
3119	Lập Ngô Hương Hỏa	Thiết lập tượng thờ tín ngưỡng trong một thành phố và liên kết với một thần tu
3120	Phong Ngô Hộ Pháp	Thiết lập một hộ pháp
3121	Tòng Ngô Đại Đạo	Nhận được một tín đồ cốt lõi
3122	Hữu Ngô Tín Chúng	Đáp ứng một nguyện vọng cam kết của tín đồ khi lắng nghe nguyện vọng
3123	Tố Ngô Thánh Khí	Nâng cấp một thánh vật tín ngưỡng lên cấp 15
3124	Tịch Ngô Thần Quốc	Sử dụng chém niệm kiếp mở rộng một lần thần quốc
3125	Linh Ngô Tâm Cảnh	Tâm cảnh thần tu đạt đến cảnh giới cao nhất
3126	Phát Nguyện:Cửu Thiên	Học được 《Cửu Thiên Ứng Nguyên Lôi Thanh Phổ Hóa Ngọc Thư》
3127	Khai Tịch:Cửu Thiên	Dùng 《Cửu Thiên Ứng Nguyên Lôi Thanh Phổ Hóa Ngọc Thư》 mở ra thần quốc
3128	Viên Mãn:Cửu Thiên	Mở ra thần quốc bằng 《Cửu Thiên Ứng Nguyên Lôi Thanh Phổ Hóa Ngọc Thư》 và đạt được 48 viên mãn
3129	Thành Tựu:Cửu Thiên	phi thăng bằng 《Cửu Thiên Ứng Nguyên Lôi Thanh Phổ Hóa Ngọc Thư》
3130	Phát Nguyện:Bát Bộ	Học được 《Chư Thiên Bát Bộ Thành Tựu Pháp》
3131	Khai Tịch:Bát Bộ	Dùng 《Chư Thiên Bát Bộ Thành Tựu Pháp》 mở ra thần quốc
3132	Viên Mãn:Bát Bộ	Mở ra thần quốc bằng 《Chư Thiên Bát Bộ Thành Tựu Pháp》 và đạt được 48 viên mãn
3133	Thành Tựu:Bát Bộ	phi thăng bằng 《Chư Thiên Bát Bộ Thành Tựu Pháp》
3134	Phát Nguyện:U Minh	Học được 《U Minh Thập Phương Thái Ý Cứu Khổ Kinh》
3135	Khai Tịch:U Minh	Dùng 《U Minh Thập Phương Thái Ý Cứu Khổ Kinh》 mở ra thần quốc
3136	Viên Mãn:U Minh	Mở ra thần quốc bằng 《U Minh Thập Phương Thái Ý Cứu Khổ Kinh》 và đạt được 48 viên mãn
3137	Thành Tựu:U Minh	phi thăng bằng 《U Minh Thập Phương Thái Ý Cứu Khổ Kinh》
3138	Thiên Địa Tinh Hoa:Thái Hư Tinh Hoa	Đạt được tinh hoa thái hư thông qua hít thở
3139	Thiên Địa Tinh Hoa:Huyền Thiên Tử Khí	Đạt được huyền thiên tím khí thông qua hít thở
3140	Thiên Địa Tinh Hoa:Cửu Dương Chân Hoa	Đạt được chân hoa cửu dương thông qua hít thở
3141	Thiên Địa Tinh Hoa:Huyền Nguyệt Chân Tinh	Đạt được chân tinh huyền nguyệt thông qua hít thở
3142	Thăng Hoa Chi Thể	Lần đầu tiên kích hoạt bí thể
3143	Thiên Chùy Bách Luyện	Bách luyện đạt 100 tầng
3144	Dĩ Lực Nhập Đạo:Hình Ý	Học được 《Thái Cổ Hình Ý Lục Hợp Chân Thể》
3145	Phá Toái Hư Không:Hình Ý	phi thăng bằng 《Thái Cổ Hình Ý Lục Hợp Chân Thể》
3146	Dĩ Lực Nhập Đạo:Man Cực	Học được 《Man Cực Kim Thân》
3147	Phá Toái Hư Không:Man Cực	phi thăng bằng 《Man Cực Kim Thân》
3148	Dĩ Lực Nhập Đạo:Yêu Tổ	Học được 《Yêu Tổ Thánh Thể》
3149	Phá Toái Hư Không:Yêu Tổ	phi thăng bằng 《Yêu Tổ Thánh Thể》
3150	Dĩ Lực Nhập Đạo:Bại Diệt	Học được 《Bại Diệt Tà Thể》
3151	Phá Toái Hư Không:Bại Diệt	phi thăng bằng 《Bại Diệt Tà Thể》
3152	Nhất Khởi Lai Tu Tiên Ba!	Nhận được linh thú Tu Tu và Tiên Tiên
3153	Chân Tiên Cổn Cổn	Để một con Mạc hóa hình thành người và thành công phi thăng
3154	Nhất Điều Ngư	Câu được 1 con cá
3155	Bách Điều Ngư	Câu được 100 con cá
3156	Thiên Điều Ngư	Câu được 1000 con cá
3157	Vạn Điều Ngư	Câu được 10000 con cá
3158	Nguyện Giả Thượng Câu	Câu được một con động vật
3159	Tựu Quyết Định Thị Nhĩ Liễu!	Câu được một yêu thú
3160	Lượng Tinh Tinh	Câu được một viên linh thạch
3161	Bộ Ngư Đạt Nhân	Câu được tất cả các loại cá
3162	Điếu Côn Giả	Câu được một con cá nặng 25 cân
3163	Chân Vũ Huyền Cơ	Trong Tử Tiêu cung nhận được tất cả các bí văn mật tàng.
3164	Âm Dương Tương Hợp	Nhận được linh thú huyền vũ mầm mầm.
3165	Chân Truyện:Huyền Thiên	Tu luyện 《Huyền Thiên Chân Vũ Lưỡng Nghĩa Diệu Đạo》 với độ khớp hơn 150%
3166	Nhất Phẩm:Huyền Thiên	Kết thành một phẩm kim đan với công pháp 《Huyền Thiên Chân Vũ Lưỡng Nghĩa Diệu Đạo》
3167	Đắc Đạo:Huyền Thiên	Phi thăng bằng công pháp 《Huyền Thiên Chân Vũ Lưỡng Nghĩa Diệu Đạo》


