Jobp	Desc1	Desc2	Desc3	Desc4	Desc5	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5
Eat_Item_EarthEssence	Ta tuyệt đối không ăn Địa Mẫu Linh Dịch, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn linh dịch của địa mẫu	Khi có khả năng hấp thu thuốc, ta có thể ăn Địa Mẫu Linh Dịch	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Địa Mẫu Linh Dịch	Khi có thể hấp thụ dược liệu, ta thường ăn Địa Mẫu Linh Dịch										
Eat_Item_SilverGrit	Ta tuyệt đối không ăn Hàn Tinh Sa, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn cát tinh lạnh	Khi có khả năng hấp thu thuốc, ta có thể ăn Hàn Tinh Sa	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Hàn Tinh Sa	Khi có thể hấp thụ dược liệu, ta thường ăn Hàn Tinh Sa										
Eat_Item_CopperGrit	Ta tuyệt đối không ăn Hỏa Đồng Sa, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn cát đồng đỏ	Khi có khả năng hấp thu thuốc, ta có thể ăn Hỏa Đồng Sa	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Hỏa Đồng Sa	Khi có thể hấp thụ dược liệu, ta thường ăn Hỏa Đồng Sa										
Eat_Item_Cinnabar	Ta tuyệt đối không ăn Chu Sa, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn thủy ngân đỏ	Khi có khả năng hấp thu thuốc, ta có thể ăn Chu Sa	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Chu Sa	Khi có thể hấp thụ dược liệu, ta thường ăn Chu Sa										
Eat_Item_LingMuXueJie	Ta tuyệt đối không ăn Linh Mộc Huyết Kiệt, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn nhựa cây linh mộc	Khi có khả năng hấp thu thuốc, ta có thể ăn Linh Mộc Huyết Kiệt	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Linh Mộc Huyết Kiệt	Khi có thể hấp thụ dược liệu, ta thường ăn Linh Mộc Huyết Kiệt										
Eat_Item_EarthEssence_1	Ta tuyệt đối không ăn Linh Tủy Chi, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn mỡ linh	Khi có khả năng hấp thu thuốc, ta có thể ăn Linh Tủy Chi	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Linh Tủy Chi	Khi có thể hấp thụ dược liệu, ta thường ăn Linh Tủy Chi										
Eat_Item_EarthEssence1_1	Ta tuyệt đối không ăn Huyết Tủy Chi, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn mỡ huyết	Khi có khả năng hấp thu thuốc, ta có thể ăn Huyết Tủy Chi	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Huyết Tủy Chi	Khi có thể hấp thụ dược liệu, ta thường ăn Huyết Tủy Chi										
Eat_Item_Healroot	Ta tuyệt đối không ăn Dược Thảo, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn thảo dược	Khi có khả năng hấp thu thuốc, ta có thể ăn Dược Thảo	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Dược Thảo	Khi có thể hấp thụ dược liệu, ta thường ăn Dược Thảo										
Eat_Item_Mint	Ta tuyệt đối không ăn Thanh Tâm Thảo, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn cỏ thanh tâm	Khi có khả năng hấp thu thuốc, ta có thể ăn Thanh Tâm Thảo	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Thanh Tâm Thảo	Khi có thể hấp thụ dược liệu, ta thường ăn Thanh Tâm Thảo										
Eat_Item_MagicHerb	Ta tuyệt đối không ăn Linh Tiên Thảo, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn cỏ linh tiên	Khi có khả năng hấp thu thuốc, ta có thể ăn Linh Tiên Thảo	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Linh Tiên Thảo	Khi có thể hấp thụ dược liệu, ta thường ăn Linh Tiên Thảo										
Eat_Item_Laxative	Ta tuyệt đối không ăn Thông Tiết Tán, trừ khi được cho ăn	Khi ta có khả năng hấp thụ thuốc, thỉnh thoảng ta sẽ ăn thông tắc tán	Khi có khả năng hấp thu thuốc, ta có thể ăn Thông Tiết Tán	Khi ta có thể hấp thụ thuốc, thỉnh thoảng ta sẽ ăn Thông Tiết Tán	Khi có thể hấp thụ dược liệu, ta thường ăn Thông Tiết Tán										
ESkill	Ta sẽ không chủ động sử dụng thuật pháp đối với kẻ thù	ta sẽ sử dụng kỹ năng vào kẻ thù có giá trị linh khí thấp nhất	ta sẽ sử dụng kỹ năng đối với kẻ thù có tỷ lệ linh khí thấp nhất	ta sẽ thi triển kỹ năng lên kẻ thù có giá trị linh khí cao nhất	ta sẽ thi triển kỹ năng vào kẻ thù ngẫu nhiên										
FSkill	Ta sẽ không chủ động sử dụng thuật pháp đối với đồng minh	ta sẽ sử dụng kỹ năng vào đồng minh có giá trị linh khí thấp nhất	ta sẽ sử dụng kỹ năng đối với đồng minh có tỷ lệ linh khí thấp nhất	ta sẽ thi triển kỹ năng lên đồng minh có giá trị linh khí cao nhất	ta sẽ thi triển kỹ năng vào đồng đội ngẫu nhiên										
Eat_Item_Bamboo	Ta tuyệt đối không ăn Trúc Can, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn tre	ta có thể ăn tre	ta thỉnh thoảng sẽ ăn cần tre	ta thường ăn tre										
Eat_Item_BambooShoot	Ta tuyệt đối không ăn Trúc Duẩn, trừ khi được cho ăn	Thỉnh thoảng ta sẽ ăn măng	ta có thể ăn măng	ta thỉnh thoảng sẽ ăn măng tre	ta thường ăn măng										
Eat_Item_WuDang_HuangJingFen	Ta tuyệt đối không ăn Hoàng Tinh Phấn, trừ khi được cho ăn	Khi ta có khả năng ăn thuốc, thỉnh thoảng ta sẽ ăn Hoàng Tinh Phấn	Khi có khả năng ăn thuốc, ta có thể ăn Hoàng Tinh Phấn	Khi ta có thể ăn thuốc, thỉnh thoảng ta sẽ ăn Hoàng Tinh Phấn	Khi có thể ăn dược liệu, ta thường ăn Hoàng Tinh Phấn										
Eat_Item_Dan_WuQiNoHunger2	Ta tuyệt đối không ăn Ngũ Khí Tịch Cốc Đan, trừ khi được cho ăn	Khi ta có khả năng ăn thuốc, thỉnh thoảng ta sẽ ăn Ngũ Khí Tịch Cốc Đan	Khi có khả năng ăn thuốc, ta có thể ăn Ngũ Khí Tịch Cốc Đan	Khi ta có thể ăn thuốc, thỉnh thoảng ta sẽ ăn Ngũ Khí Tịch Cốc Đan	Khi có thể ăn dược liệu, ta thường ăn Ngũ Khí Tịch Cốc Đan										
Eat_Item_Dan_SanHuaHuangJing	Ta tuyệt đối không ăn Tam Hoa Hoàng Tinh Hoàn, trừ khi được cho ăn	Khi ta có khả năng ăn thuốc, thỉnh thoảng ta sẽ ăn Tam Hoa Hoàng Tinh Hoàn	Khi có khả năng ăn thuốc, ta có thể ăn Tam Hoa Hoàng Tinh Hoàn	Khi ta có thể ăn thuốc, thỉnh thoảng ta sẽ ăn Tam Hoa Hoàng Tinh Hoàn	Khi có thể ăn dược liệu, ta thường ăn Tam Hoa Hoàng Tinh Hoàn										


