talk	notarget	thing	int
WannaEat_Item_BossZhuLong_Meat		Tôi rất muốn ăn thịt và máu nguyên thủy	
WannaEat_Item_Cake		Tôi rất muốn ăn bánh mì	
WannaEat_Item_MonsterBlood		Tôi rất muốn ăn máu của yêu linh	
WannaEat_Item_EarthEssence		Tôi rất muốn ăn tinh dịch của mẹ đất	
WannaEat_Item_SilverGrit		Tôi rất muốn ăn cát tinh thể lạnh	
WannaEat_Item_CopperGrit		Tôi rất muốn ăn cát đồng đỏ	
WannaEat_Item_Cinnabar		Tôi rất muốn ăn bột quỳ	
WannaEat_Item_LingMuXueJie		Tôi rất muốn ăn nhựa cây linh mộc	
WannaEat_Item_EarthEssence_1		Tôi rất muốn ăn mỡ tủy	
WannaEat_Item_EarthEssence1_1		Tôi rất muốn ăn mỡ huyết	
WannaEat_Item_Healroot		Tôi rất muốn ăn thảo dược	
WannaEat_Item_Mint		Tôi rất muốn ăn cỏ thanh tâm	
WannaEat_Item_MagicHerb		Tôi rất muốn ăn cỏ linh tiên	
WannaEat_Item_Laxative		Tôi rất muốn ăn thuốc thông	
DoTalkEat_Item_SnakeGallbladder		Tôi đang ăn mật rắn	
DoTalkEat_Item_BearGallbladder		Tôi đang ăn mật gấu	
DoTalkEat_Item_RedGinseng		Tôi đang ăn nhân sâm đỏ	
DoTalkEat_Item_PurpleGanodermaLucidum		Tôi đang ăn nấm tím	
DoTalkEat_Item_TuEssence		Tôi đang ăn tinh chất vàng	
DoTalkEat_Item_HuoEssence		Tôi đang ăn quả đỏ	
DoTalkEat_Item_ShuiEssence		Tôi đang ăn hoa sen năm màu	
DoTalkEat_Item_JinEssence		Tôi đang ăn quả lang nha	
DoTalkEat_Item_MuEssence		Tôi đang ăn dây gỗ khô	
DoTalkEat_Item_LifeStream		Tôi đang ăn suối trường sinh	
DoTalkEat_Item_LongEgg		Tôi đang ăn trứng của rồng	
DoTalkEat_Item_FengEgg		Tôi đang ăn trứng của phượng hoàng	
DoTalkEat_Item_DragonShit		Tôi đang ăn cát thiên long	
DoTalkEat_Item_Jiaozi		Tôi đang ăn bánh bao	
DoTalkEat_Item_BossFeng_Meat		Tôi đang ăn thịt và máu của phượng hoàng hung ác	
DoTalkEat_Item_BossLong_Meat		Tôi đang ăn thịt và máu của rồng	
DoTalkEat_Item_BossZhuLong_Meat		Tôi đang ăn thịt và máu nguyên thủy	
DoTalkEat_Item_Cake		Tôi đang ăn bánh mì	
DoTalkEat_Item_MonsterBlood		Tôi đang ăn máu của yêu linh	
DoTalkEat_Item_EarthEssence		Tôi đang ăn tinh dịch của mẹ đất	
DoTalkEat_Item_SilverGrit		Tôi đang ăn cát tinh thể lạnh	
DoTalkEat_Item_CopperGrit		Tôi đang ăn cát đồng đỏ	
DoTalkEat_Item_Cinnabar		Tôi đang ăn bột quỳ	
DoTalkEat_Item_LingMuXueJie		Tôi đang ăn nhựa cây linh mộc	
DoTalkEat_Item_EarthEssence_1		Tôi đang ăn mỡ tủy	
DoTalkEat_Item_EarthEssence1_1		Tôi đang ăn mỡ huyết	
DoTalkEat_Item_Healroot		Tôi đang ăn thảo dược	
DoTalkEat_Item_Mint		Tôi đang ăn cỏ thanh tâm	
DoTalkEat_Item_MagicHerb		Tôi đang ăn cỏ linh tiên	
DoTalkEat_Item_Laxative		Tôi đang ăn thuốc thông	
CantEat_Item_SnakeGallbladder	Tôi không tìm thấy mật rắn để ăn		
CantEat_Item_BearGallbladder	Tôi không tìm thấy mật gấu để ăn		
CantEat_Item_RedGinseng	Tôi không tìm thấy nhân sâm đỏ để ăn		
CantEat_Item_PurpleGanodermaLucidum	Tôi không tìm thấy nấm linh chi để ăn		
CantEat_Item_TuEssence	Tôi không tìm thấy hoàng tinh để ăn		
CantEat_Item_HuoEssence	Tôi không tìm thấy quả đỏ để ăn		
CantEat_Item_ShuiEssence	Tôi không tìm thấy năm màu để ăn		
CantEat_Item_JinEssence	Tôi không tìm thấy quả lang gia để ăn		
CantEat_Item_MuEssence	Tôi không tìm thấy dây gỗ khô để ăn		
CantEat_Item_LifeStream	Tôi không tìm thấy suối trường sinh để ăn		
CantEat_Item_LongEgg	Tôi không tìm thấy trứng rồng để ăn		
CantEat_Item_FengEgg	Tôi không tìm thấy trứng phượng để ăn		
CantEat_Item_DragonShit	Tôi không tìm thấy cát thiên long để ăn		
CantEat_Item_Jiaozi	Tôi không tìm thấy bánh bao để ăn		
CantEat_Item_BossFeng_Meat	Tôi không tìm thấy thịt và máu của phượng dữ để ăn		
CantEat_Item_BossLong_Meat	Tôi không tìm thấy thịt và máu của rồng để ăn		
CantEat_Item_BossZhuLong_Meat	Tôi không tìm thấy thịt và máu nguyên thủy để ăn		
CantEat_Item_Cake	Tôi không tìm thấy bánh mì để ăn		
CantEat_Item_MonsterBlood	Tôi không tìm thấy máu của yêu linh để ăn		
CantEat_Item_EarthEssence	Tôi không tìm thấy linh dịch của Địa Mẫu để ăn		
CantEat_Item_SilverGrit	Tôi không tìm thấy cát tinh lạnh để ăn		
CantEat_Item_CopperGrit	Tôi không tìm thấy cát đồng hỏa để ăn		
CantEat_Item_Cinnabar	Tôi không tìm thấy thủy ngân đỏ để ăn		
CantEat_Item_LingMuXueJie	Tôi không tìm thấy nhựa gỗ linh để ăn		
CantEat_Item_EarthEssence_1	Tôi không tìm thấy nhựa tinh để ăn		
CantEat_Item_EarthEssence1_1	Tôi không tìm thấy nhựa huyết để ăn		
CantEat_Item_Healroot	Tôi không tìm thấy thảo dược để ăn		
CantEat_Item_Mint	Tôi không tìm thấy cỏ tâm thanh để ăn		
CantEat_Item_MagicHerb	Tôi không tìm thấy cỏ linh tiên để ăn		
CantEat_Item_Laxative	Tôi không tìm thấy tán thông xả để ăn		
Leave1		{0}, hãy chú ý an toàn trên đường	
Leave2		Trở về sớm nhé, {0}	
Leave3		Chúc bạn một chuyến đi thuận lợi, {0}	
Back1		{0}, cuối cùng bạn đã trở về	
Back2		Chào mừng bạn trở về nhà, {0}	
Back3		Tôi nhớ bạn quá, {0}	
NotBack1		{0} sao vẫn chưa trở về	
NotBack2		{0} đi làm gì vậy	
NotBack3		Không biết {0} thế nào rồi	
BackComa1		{0}, bạn có làm sao không	
BackComa2		{0} cần giúp đỡ	
BackComa3		{0} cố gắng lên	
SleepHelp1		{0}, mau chóng khỏe lại nhé	
SleepHelp2		{0}, mau chóng khỏe lại nhé	
SleepHelp3		{0}, mau chóng khỏe lại nhé	
Lacrimosa1			...
Lacrimosa2			...
Lacrimosa3			...
QiGan_FullTalk	Khí linh của tôi đã đạt đến giới hạn		
NeiDan_FullTalk	Đan dược của tôi đã đạt đến giới hạn		
HuTi_FullTalk	Bảo hộ của tôi đã đạt đến giới hạn		
LingZhi_FullTalk	Trí tuệ của tôi đã đạt đến giới hạn		
ShuFa_FullTalk	Pháp thuật của tôi đã đạt đến giới hạn		


