书	Sách
甲乙恶魄咒	Giáp Ất Ác Phách Chú
天玄散	Thiên Huyền Tán
天枢紫霞纱	Thiên Khu Tử Hà Sa
蜚皮休闲衣衫	Áo da phi Hưu Nhàn Thường
蜚皮修行下裳	Phi Bì Tu Hành Hạ Sam
巧夺天工的神兵，融合制作者的心血与灵感而成。	Thần binh tinh xảo tuyệt đỉnh, dung hợp tâm huyết và cảm hứng của người chế tạo.
千韧弓	Thiên nhẫn cung
青龙紫霞禁	Thanh Long Tử Hà Cấm
断岳彩云阙	Đoạn Nhạc Thái Vân Khuyết
天罡碑	Thiên Cương
苍龙先天纱	Thương Long Tiên Thiên Sa
甲乙魔骨禁	Giáp Ất Ma Cốt Cấm
无极卷	Vô Cực
提高战斗能力，提高疼痛忍耐。	Tăng khả năng chiến đấu, tăng khả năng chịu đau.
武昌符	Võ Xương phù
佩戴者可以降低道行。	Người đeo có thể giảm đạo hạnh.
遮天符	Phù Chắn Trời
佩戴者可以提高寿元，远离疾瘴。恭祝各位新春快乐，万事如意！	Người đeo có thể tăng thọ nguyên, tránh xa bệnh tật. Chúc mừng năm mới, vạn sự như ý!
万寿图	Vạn Thọ Đồ
角色出生点	Điểm sinh nhân vật
逻辑点	Điểm logic
灵石玄磁天坑	Linh Thạch Huyền Từ Thiên Khanh
上古残木	Cây cổ tàn lụi
奚	Hề
天苍 227年第102日,通过从打喷嚏获取的理智，对非常愤怒的感知，对湖的认知，产生了一点灵智碎片。	Thiên Thương năm 227 ngày thứ 102, thông qua lý trí thu nhận từ Hắt hơi, cảm giác về Rất phẫn nộ, nhận thức về Hồ, đã tạo ra một mảnh linh trí.
天苍 228年第24日,通过从闻到了腐臭获取的理智，对非常恐惧的感知，对农田的认知，产生了一点灵智碎片。	Thiên Thương năm 228 ngày thứ 24, thông qua lý trí thu nhận từ việc ngửi thấy mùi thối rữa, cảm giác về rất sợ hãi, nhận thức về ruộng đồng, đã sinh ra một mảnh linh trí.
天苍 228年第44日,通过从听弟子练功获取的理智，对担忧的感知，对裤子的认知，产生了一点灵智碎片。	Thiên Thương năm 228 ngày thứ 44, thông qua lý trí thu nhận từ Nghe đệ tử luyện công, cảm giác về Lo lắng, nhận thức về Quần, đã tạo ra một mảnh linh trí.
天苍 236年第65日,通过从回忆获取的理智，对非常思念的感知，对秋季的认知，产生了一点灵智碎片。	Thiên Thương năm 236 ngày thứ 65, thông qua lý trí thu nhận từ Hồi ức, cảm giác về Rất nhớ nhung, nhận thức về Mùa thu, đã tạo ra một mảnh linh trí.
天苍 238年第2日,通过从被捕猎获取的理智，对非常愤怒的感知，对秋季的认知，产生了一点灵智碎片。	Thiên Thương năm 238 ngày thứ 2, thông qua lý trí thu nhận từ Bị săn bắt, cảm giác về Rất phẫn nộ, nhận thức về Mùa thu, đã tạo ra một mảnh linh trí.
天苍 245年第26日,通过从聆听琴声获取的理智，对有点思念的感知，对门的认知，产生了一点灵智碎片。	Thiên Thương năm 245 ngày thứ 26, thông qua lý trí thu nhận từ Lắng nghe tiếng đàn, cảm giác về Có chút nhớ nhung, nhận thức về Cửa, đã tạo ra một mảnh linh trí.
天苍 245年第78日,通过从看巨石获取的理智，对平静的感知，对雷的认知，产生了一点灵智碎片。	Thiên Thương năm 245 ngày thứ 78, thông qua lý trí thu nhận từ xem tảng đá lớn, cảm giác về bình tĩnh, nhận thức về sét, đã tạo ra một mảnh linh trí.
沙漠之母·万磁之吞噬者	Mẹ Sa Mạc · Kẻ Nuốt Chửng Vạn Từ
南海十二都天诀	Thập Nhị Đô Thiên Nam Hải Yếu Quyết
惊波流光	Kinh Ba Lưu Quang
哈家开天真言	Chân Ngôn Khai Thiên Hà Gia
冷月金钟	Chuông vàng lạnh nguyệt
我沉眠于地心亿万年，然而红尘的纷争唤醒了我。我既应召而来，世界也该付出代价！	Ta ngủ say dưới lòng đất hàng trăm triệu năm, nhưng tranh chấp nơi hồng trần đã thức tỉnh ta. Ta ứng triệu mà đến, thế giới cũng phải trả giá!
沙漠啊，我的孩子！扬起你的灰尘，遮蔽太阳的光芒吧！	Hỡi sa mạc, con của ta! Hãy tung mù bụi lên, che lấp ánh mặt trời đi!


