ID	Name	Desc
89	Thế Tử Chi Thân	[NAME] vốn là con của người trông cửa phủ tướng quân. Năm [IT] mười tuổi, tướng quân bị bức hại trong một cuộc chính trị, bị tịch biên tài sản. Để giữ gìn dòng máu, tướng quân đã để [NAME] hy sinh thay cho thiếu gia. \n [NAME] không cam lòng chết như vậy, nhân lúc hỗn loạn đã giết chết thiếu gia, và nhờ ánh lửa mà trốn thoát khỏi phủ tướng quân.
90	Ngoại Môn Đồng Tử	[NAME] sinh ra ở một thị trấn tên là Ngũ Lý Câu, gần đó có một môn phái nhỏ gọi là Thất Huyền Môn. [NAME] từ nhỏ đã được chọn làm đệ tử ngoại môn. \n Mặc dù [IT] sau này bị trục xuất khỏi môn phái, nhưng vài năm làm đệ tử ngoại môn đã giúp [IT] có được hiểu biết sơ bộ về tu luyện.
91	Dược Đồng	[NAME] làm việc cho một lương y già, phụ trách giúp lương y lấy thuốc và phối thuốc. \n Trong một lần điều trị, [IT] đã lấy sai liều lượng, dẫn đến tình trạng của bệnh nhân nặng hơn, suýt mất mạng. [NAME] vì vậy bị lương y đuổi khỏi hiệu thuốc.
92	Dược Quán Tử	[NAME] là một đứa trẻ sinh non, [IT] vốn thể chất yếu ớt, thường xuyên ốm đau, và ngay cả những căn bệnh nhỏ cũng kéo dài rất lâu, khó mà chữa trị. Do đó, tuổi thơ của [NAME] gần như trôi qua trong thuốc men.
93	Tuyết Nguyên Thiếu Niên	[NAME] sinh ra ở một ngôi làng biên giới phía Bắc. Nơi đó quanh năm tuyết phủ, dân làng sống bằng cách đục băng câu cá, săn bắn trên tuyết. \n [NAME] từ nhỏ đã bộc lộ tài năng săn bắn vượt trội. [IT] thường một mình đi săn thỏ tuyết, cáo tuyết và các con mồi nhỏ khác trong vùng tuyết.
94	Qua Bích Lưu Lãng Nhi	[NAME] sinh ra ở một thị trấn trong sa mạc. Khi còn nhỏ, một cơn bão cát khổng lồ đã nuốt chửng quê hương của [IT]. [IT] theo một vài người sống sót lên đường lang thang. \n Trong những năm lang thang, [IT] đã thấy biết bao sinh tử và nhân tính, điều này khiến [IT] mất đi hy vọng vào thế giới này.
95	Thủy Hương Hài Tử	[NAME] sinh ra ở một vùng nước miền Nam, quê hương của [IT] là một thị trấn nằm trên sông. Các ngôi nhà được kết nối bằng các con đường nước, mang phong cách độc đáo. \n Gia đình [NAME] có một cửa hàng tạp hóa. Khi còn nhỏ, [IT] mỗi ngày đều chèo thuyền chở hàng hóa vòng quanh thành phố, giúp bán hàng.
96	Sơn Trung Thiếu Niên	[NAME] là đứa trẻ của núi rừng, từ nhỏ đã theo anh trai leo núi, trèo cây, xuống sông. \n Hoạt động yêu thích nhất của [NAME] hồi nhỏ là sau cơn mưa đi vào rừng hái nấm mộc nhĩ, [IT] mỗi lần đều hái được nhiều và tốt hơn cả anh trai.
97	Thiếu Niên Thần Tương	[NAME] là một thiếu tướng của quân đội Hỏa Diệm, từ khi còn trẻ đã có võ công tuyệt thế. \n Sau này, quân đội Hỏa Diệm bị hãm hại, toàn quân bị tiêu diệt. [IT] nhờ sự bảo vệ của các tướng sĩ mà thoát chết, nhưng cũng không may bị trúng độc kỳ lạ.
98	Thần Cách Chi Mệnh	[NAME] khi sinh ra, mẹ gặp phải khó khăn và qua đời, vừa mới sinh ra, toàn thân tỏa hương thơm, mặc dù là mùa xuân, nhưng hoa trong thành phố lập tức tàn lụi, được coi là điềm xấu. \n [NAME] vì thể chất đặc biệt, rất dễ thu hút ma quỷ. [IT] hồi nhỏ từng gặp một vị cao tăng, vị cao tăng đã tặng cho [IT] một chuỗi hạt và một chiếc áo choàng bằng da chó đen, bất kể đi đứng ngồi nằm đều mang theo bên mình để che giấu hơi thở, nhờ vậy mà [IT] lớn lên bình an.
99	Vũ Thuật Thế Gia	[NAME] có cha là cao thủ số một trong gia đình, nhưng trong một lần so tài quan trọng đã hy sinh vì gia đình, trở thành tàn phế. [IT] đã đặt tất cả hy vọng vào đứa con của mình. Thật tiếc là [NAME] có thiên phú bình thường, tiến bộ chậm. \n Trong một lần kỳ ngộ, [NAME] từ một hồ nước bí ẩn nhận được một viên ngọc, nhờ sự giúp đỡ của viên ngọc, [IT] tu luyện tiến bộ nhanh chóng, trở thành thiên tài của gia đình.
100	Thiên Sinh Thần Lực	[NAME] sinh ra đã có sức mạnh vô biên, khi [IT] tám tuổi đã sở hữu sức mạnh không thua kém người lớn, có thể vung búa sắt, di chuyển những viên đá lớn. \n [IT] không phụ lòng thiên phú của mình, mà còn chăm chỉ luyện tập gấp đôi, điều này khiến sức mạnh của [IT] vượt xa bạn bè cùng trang lứa.
501	Giang Hồ Đại Hiệp	[NAME] mang trong mình võ nghệ, đã từng là một hiệp khách chuyên cướp của người giàu giúp người nghèo. Trong một lần quyết đấu, kẻ thù đã để lại trên mặt [IT] một vết sẹo dài hẹp, khiến [IT] trông rất dữ tợn.
502	Nữ Hiệp	[NAME] mang trong mình võ nghệ, đã từng là một hiệp khách chuyên cướp của người giàu giúp người nghèo. Trong quá trình hành hiệp, đồng đội của [IT] đã hy sinh để cứu [IT]. [IT] cũng vì vậy mà chán nản, rời bỏ giang hồ.
503	Thối Hưu Tiêu Sư	[NAME] là một người bảo tiêu, cho đến khi [IT] bị trúng một mũi tên vào đầu gối trong một lần hộ tống.
504	Địa Chủ Ác Nô	[NAME] là một nô lệ ác độc dưới trướng một địa chủ. Nhiều năm sống trong cảnh hèn mọn đã khiến [IT] hiểu được tầm quan trọng của việc nắm bắt thời cơ. \n Tuy nhiên, cuối cùng có một lần, [IT] vẫn đắc tội với người không nên đắc tội, vì vậy [IT] đã bước vào con đường trốn chạy.
505	Đồ Phu	[NAME] trước đây là một người mổ thịt, sống bằng cách giết mổ các loại gia súc. Công việc nặng nhọc khiến [IT] có thân hình khỏe mạnh và mạnh mẽ. Nhiều năm sát sinh đã khiến [IT] quen với sự máu me và cái chết.
506	Nông Phu	[NAME] là một nông dân, rất thành thạo trong các công việc nặng nhọc. Nhưng cuộc sống nghèo khó và công việc cường độ cao đã làm suy sụp cả thể chất lẫn tâm hồn của [IT].
507	Thủ Nghệ Nhân	[NAME] học được một nghề và sống bằng nghề đó. Do yêu cầu công việc, [IT] có một đôi tay khéo léo.
508	Mã Tặc	[NAME] vì cuộc sống đã trở thành một tên cướp ngựa, cuộc sống liều lĩnh đã khiến [IT] hình thành tính cách vui vẻ ngay lập tức, tàn nhẫn và lạnh lùng. Nhưng cuộc sống không ổn định này cũng khiến [IT] cảm thấy chán nản. Trong một lần bị chính quyền vây bắt, [IT] mất một cánh tay, nhưng cũng nhờ đó mà thoát khỏi tổ chức.
509	Trà Quán Hỏa Kế	[NAME] luôn làm việc tại một quán trà, cuộc sống ở tầng lớp thấp khiến [IT] quen thuộc với cách làm hài lòng người khác. Bị ảnh hưởng từ nhỏ, cũng khiến [IT] hiểu biết một chút về nấu ăn.
510	Thuyết Thư Nhân	[NAME] kế thừa nghề của một người kể chuyện, [IT] dẫn theo con ngựa của mình: một con lừa, đi khắp nơi và kiếm sống bằng nghề kể chuyện.
511	Trạng Nguyên	[NAME] từng là người đỗ trạng nguyên trong kỳ thi khoa cử, trình độ văn hóa khá cao. Tuy nhiên, [IT] lại yêu thích nông nghiệp, thậm chí vì điều đó mà từ quan về sống ẩn dật ở đồng ruộng.
512	Nghĩa Quân Lĩnh Tụ	[NAME] từng là lãnh đạo của quân đội nghĩa, chạy đua và đấu tranh để lật đổ một quốc gia mục nát. Tuy nhiên, cuối cùng, quân đội mà [IT] tham gia lại bị giải tán vì nội đấu.
513	Nghĩa Quân Thành Viên	[NAME] từng tham gia quân đội nghĩa, cuộc sống quân ngũ đã khiến [IT] cơ thể mạnh mẽ. Niềm tin cách mạng giúp [IT] có ý chí kiên định.
514	Băng đản Lĩnh Tụ	[NAME] là thủ lĩnh của quân nổi dậy, [IT] am hiểu chỉ huy, dưới quyền tàn bạo và lạnh lùng, dẫn dắt thuộc hạ vừa cướp bóc vừa giao chiến với quân triều đình. Trong một trận chiến, quân đội của [IT] bị vây bắt, [NAME] may mắn còn sống sót.
515	Băng đản	[NAME] vì không hài lòng với mức thuế cao mà gia nhập quân nổi dậy. Tuy nhiên, cách hành xử của quân nổi dậy trong việc cướp bóc đã khiến [IT] không thể chịu đựng nổi. Vào một đêm, [IT] đã giết chết một vài tên lính côn đồ trong đội và trốn chạy suốt đêm.
516	Đào Phạm	[NAME] là một kẻ đào tẩu, nhiều năm sống lẩn trốn đã khiến [IT] trở nên nhạy cảm và căng thẳng. Điều này khiến [IT] phản ứng cảm xúc mãnh liệt hơn, cũng như phản ứng nhanh nhạy hơn.
517	Nhân Đồ	[NAME] là một kẻ hành quyết tàn bạo, phụ trách thi hành án tử hình. Những vết máu trên tay khiến [IT] có tâm hồn cứng như sắt đá.
518	Tà Phái Trảo Nha	[NAME] là một đại diện của giáo phái tà ác ở trần gian, phụ trách công việc và liên lạc của giáo phái trên trần gian. Mặc dù [IT] hoàn toàn không được truyền授 phương pháp tu luyện, nhưng cũng đã thấy biết nhiều điều kỳ bí.
519	Y Quán Lang Trung	[NAME] là một lương y trong một hiệu thuốc, mặc dù [IT] không có tài nghệ cao siêu, nhưng vẫn có thể xử lý các bệnh nhỏ một cách dễ dàng.
520	Chiến Địa Lang Trung	[NAME] là bác sĩ đi theo quân đội, [IT] có tay nghề y học xuất sắc, và cuộc sống trong quân ngũ đã giúp [IT] có được ý chí của một người lính.
521	Du Phương Lang Trung	[NAME] là một lương y đi khắp nơi, [IT] yêu thích y học, coi việc cứu chữa bệnh nhân là sứ mệnh của mình. Những chuyến du lịch khắp nơi đã giúp [IT] mở mang kiến thức và rèn luyện được một tay nghề y học.
522	Thú Y	[NAME] là một bác sĩ thú y, mặc dù cũng có thể chữa bệnh cho người, nhưng phương pháp chữa trị của [IT] rất thô bạo và không chú trọng tiểu tiết.
523	Mã Đầu Thiêu Phu	[NAME] là một người khuân vác tại bến tàu, công việc nặng nhọc khiến [IT] có thân hình khỏe mạnh, sức lực rất lớn. Nhưng điều này cũng đã làm tiêu hao sức khỏe của [IT].
524	Thiêu Sơn Công	[NAME] là một người khuân vác núi, công việc nặng nhọc khiến [IT] có thân hình khỏe mạnh và sức lực rất lớn. Còn việc thường xuyên đi trên đường núi khiến [IT] có được sự cân bằng cao. Nhưng điều này cũng đã làm tiêu hao sức khỏe của [IT].
525	Vũ Quán Giáo Tập	[NAME] là một giáo viên trong võ quán, [IT] có kỹ năng khá tốt, và có danh tiếng tốt trong khu vực. \n Trong một lần giảng dạy, [IT] đã vô tình chạm vào ngực của một nữ đệ tử quyền lực và bị đuổi việc, mất hết tài sản và danh tính.
526	Tư Thục Tiên Sinh	[NAME] là một thầy giáo trong một trường tư thục, [IT] có kiến thức sâu rộng, nhưng tính cách nghiêm khắc và rất truyền thống nên không được học sinh yêu thích. Trong một kỳ thi khoa cử, [IT] đã phát hiện một quý tộc gian lận. Sau đó, [IT] đã bị trả thù và bị gãy một chân.
527	Sơn Địa Liệp Nhân	[NAME] là một thợ săn ở vùng núi, [IT] có thân thể dẻo dai, giỏi sử dụng bẫy để săn động vật. [IT] có một chú chó săn trung thành làm bạn.
528	Băng Nguyên Liệp Nhân	[NAME] là một thợ săn ở vùng băng. [IT] có thân hình rất khỏe mạnh, có thể chạy trần trong thời tiết lạnh giá mà không cảm thấy lạnh.
529	Du Mục Liệp Nhân	[NAME] là một thợ săn du mục trên thảo nguyên, sống ngoài trời suốt năm khiến [IT] không thể có giấc ngủ sâu.
530	Ngự Dụng Liệp Nhân	[NAME] là một thợ săn của hoàng gia, phụ trách dạy bảo con cháu hoàng gia kỹ năng săn bắn. [IT] có kỹ thuật xuất sắc, giỏi giao tiếp, nhưng cuộc sống trong hoàng gia cũng khiến [IT] có nhu cầu mạnh mẽ về đồ ăn thức uống.
531	Môi Bà	[NAME] khéo ăn nói, thích tham gia vào những chuyện tầm phào giữa hàng xóm. [IT] đam mê làm mai cho những người trẻ tuổi, là một người môi giới nổi tiếng trong vùng.
532	Mạc Liêu	[NAME] là một thư ký quân đội, [IT] không thể nói là mưu trí, nhưng tính cách cẩn trọng đã giúp [IT] nhiều lần phát hiện được sự phục kích và kế hoạch của kẻ thù. Điều này khiến [IT] cảm thấy tự mãn một chút.
533	Bộ Khoái	[NAME] là một cảnh sát, phụ trách bắt giữ tội phạm. Trong nhiều năm làm cảnh sát, [IT] đã đắc tội với nhiều kẻ thù, cũng để lại nhiều vết thương trên cơ thể.
534	Tương Mệnh	[NAME] sống ở chợ, kiếm sống bằng cách xem bói cho người khác. [IT] không có tài năng thật sự, chỉ dựa vào miệng lưỡi mà nói linh tinh. Nhưng nhiều năm sống trong chợ đã khiến [IT] có cái nhìn sắc bén, thường có thể nói rõ tình hình.
535	Đan Thanh	[NAME] là một thợ vẽ, chuyên vẽ cảnh và người. [IT] ở quê nhà có một cửa hàng tranh, sống bằng cách vẽ chữ và tranh cho người dân trong các dịp tang lễ và cưới xin.
536	Hỏa Đầu Binh	[NAME] là một đầu bếp quân đội. [IT] quen với việc nấu ăn bằng nồi lớn, món ăn làm ra không thể kỳ vọng nhiều về hương vị, nhưng tốc độ thì đáng kinh ngạc, có thể nhanh chóng hoàn thành một lượng lớn món ăn.
537	Mã Phu	[NAME] sống trong một trang trại ngựa. [IT] phụ trách hàng ngày cắt cỏ cho hàng trăm con ngựa và cho chúng ăn. Cuộc sống lặp đi lặp lại hàng ngày khiến [IT] cảm thấy nhàm chán, [IT] thường vừa cho ngựa ăn vừa tưởng tượng về những câu chuyện kỳ bí trong các tiểu thuyết.
538	Phóng Mục Nhân	[NAME] là một thành viên của một bộ lạc trên thảo nguyên. [IT] có tầm nhìn tốt bẩm sinh, vì vậy được giao nhiệm vụ làm người chăn thả. Nhiệm vụ chăn thả hàng ngày rất nặng nề, không chỉ phải ngăn ngừa gia súc bị mất mà còn phải đề phòng thú dữ tấn công. Điều này khiến [NAME] trở nên vô cùng nhanh nhẹn.
539	Lộng Triều Nhi	[NAME] là một người lướt sóng, mỗi năm khi thủy triều đến, [IT] sẽ thể hiện kỹ năng của mình để cạnh tranh ở đầu sóng, nhằm làm hài lòng các quan chức. Còn vào những thời gian khác, [IT] phải chăm chỉ luyện tập để duy trì trạng thái của mình, tránh mất đi sự yêu mến trong mùa thủy triều năm sau, thậm chí có thể mất mạng.
540	Phong Thủy Sư	[NAME] là một bậc thầy phong thủy, nổi tiếng khắp nơi, đã chọn mộ cho vô số quan chức và quý tộc. Ngay cả hoàng gia đương triều cũng từng mời [IT] làm cố vấn.
541	Thần Trù	[NAME] là đầu bếp của một nhà hàng nổi tiếng khắp nơi. [ITS] tài nghệ nấu ăn xuất sắc, truyền thuyết rằng từng được một vị tiên dẫn đến thiên giới để nấu món ăn.
542	Công Đầu	[NAME] là một giám sát công trình của triều đình tại địa phương, [IT] rất có năng lực, được giao nhiệm vụ xây dựng một cung điện xa hoa cho hoàng đế. Nhưng [IT] lại rất khắc nghiệt, thường xuyên áp dụng hình phạt tàn nhẫn với công nhân, thậm chí đã gây ra nhiều cái chết.
543	Kiến Trúc Gia	[NAME] là một kiến trúc sư nổi tiếng từ khi còn trẻ, học hỏi từ những bậc thầy kiến trúc nổi tiếng khắp thế giới. Trong quá trình học nghề, [IT] đã tự tay thiết kế và xây dựng một khu vườn của một hoàng cung, từ đó nổi danh khắp nơi.
544	Tạp Kỹ Giả	[NAME] là một nghệ sĩ xiếc, [IT] cùng với các ngươi diễn đi khắp nơi biểu diễn những kỹ năng kỳ diệu để kiếm sống. Nhiều năm trong sự nghiệp biểu diễn đã giúp [IT] có được sự tập trung vượt trội, [IT] có thể biểu diễn những động tác mạo hiểm mà không bị phân tâm giữa những tràng vỗ tay.
545	Vũ Xà Nhân	[NAME] được tổ tiên truyền lại kỹ thuật múa rắn tuyệt vời, [IT] từ nhỏ đã nuôi một con rắn xanh độc và có thể giao tiếp thân thiết với nó. [IT] sống bằng kỹ năng này, thậm chí đã thoát khỏi một lần bị đồng nghiệp trả thù.
546	Sái Hầu Nhân	[NAME] là một nghệ sĩ xiếc khỉ, [IT] từ nhỏ đã khổ luyện một bộ kỹ năng đánh khỉ gia truyền, thân thủ linh hoạt, võ nghệ xuất chúng. Trong một lần biểu diễn, [ITS] khỉ đã làm phật lòng một kẻ côn đồ. Để cứu khỉ, [IT] đã bị kẻ côn đồ gọi người vây đánh, khiến [IT] bị mù một mắt.
547	Khách Sạn Lão Bản	[NAME] điều hành một quán trọ ở biên giới, vì nằm ở tuyến đường quan trọng nên làm ăn khá. Tuy nhiên, do có nhiều người qua lại, thường xảy ra những vụ gây rối. Để đối phó với những tình huống này, [NAME] đã thuê nhiều tay chân, bản thân cũng cố gắng học một số kỹ năng tự vệ.
548	Tục Gia Tín Đồ	[NAME] sống một cuộc đời rất nghèo khổ, điều này khiến [IT] luôn chìm trong đau khổ. Để tìm kiếm một chút chỗ dựa tinh thần trong nỗi đau, [NAME] đã trở thành một tín đồ bình thường, hoàn toàn quy phục vào nội tâm của mình và tìm thấy sự bình yên trong đó.
549	Khất Cái	[NAME] vốn là một kiến trúc sư, có một gia đình hạnh phúc và cũng có chút tiết kiệm. Nhưng một lần tình cờ đã khiến [IT] mê mẩn cờ bạc, điều này đã khiến [IT] trắng tay, vợ con ly tán, cuối cùng trở thành một kẻ ăn xin.
550	Lãng Tử	[NAME] có xuất thân từ một gia đình có truyền thống, là con cháu của những người học thức. Nhưng [IT] lại chán ghét con đường mà gia đình sắp đặt cho mình để thi cử. Vì vậy, [IT] đã lén luyện võ nghệ, bỏ nhà ra đi, trở thành một kẻ lãng du giữa giới sĩ và giang hồ.
551	Thanh Quan Nhân	[NAME] vốn là con gái của một vị tướng, nhưng vì cha [IT] bị cuốn vào cuộc tranh chấp của bọn phản loạn mà gia đình tan nát. [IT] nhờ tài sắc vẹn toàn mà trở thành một kỹ nữ, không phải phục vụ khách. Nhưng cuộc sống bấp bênh khiến [IT] cảm thấy tuyệt vọng.
552	Hí Tử	[NAME] xinh đẹp, được em gái của vị hoàng đế đang hoành hành chọn làm người tình. Nhờ vào vẻ đẹp của mình, [IT] đã mang lại nhiều điều kiện ưu đãi cho gia đình, nhưng cũng thu hút sự ghen ghét từ những người tình khác. Cuối cùng, [IT] bị âm mưu hãm hại, mất đi sự yêu mến.
553	Yên Hoa Nữ Tử	[NAME] từ nhỏ đã bị cha bán đi để trả nợ, vì vậy [IT] đã lạc lối trong những khu phố đèn đỏ. Nhiều năm sống trong những điều tồi tệ, [IT] đã thấy quen với những bộ mặt xấu xí của thế gian. Nhưng sâu thẳm trong lòng, [IT] vẫn tin vào tương lai.
554	Dưỡng Phong Nhân	[NAME] là một người nuôi ong, [IT] có tính cách hướng ngoại, ăn nói khéo léo, [ITS] tài ăn nói khiến nhiều người tin rằng mật ong của [IT] bán ra khỏe mạnh hơn mật ong bình thường, thậm chí có thể kéo dài tuổi thọ. Vì vậy, nhiều người từ xa cũng đến mua mật ong của [IT].
555	Vũ Nữ	[NAME] là một vũ nữ, là trụ cột của một đoàn hát nhỏ. [IT] có một quá khứ buồn, vì vậy đã coi đoàn hát này như chỗ gửi gắm tình cảm của mình, dành nhiều tâm huyết cho nó.
556	Tiêm Phu	[NAME] chưa từng đi học, chỉ có sức lực, [IT] đã kiếm sống bằng công việc kéo thuyền trên sông. Vì đầu óc không nhanh nhạy, [IT] thường bị người khác bắt nạt, nhưng [IT] thậm chí không nhận ra rằng mình đang bị bắt nạt, suốt ngày chỉ cười ngốc nghếch.
557	Trướng Phòng	[NAME] làm kế toán cho một thương hiệu lớn, [ITS] công việc rất nặng nề, suốt ngày phải tính toán sự biến động của một khoản tiền khổng lồ. Ngoài ra, việc đáp ứng các yêu cầu và đơn xin từ các bên cũng khiến [IT] kiệt sức.
558	Hộ Viện	[NAME] để trả ơn cứu mạng, làm bảo vệ cho một đại phú hộ nổi tiếng trong vùng. [IT] hết lòng với công việc, thường xuyên thức trắng đêm để tuần tra bảo vệ. Trong một tình huống nguy cấp, [IT] đã đỡ cho ông chủ một nhát dao chí mạng, khiến [ITS] nội tạng bị thương nặng và không thể hồi phục.
559	Quản Gia	[NAME] là quản gia của một vị đại thần đương triều. Sau khi ông nội qua đời, [IT] thừa kế vị trí này. Trong quá trình này, [IT] không thể tránh khỏi việc tiếp xúc với nhiều bí mật đen tối, những điều tăm tối trong triều đình nhanh chóng làm [IT] trở nên lạnh lùng và vô tình.
560	Đường Nhân Sư Phó	[NAME] là một nghệ nhân làm đường cao su tài ba. [IT] khéo léo, có thể nặn đường thành đủ hình dạng tinh xảo. [ITS] tài nghệ được trẻ em yêu thích, [IT] cũng rất vui vẻ trong công việc này.
561	Phạt Mộc Công	[NAME] là một thợ mộc. Những năm gần đây, triều đình đang phát triển mạnh mẽ, [IT] cũng theo giám sát công trình đi khắp nơi. Trong một lần khai thác rừng, [IT] bị người dân địa phương tức giận tấn công, trong lúc hỗn loạn, [IT] bị dẫm gãy chân phải.
562	Khoáng Công	[NAME] bán thân cho một mỏ khoáng sản để làm thợ mỏ. Suốt ngày đào khoáng trong những đường hầm không thấy ánh sáng khiến [IT] thích nghi với môi trường tối tăm. Công việc chăm chỉ đã giúp [IT] có được sức khỏe dẻo dai.
563	Khoáng Tràng Giam Công	[NAME] là một thành viên của một gia đình lớn, bị đày đến một mỏ khoáng sản của gia đình để làm giám sát. [IT] ghét vận mệnh của mình và sự sắp đặt của gia đình, ngày càng tỏ ra hung hãn với công nhân. Điều này khiến [IT] trở nên tàn bạo và độc ác.
564	Vu Sư	[NAME] tự nhận có thể cảm nhận được những chỉ dẫn mơ hồ từ một thực thể nào đó và nhờ vào sức mạnh của [IT] để tránh rủi ro. [IT] đã dành vài năm để phát triển, trở thành một thầy bói nhỏ có tiếng.
565	Thần Hán	[NAME] đã có một giấc mơ kỳ lạ, trong giấc mơ, được chọn bởi "thần" để trở thành người đại diện cho thần. [IT] ban đầu rơi vào hoảng loạn vì không có tài năng gì, nhưng theo thời gian, [IT] dần học được cách nói dối mà không thay đổi sắc mặt, và dần dần bị lạc lối trong quyền lực khổng lồ, trở nên điên cuồng và tàn nhẫn.
566	Thành Hoàng Miếu Chúc	[NAME] là trụ trì của một ngôi đền Thành Hoàng, [IT] có tính cách điềm tĩnh và rộng lượng. Nhiều năm qua, [IT] đã tham gia tổ chức các lễ hội đền trong huyện, được dân làng yêu mến và kính trọng.
567	Dã Đạo Sĩ	[NAME] là một đạo sĩ trong một đạo quán vô danh. [IT] không có cha mẹ, cũng không có tài năng gì, suốt ngày đọc sách đạo và tu luyện nhưng không đạt được gì. Thường ngày, [IT] sống bằng cách giúp đỡ các gia đình trong việc tang lễ và cưới hỏi.
568	Kiếm Khách	[NAME] là một kiếm khách, mỗi khi ra tay đều mang theo một chiếc mặt nạ kỳ lạ, không bao giờ để lộ chân dung thật, vì vậy trong giang hồ không ai biết [ITS] danh tính. [IT] kiếm thuật tuyệt đỉnh, thân thủ nhanh như chớp, truyền thuyết rằng, khi [ITS] kiếm xuất ra, không ai có thể bắt được hình bóng của [IT].
569	Du Hiệp	[NAME] là một hiệp khách cướp của giúp người, để tránh sự truy đuổi của quan phủ, [IT] sống lang thang, lấy trời đất làm nhà.
570	Thứ Khách	[NAME] đã trải qua một thời gian cực kỳ nghèo khổ, trong thời gian đó, [IT] học được cách giấu kín cảm xúc của mình và phát triển sự kiên nhẫn phi thường. Vì vậy, [IT] bị tổ chức phát hiện, được đào tạo thành một sát thủ bí mật. Trên bề mặt, [IT] điều hành một cửa hàng quan tài, nhưng ngầm, [IT] luôn chờ lệnh sát hại.
571	Tử Sĩ	[NAME] là một kẻ côn đồ, nổi tiếng với sự hung bạo và không sợ chết. Trong một cuộc ẩu đả giữa các băng nhóm, [IT] bị thương nặng, gần như sắp chết. Tuy nhiên, [ITS] hành động đã được một quan chức đi ngang qua nhìn thấy, người này đã bí mật cứu [IT] và đào tạo [IT] thành một sát thủ của mình.
572	Nỗ Thủ	[NAME] là một xạ thủ tinh nhuệ trong quân đội. Nhiều năm luyện tập bắn cung khiến [IT] có tầm nhìn sắc bén, kinh nghiệm chiến trận giúp [IT] bình tĩnh trong mọi tình huống.
573	Thần Tiễn Thủ	[NAME] vốn là một thợ săn, [IT] có kỹ năng bắn cung tuyệt vời, có thể bắn chết hươu từ xa trăm bước. Sau đó, khi quân nổi dậy gây loạn, [IT] đã tình nguyện nhập ngũ, dùng tài bắn cung xuất sắc để ghi danh trong quân đội, và được chọn vào đội xạ thủ tinh nhuệ của triều đình.
574	Xích Hậu	[NAME] rất đam mê cưỡi ngựa, [IT] yêu thích cảm giác phi nước đại trên lưng ngựa, chạy một ngàn dặm. [IT] niềm đam mê với ngựa và kỹ năng cưỡi ngựa điêu luyện đã thu hút sự chú ý của quân đội địa phương, họ hứa với [NAME] rằng nếu [IT] đồng ý gia nhập quân đội để huấn luyện trinh sát, họ sẽ cung cấp cho [IT] một con ngựa tốt nhất để cưỡi. [NAME] đã đồng ý ngay lập tức.
575	Dược Sư	[NAME] đặc biệt thích nghiên cứu các loại cây cối. [IT] có thể nhanh chóng và chính xác nhận biết các loại cây trong rừng và công dụng của chúng. [IT] đã trở thành một dược sĩ để phát huy tài năng của mình.
576	Thủ Lâm Nhân	[NAME] sống trong một ngôi làng dựa lưng vào núi, khu rừng trên núi là nơi trú ẩn tự nhiên của họ, cũng là kho tàng cho cuộc sống hàng ngày. Để bảo vệ khu rừng này, [NAME] đã gia nhập đội bảo vệ rừng của làng.
577	Kiên Khách	[NAME] rất nhiệt tình với mọi người, có mối quan hệ rộng rãi. [IT] rất khéo léo trong việc điều động giữa các mối quan hệ, điều này khiến [IT] trở thành một người môi giới xuất sắc. Sau nhiều thăng trầm, cuối cùng ở tuổi trưởng thành, [IT] đã tích lũy được một khối tài sản lớn, và hình thành được tâm lý bình thản trước mọi vinh nhục.
578	Đổ Tràng Lão Bản	[NAME] đã từng làm việc trong thế giới ngầm, nhờ vào tài năng thực sự mà [IT] dần dần leo lên, đạp lên nhiều người khác. Hiện tại, [IT] điều hành nhiều sòng bạc lớn, [ITS] thế lực trải rộng cả hai mặt trắng đen, thao túng một vùng, nói một không hai.
579	Dưỡng Cổ Nhân	[NAME] vốn là cư dân của một thị trấn nhỏ ở biên giới phía Nam. Trong một lần bị người man rợ cướp bóc, [IT] đã bị bắt làm tù binh. Người man rợ buộc [IT] phải làm công việc nuôi dạy rắn nguy hiểm - một công việc rất dễ bị nhiễm độc và chết. Cuộc sống bấp bênh và cái chết thảm khốc của đồng nghiệp đã khiến [IT] dễ dàng bị ác mộng.
580	Hoạn Quan	[NAME] để thoát khỏi cuộc sống nghèo khổ, sẵn sàng từ bỏ danh tính đàn ông để vào cung làm một hoạn quan nhỏ. Tâm tư sâu sắc, khao khát quyền lực, [IT] đã vượt qua mọi khó khăn để trở thành một hoạn quan quyền lực. Tuy nhiên, mỗi khi nhớ lại nỗi đau của việc bị thiến năm xưa, [IT] lại bị dằn vặt bởi sự hối hận.
581	Tiểu Địa Chủ	[NAME] đã kiếm được không ít tiền từ việc kinh doanh, nhưng [NAME] vốn lười biếng, [IT] chán ghét sự lừa lọc trong thương trường, chỉ muốn sống một cuộc đời nhàn rỗi. Vì vậy, [NAME] đã quay về quê, mua một mảnh đất, trở thành một địa chủ nhỏ.
582	Diện Thủ	[NAME] đẹp trai, bị em gái của hoàng đế đang hoành hành chọn làm người tình. Nhờ vào vẻ đẹp của mình, [IT] đã mang lại nhiều điều kiện tốt cho gia đình, nhưng cũng thu hút sự ghen ghét từ những người tình khác. Cuối cùng, [IT] bị âm mưu hãm hại, mất đi sự yêu mến.
