拜祖师	Bái tổ sư
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Vạn Lý không mây, <font color=MYCOLOR>Y Bạch</font> khi đang <font color=OBJCOLOR>xem qua</font>, đột nhiên muốn ăn <font color=OBJCOLOR>phân</font>.
2天 03:55	2 ngày 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Giữa trưa, <font color=MYCOLOR>Mao Y Bạch</font> đang <font color=OBJCOLOR>Ngưng thần nhìn trời</font>, đột nhiên rơi lệ.
2天 09:58	2 ngày 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Trời quang mây tạnh, <font color=MYCOLOR>Mao Y Bạch</font> đang <font color=OBJCOLOR>xem qua</font> thì trong đầu bỗng nhiên xuất hiện hình ảnh của <font color=OBJCOLOR>Đẩu Thế</font>.
2天 12:16	2 ngày 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Vạn Lý không mây, <font color=MYCOLOR>Mao Y Bạch</font> khi đang <font color=OBJCOLOR>thư họa</font>, bỗng rơi lệ.
4天 12:15	4 ngày 12:15
毛	Mao
依白	Y Bạch
南门墨竹	Nam Môn trúc mực
葛慕儿	Cát Mộ Nhi
从功	Từ công
韶兴	Thiệu Hưng
邦	Bang
子车	Tử Xa
晓凡	Hiểu Phàm
赵	Triệu
智渊	Trí Uyên
黑苍龙	Hắc Thương Long
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>Hạng Huy</font> Vì mặc đồ vừa vặn mà Vui vẻ, thấy <font color=HECOLOR>Mao Y Bạch</font> đi ngang qua liền kéo nàng lại trò chuyện về <font color=OBJCOLOR>Cửu Hoa Thôn</font>.
3天 05:57	3 ngày 05:57
项	Hạng
辉	Huy
商震	Thương Chấn
阎	Diêm
凡柔	Phàm Nhu
搬山公	Ông Bán Sơn
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Vạn Lý vô vân, <font color=MYCOLOR>Phượng Muội</font> khi đang <font color=OBJCOLOR>Quan sát sao đêm</font> bỗng nhiên rơi nước mắt.
3天 22:21	3 ngày 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Vào lúc bình minh, <font color=MYCOLOR>Phượng Muội</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> thì đột nhiên cảm thấy <font color=OBJCOLOR>tường Linh thạch</font> bên cạnh rất thú vị…
4天 04:34	4 ngày 04:34
凤	Phượng
妹	Muội
远航	Viễn Hàng
车	Xa
依亦	Y Diệc
金衫罩	Kim Sam Tráo
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Vạn vật yên tĩnh, <font color=MYCOLOR>Chí Dụng</font> khi đang <font color=OBJCOLOR>thư họa</font>, bỗng rơi lệ.
2天 00:06	2 ngày 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Giờ Dần, <font color=MYCOLOR>Chí Dụng</font> trong lúc <font color=OBJCOLOR>Chơi nhạc</font>, đột nhiên rơi nước mắt.
3天 03:25	3 ngày 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	<font color=MYCOLOR>Chí Dụng</font> đang trò chuyện với <font color=HECOLOR>Y Bạch</font>, <font color=HECOLOR>Y Bạch</font> đột nhiên phát hiện ra <font color=MYCOLOR>Chí Dụng</font> đang mặc <font color=OBJCOLOR><font color=OBJCOLOR>Bạc Hạ Thường da lợn rừng</font></font>. <font color=MYCOLOR>Chí Dụng</font> bèn kể cho cô nghe về nguồn gốc của <font color=OBJCOLOR><font color=OBJCOLOR>Bạc Hạ Thường da lợn rừng</font></font>, <font color=HECOLOR>Y Bạch</font> nghe xong thì trầm trồ tán thưởng.
3天 17:36	3 ngày 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Trời trong gió mát, <font color=MYCOLOR>Xương Chí Dụng</font> khi đang <font color=OBJCOLOR>Giải trí</font>, trong lòng bỗng thấy rung động, cảm ngộ về Thiên Đạo lại sâu thêm.
4天 07:39	4 ngày 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Trời quang đãng, <font color=MYCOLOR>Chí Dụng</font> lặng lẽ <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng nhớ đến <font color=OBJCOLOR>cha Chí Dụng Học Trí</font> của mình.
4天 14:12	4 ngày 14:12
昌	Xương
志用	Chí Dụng
学智	Học Trí
宰父	Tể Phụ
瑞	Thụy
越	Việt
心	Tim
镇岳公子	Trấn Nhạc Công Tử
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Trời quang mây tạnh, <font color=MYCOLOR>Can Đống</font> khi <font color=OBJCOLOR>đọc sách thưởng thức quyển</font>, đột nhiên muốn ăn <font color=OBJCOLOR>phân mèo cái</font>.
2天 08:03	2 ngày 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Trong môn phái, <font color=MYCOLOR>Can Đống</font> đang <font color=OBJCOLOR>chơi nhạc</font>, không nhịn được mà hát khẽ theo.
2天 22:54	2 ngày 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Trong môn phái, <font color=MYCOLOR>Can Đống</font> đang <font color=OBJCOLOR>Nhìn trần nhà</font> bỗng thấy bứt rứt khó chịu.
3天 02:18	3 ngày 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Vào buổi trưa, <font color=MYCOLOR>Can Đống</font> lặng lẽ <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng nhớ tới <font color=OBJCOLOR>mẹ Tấn Đại</font> của mình.
3天 11:00	3 ngày 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Trong môn phái, <font color=MYCOLOR>Can Đống</font> khi đang <font color=OBJCOLOR>Thư họa</font>, trong đầu bỗng hiện lên hình ảnh của <font color=OBJCOLOR>Thấu Thế</font>.
3天 18:42	3 ngày 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Trong môn phái, <font color=MYCOLOR>Can Đống</font> một mình <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng dưng suy nghĩ miên man.
4天 07:41	4 ngày 07:41
干	Khô
栋	Đống
裕	Dụ
晋	Tấn
裘	Cừu
婕	Tiệp
丹霞障	Đan Hà chướng
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Trong môn phái, <font color=MYCOLOR>Cơ Bành Lượng</font> khi <font color=OBJCOLOR>ngưng thần nhìn trời</font>, đột nhiên muốn ăn <font color=OBJCOLOR>phân mèo cái</font>.
3天 00:12	3 ngày 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Lúc mặt trời xế bóng, <font color=MYCOLOR>Cơ Bành Lượng</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên cảm thấy <font color=OBJCOLOR>Đài cầm Linh thạch</font> bên cạnh rất thú vị…
3天 13:48	3 ngày 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Cơ Bành Lượng</font> vì <font color=OBJCOLOR>Muôn Màu Muôn Vẻ</font> mà tâm trạng vui vẻ, không nhịn được đến <font color=OBJCOLOR>Chơi Nhạc</font> để giãi bày.
4天 11:16	4 ngày 11:16
姬	Cơ
彭亮	Bành Lượng
子轩	Tử Hiên
冷雪	Lãnh Tuyết
秦	Tần
御木灵宝	Ngự mộc Linh bảo
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Vào giờ Hợi, <font color=MYCOLOR>Thủy Nhã Lục</font> khi đang <font color=OBJCOLOR>nhìn trần nhà</font>, bỗng rơi lệ.
1天 22:55	1 ngày 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Trời vạn lý không mây, <font color=MYCOLOR>Nhã Lục</font> đang <font color=OBJCOLOR>chơi cờ</font> bỗng cảm thấy ngột ngạt.
3天 22:38	3 ngày 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Trong môn phái, <font color=MYCOLOR>Thủy Nhã Lục</font> đang <font color=OBJCOLOR>nhìn trần nhà</font> bỗng cảm thấy bồn chồn khó tả.
4天 01:23	4 ngày 01:23
雅绿	Nhã Lục
壬水娘子	Cascade Nương Tử
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Trời trong khí thanh, <font color=MYCOLOR>Cáo Thế</font> khi <font color=OBJCOLOR>quan sát mây cuộn mây tan</font> bỗng phát ra một tiếng thở dài.
2天 16:46	2 ngày 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Trong môn phái, <font color=MYCOLOR>Cáo Thế</font> khi đang <font color=OBJCOLOR>chơi nhạc</font>, bỗng cảm thấy bứt rứt khó tả.
2天 17:46	2 ngày 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Trời quang không mây, <font color=MYCOLOR>Cáo Thế</font> đang <font color=OBJCOLOR>chơi cờ</font> thì đột nhiên muốn đến <font color=OBJCOLOR>Thiên Cực Phong</font> xem thử.
3天 04:23	3 ngày 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	Giờ Ngọ, <font color=MYCOLOR>Cao Thế</font> đang <font color=OBJCOLOR>chơi nhạc</font> thì đột nhiên muốn ăn <font color=OBJCOLOR>Ẩm Khí Đan</font>.
4天 09:16	4 ngày 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Vào buổi trưa, <font color=MYCOLOR>Cáo Thế</font> một mình <font color=OBJCOLOR>chơi nhạc</font>, bỗng dưng nghĩ ngợi miên man.
4天 11:21	4 ngày 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>Cảo Thế</font> bị cảm xúc <font color=OBJCOLOR>cần một căn phòng</font> làm phiền, chỉ có thể <font color=OBJCOLOR>chơi cờ</font> để buông thả tâm hồn.
4天 17:11	4 ngày 17:11
郜	Cáo
和	Hòa
於	Vu
云	Vân
燃魂柱	Nhiên Hồn trụ
肆叁伍叁贰贰零玖贰	435322092
扫地	Quét dọn.
七七七	Bảy Bảy Bảy
神秘大能	Đại năng thần bí
教学	Hướng dẫn
门	Cửa
江湖秘闻	Bí ẩn giang hồ
天苍246年 春 第9日	Thiên Thương năm 246, mùa Xuân, ngày thứ 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Nghe nói sâu trong Đại Mạc bỗng nhiên đất trời sụp đổ, khắc đá Long Nhai - thánh địa của yêu tộc thời cổ đại lại xuất hiện trên nhân gian!
陶飞心境不稳	Đào Phi tâm cảnh không ổn định
韶兴遇到瓶颈	Thiều Hưng gặp phải bình cảnh
项辉遇到瓶颈	Hạng Huy gặp bế tắc
奚顺遇到瓶颈	Hề Thuận gặp phải bình cảnh
郜世遇到瓶颈	Cáo Thế gặp phải bình cảnh
姬彭亮遇到瓶颈	Cơ Bành Lượng gặp bế tắc
昌志用遇到瓶颈	Chang Zhi Yong gặp phải bình cảnh
钭世遇到瓶颈	Thẩu Thế gặp phải bình cảnh
熊子石遇到瓶颈	Hùng Tử Thạch gặp bế tắc
陶飞遇到瓶颈	Đào Phi gặp phải bình cảnh
干栋遇到瓶颈	Can Động gặp bế tắc
水雅绿遇到瓶颈	Thủy Nhã Lục gặp bế tắc
韶兴突破瓶颈成功	Thiều Hưng đột phá bế tắc thành công
项辉突破瓶颈成功	Hạng Huy đột phá bình cảnh thành công
奚顺突破瓶颈成功	Hề Thuận đột phá bình cảnh thành công
郜世突破瓶颈成功	Cáo Thế đột phá bình cảnh thành công
姬彭亮突破瓶颈成功	Cơ Bành Lượng đột phá bình cảnh thành công
昌志用突破瓶颈成功	Trường Chí Dụng đột phá bình cảnh thành công
钭世突破瓶颈成功	Thẩu Thế đột phá bình cảnh thành công
干栋突破瓶颈成功	Càn Động đột phá bình cảnh thành công
水雅绿突破瓶颈成功	Nhã Lục đột phá bình cảnh thành công
存档写入完成	Hoàn tất ghi lưu trữ
门派传闻	Tin đồn môn phái.
天苍246年 春 第12日	Thiên Thương năm 246, mùa Xuân, ngày thứ 12
据传百蛮山的大能蓟语山在稻香村出没。	Nghe nói đại năng Kỷ Ngữ Sơn của Bách Man Sơn xuất hiện ở Đạo Hương Thôn.
据传丹霞洞天的大能平坚在雪风原出没。	Nghe nói đại năng Bình Kiên của Đan Hà Động Thiên xuất hiện ở Tuyết Phong Nguyên.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Nghe đồn Tôn trưởng phi thăng của Chính Nhất đạo phái đột nhiên ban phát nhiều ân điển, thực lực môn phái tăng mạnh.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Nghe nói Chính Nhất Đạo đã tìm được động phủ của một thợ rèn khí xưa, thu được nhiều pháp bảo linh khí được Nguyên thần ký thác, thực lực môn phái tăng mạnh.
灵石护山剑阵正被攻击	Linh Thạch Hộ Sơn Kiếm Trận đang bị tấn công
灵石墙正被攻击	Linh Thạch Tường đang bị tấn công
理气丹	Lý Khí Đan
理气丹正在发挥药效	Lý Khí Đan đang phát huy hiệu quả
赋灵术	Phú Linh Thuật
五泉涤心法	Ngũ Tuyền Địch Tâm Pháp
先天罡气	Tiên Thiên Cương Khí
化伤术	Hóa Thương Thuật
天霖诀	Thiên Lâm Quyết
天一真法	Thiên Nhất Chân Pháp
水镜观心定	Thủy Kính Quán Tâm Định
同风诀	Đồng Phong Quyết
归海诀	Quy Hải Quyết
九阴真水界	Cửu Âm Chân Thủy Giới
罡煞合流	Cương Sát Hợp Lưu
新境神佑书	Tân Cảnh Thần Hựu Thư
紫火千钧剑诀	Tử Hỏa Thiên Quân Kiếm Quyết
五方神雷	Ngũ Phương Thần Lôi
紫火落花	Tử Hỏa Lạc Hoa
丁火落花真言	Đinh Hỏa Lạc Hoa Chân Ngôn
多宝流光真言	Đa Bảo Lưu Quang Chân Ngôn
混元要诀	Hỗn nguyên. Yêu Quyết
少量的	Một chút
混元十三式	Thức Thập Tam Hỗn Nguyên
破灭秘诀	Phá Diệt Bí Quyết
曳影	Duệ Ảnh
五戒坤元	Ngũ Giới Khôn Nguyên
中量的	Vừa
御气混元宝典	Ngự Khí Hỗn Nguyên Bảo Điển
赤炎圆转剑诀	Xích Viêm Viên Chuyển Kiếm Quyết
五台混元七式	Ngũ Đài Hỗn Nguyên thất thức
三才坤元十三式	Tam Tài Khôn Nguyên Mười Ba Thức
大量的	Số lượng lớn
未来星宿千钧宝典	Vị Lai Tinh Tú Thiên Quân Bảo Điển
嵩山坤元秘要	Tung Sơn Khôn Nguyên Bí Yếu
佛心书	Phật Tâm Thư
鄂芸上仙归祖经	Ngạc Vân Thượng Tiên Quy Tổ Kinh
哈氏神佑秘要	Ha Thị Thần Hựu Bí Yếu
微草神农通卷	Vi Thảo Thần Nông Thông Quyển
五内多宝宝典	Ngũ Nội Đa Bảo Bảo Điển
赤月合一秘要	Xích Nguyệt Hợp Nhất Bí Yếu
五内饕餮神功	Ngũ Nội Thao Thiết Thần Công
阴神夺舍	Âm thần đoạt xá
冥灵真法	Minh Linh Chân Pháp
天道神丹	Thiên Đạo Thần Đan
天道神器	Thiên Đạo Thần Khí
长生圆转剑	Trường Sinh Viên Chuyển Kiếm
入定之术	Thuật Nhập Định
断岳覆天诀	Đoạn Nhạc Phúc Thiên Quyết
勾陈流光	Câu Trần Lưu Quang
经之柔上仙金刚咒	Kinh Chi Nhu Thượng Tiên Kim Cang Chú
紫薇流光真言	Tử Vi Lưu Quang Chân Ngôn
金刚经	Kim Cương kinh
奠基宝典	Điện Cơ Bảo Điển
金刚宝典	Kim Cang Bảo Điển
金刚秘册	Kim Cương Bí Sách
东海金刚秘要	Bí yếu Kim Cương Đông Hải
玄关金刚宝典	Huyền Quan Kim Cương Bảo Điển
白虎奠基	Bạch Hổ Điện Cơ
御气金刚	Ngự Khí Kim Cương
庚辛金刚密卷	Canh Tân Kim Cang mật quyển
断岳奠基秘要	Bí yếu Đặt Nền Đoạn Nhạc
神佑册	Sách Thần Hữu
辟谷密卷	Tịch Cốc Mật Quyển
五内鲸吞纪要	Ngũ Nội Kình Thốn yếu lãm
龙虎佛心书	Long Hổ Phật Tâm Thư
阴阳佛心记	Ân Dương Phật Tâm Ký
庚辛清心经	Kinh Canh Tân Thanh Tâm
寒月摄神秘法	Hàn Nguyệt Nhiếp Thần Bí Pháp
海量的	Cực lớn
须雅芝上仙清心秘要	Thượng Tiên Nhã Chi Thanh Tâm Bí Yếu
白虎饕餮要诀	Bạch Hổ Thao Thiết Yếu Quyết
灵息诀	Linh Tức Quyết
鼎炉吸真术	Đỉnh Lô Hấp Chân Thuật
再造术	Tái Tạo Thuật
尘暴术	Trần Bạo Thuật
求雨术	Cầu Vũ Thuật
甘霖术	Cam Lâm Thuật
风水鉴定	Phong Thủy Giám Định
太和御气诀	Thái Hòa Ngự Khí Quyết
清心咒	Thanh Tâm Chú
御木诀	Ngự Mộc Quyết
天水化伤术	Thiên Thủy Hóa Thương Thuật
采水诀	Thái Thủy Quyết
玄牝重生法	Huyền Tẫn Trọng Sinh Pháp
乘风诀	Thừa Phong Quyết
奔流诀	Bôn Lưu Quyết
水精真形	Thủy Tinh Chân Hình
水气真形	Thủy Khí Chân Hình
水神真形	Thủy Thần Chân Hình
暴雨术	Bạo Vũ Thuật
玄魂造命	Huyền Hồn Tạo Mệnh
醍醐灌顶之术	Đề Hồ Quán Đỉnh Thuật
玄金五气真言	Chân Ngôn Ngũ Khí Huyền Kim
勾陈三花咒	Câu Trần Tam Hoa Chú
紫云宫流光咒	Tử Vân Cung Lưu Quang Chú
奠基经	Kinh Điện Cơ
金刚要诀	Kim Cương Yếu Quyết
奠基秘要	Điện Cơ Bí Yếu
玄金奠基秘册	Huyền Kim Điện Cơ Bí Sách
入道奠基经	Nhập Đạo Điển Cơ Kinh
庚金金刚	Canh Kim Kim Cương
断岳奠基宝典	Đoạn Nhạc Điện Cơ Bảo Điển
断岳金刚宝典	Bảo Điển Đoạn Nhạc Kim Cương
化形金刚	Hóa Hình Kim Cương
辟谷宝典	Tịch cốc Bảo Điển
叶厚上仙神视神功	Diệp Hậu Thượng Tiên Thần Thị Thần Công
御气清心经	Kinh Thanh Tâm Ngự Khí
赤霄宫合一册	Xích Tiêu Cung Hợp Nhất Sách
入道归祖神功	Nhập Đạo Quy Tổ Thần Công
玄机神视秘要	Huyền Cơ Thần Thị Bí Yếu
归真鲸吞要诀	Quy Chân Kình Thốn yếu quyết
天魔解体大法	Thiên Ma Giải Thể Đại Pháp
炼制灵石之术	Thuật Luyện Chế Linh Thạch
玄机流光真言	Huyền Cơ Lưu Quang Chân Ngôn
金丹流光	Kim đan lưu quang
迅影	Tấn Ảnh
混元秘法	Hỗn Nguyên Bí pháp
寒月坤元决	Quyết Hàn Nguyệt Khôn Nguyên
五戒千钧剑诀	Ngũ Giới Thiên Quân Kiếm Quyết
彻法混元十式	Triệt Pháp Hỗn Nguyên Thập Thức
多宝通卷	Đa Bảo Thông Quyển
百炼秘要	Bách Luyện Bí Yếu
饕餮	Thao Thiết
龙虎鬼手通卷	Long Hổ Quỷ Thủ thông quyển
真丹多宝	Chân Đan Đa Bảo
三才多宝纲要	Tam Tài Đa Bảo Cương Yếu
六气圆转十三式	Mười Ba Thức Viên Chuyển Lục Khí
献祭	Hiến Tế
精火筑灵	Tinh Hỏa Trúc Linh
逆浪天星咒	Nghịch Lãng Thiên Tinh Chú
少林金刚神雷	Thần Lôi Kim Cương Thiếu Lâm
金刚	Kim Cương
奠基要诀	Điện Cơ Yêu Quyết
修蛇金刚宝典	Tu Xà Kim Cương Bảo Điển
五内奠基宝典	Ngũ Nội Điền Cơ bảo điển
知节奠基经	Tri Tiết Điển Cơ Kinh
万源归真金刚宝典	Vạn Nguyên Quy Chân Kim Cang Bảo Điển
南海奠基	Nam Hải Điện Cơ
紫薇金刚密卷	Tử Vi Kim Cương Mật Quyển
凌霄奠基秘要	Lăng Tiêu Điện Cơ Bí Yếu
百汇奠基秘法	Bách Hội Điện Cơ Bí Pháp
沃野丹方	Ốc D野 Đan Phương
星辰合一册	Sách Tinh Thần Hợp Nhất
壬水合一书	Cascade Hợp Nhất Thư
凌霄合一册	Linh Tiêu Hợp Nhất Sách
逆浪清心神功	Nghịch Lãng Thanh Tâm Thần Công
文盛真人摄神册	Sách Nhiếp Thần Chân Nhân Văn Thịnh
百汇佛心	Phật Tâm Bách Hội
大衍神算	Đại Diễn Thần Toán
分神之术	Phân Thần Chi Thuật
庚金决意秘传	Canh Kim Quyết Ý Bí Truyền
赤日三花诀	Xích Nhật Tam Hoa quyết
奠基密卷	Điện Cơ Mật Quyển
天金金刚经	Thiên Kim Kim Cương Kinh
玄金金刚秘要	Huyền Kim Kim Cương Bí Yếu
龙虎金刚	Long Hổ Kim Cương
勾陈奠基	Câu Trần Điện Cơ
百草阁金刚秘法	Bách Thảo Các Kim Cang Bí Pháp
饕餮纪要	Thao Thiết Ký Yếu
多宝	Đa Bảo
阴阳鬼手秘传	Âm Dương Quỷ Thủ Bí Truyền
金雷鬼手宝典	Bảo Điển Kim Lôi Quỷ Thủ
寒月百炼通卷	Thông quyển Bách Luyện Hàn Nguyệt
炎神殿鬼手纲要	Cương Yếu Quỷ Thủ Viêm Thần Điện
御气万古秘要	Ngự Khí Vạn Cổ Bí Yếu
阴阳神佑秘要	Âm Dương Thần Hựu Bí Yếu
魂体寄生	Hồn Thể Ký Sinh
武当佛心典	Điển Võ Đang Phật Tâm
星辰五方	Ngũ Phương Tinh Thần
陨星诀	Quyết Vân Tinh
逆浪不坏真言	Nghịch Lãng Bất Hoại Chân Ngôn
曳影七式	Dạ Ảnh Bảy Thức
归祖要诀	Quy Tổ Yêu Quyết
勾陈气摄秘法	Bí Pháp Câu Trần Khí Nhiếp
壬癸神佑	Nhâm Quý Thần Hựu
凝光鬼手宝典	Ngưng Quang Quỷ Thủ Bảo Điển
惊波百炼宝册	Bảo Sách Bách Luyện Kinh Ba
修蛇归祖密卷	Tu Xà Quy Tổ Mật Quyển
玄武神视纪要	Huyền Vũ Thần Thị Ký Yếu
冷月急诵秘法	Lãnh Nguyệt Cấp Tụng Bí Pháp
腾岳覆天	Đằng Nhạc Phúc Thiên
破灭	Phá Diệt
破灭密卷	Mật Quyển phá diệt
气摄宝典	Khí Nhiếp Bảo Điển
勾陈决意要诀	Câu Trần Quyết Ý Yêu Quyết
彻法归祖秘要	Triệt Pháp Quy Tổ Bí Yếu
华山万古神功	Hoa Sơn Vạn Cổ Thần Công
伐毛洗髓之术	Phạt Mao Tẩy Tủy Thuật
彻法不朽	Triệt Pháp Bất Hủ
化形金刚神雷	Hóa Hình Kim Cang thần lôi
奠基秘册	Điện Cơ Bí Sách
长生金刚秘要	Trường Sinh Kim Cương Bí Yếu
黄庭金刚秘法	Hoàng Đình Kim Cang Bí Pháp
新境奠基经	Kinh Định Cơ Tân Cảnh
少林金刚经	Thiếu Lâm Kim Cang Kinh
大日奠基秘要	Đại Nhật Điện Cơ Bí Yếu
佛心秘法	Phật Tâm Bí Pháp
合一秘要	Hợp Nhất Bí yếu
长生通慧记	Trường Sinh Thông Tuệ Ký
南海佛心典	Nam Hải Phật Tâm Điển
玄关神农	Huyền Quan Thần Nông
断岳鲸吞秘要	Đoạn Nhạc Kình Thôn Bí Yếu
化形神佑典	Điển Hóa hình Thần Hựu
太乙清心经	Thái Ất Thanh Tâm kinh
托体同山诀	Thác Thể Đồng Sơn Quyết
西海九极咒	Tây Hải Cửu Cực Chú
咒神宝典	Chú Thần Bảo Điển
崩天卷	Băng Thiên quyển
多宝秘传	Đa Bảo Bí Truyền
多宝宝册	Đa Bảo Bảo Sách
天金摄神册	Sách Thiên Kim Nhiếp Thần
未来星宿百炼秘传	Vị Lai Tinh Tú Bách Luyện Bí Quyển
辛金百炼秘传	Tân Kim Bách Luyện Bí Truyền
断岳多宝宝册	Bảo Sách Đa Bảo Đoạn Nhạc
玄机多宝	Huyền Cơ Đa Bảo
天魔化身术	Thiên Ma Hóa Thân Thuật
开天眼之术	Khai Thiên Nhãn Thuật
通符书	Thông Phù Thư
云气汇流	Vân Khí Hội Lưu
剑符录	Kiếm Phù Lục
玄符录	Huyền Phù Lục
天甲符	Thiên Giáp Phù
咒符录	Chú Phù Lục
神咒符	Thần Chú Phù
结云经	Kết Vân Kinh
祈天经	Kỳ Thiên Kinh
通天符法	Thông Thiên Phù Pháp
天真论	Thiên Chân Luận
无上神符	Vô Thượng Thần Phù
借天符	Tá Thiên Phù
遮天符	Phù Chắn Trời
云行法	Vân Hành Pháp
东木分神书	Đông Mộc Phân Thần Thư
天岭金刚真言	Thiên Lĩnh Kim Cương Chân Ngôn
戊土八极真言	Mậu Thổ Bát Cực Chân Ngôn
归家五方诀	Quy Gia Ngũ Phương Quyết
坤元九极神雷	Thần Lôi Cửu Cực Khôn Nguyên
千钧十三式	Thiên Quân thập tam thức
曳影式	Thức Dẫn Ảnh
破灭要诀	Phá Diệt Yêu Quyết
神农宝典	Thần Nông Bảo Điển
摄神	Nhiếp Thần
万里多宝	Vạn Lý Đa Bảo
五内琢玉通卷	Ngũ Nội Trác Ngọc Thông Quyển
凌霄佛心要诀	Yếu Quyết Phật Tâm Linh Tiêu
